Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,33,100,22,25,35,3817.059385,15576.61187,0,0,169106.5523
2022-07-30T00:00:00Z,67,14883,29,44,52,11759.55249,17116755.54,0,0,169106.5523
2022-07-29T00:00:00Z,39,14816,23,29,36,9806.944427,17104995.99,0,0,169106.5523
2022-07-28T00:00:00Z,60,14777,33,37,54,14798.57811,17095189.05,0,0,169106.5523
2022-07-27T00:00:00Z,47,14717,26,34,45,7975.094218,17080390.47,0,0,169106.5523
2022-07-26T00:00:00Z,69,14670,30,38,48,11384.1086,17072415.37,0,0,169106.5523
2022-07-25T00:00:00Z,73,14601,38,58,72,8273.312863,17061031.27,0,0,169106.5523
2022-07-24T00:00:00Z,55,14528,26,37,45,18996.96982,17052757.95,0,-4370.427881,169106.5523
2022-07-23T00:00:00Z,52,14473,34,39,55,37529.69152,17033760.98,5491.562052,-20066.03343,173476.9802
2022-07-22T00:00:00Z,57,14421,24,38,46,31141.38745,16996231.29,0,0,188051.4516
2022-07-21T00:00:00Z,46,14364,27,38,47,35868.93041,16965089.9,0,0,188051.4516
2022-07-20T00:00:00Z,66,14318,36,45,62,20799.26195,16929220.97,0,-1144.449334,188051.4516
2022-07-19T00:00:00Z,60,14252,38,40,58,7896.451863,16908421.71,0,-97.76977139,189195.9009
2022-07-18T00:00:00Z,61,14192,30,41,51,11949.9642,16900525.26,0,0,189293.6707
2022-07-17T00:00:00Z,52,14131,28,38,51,15757.96851,16888575.3,9.982071311,0,189293.6707
2022-07-16T00:00:00Z,50,14079,33,42,55,21907.52085,16872817.33,0,0,189283.6886
2022-07-15T00:00:00Z,52,14029,32,42,52,30105.8323,16850909.81,0,0,189283.6886
2022-07-14T00:00:00Z,49,13977,28,39,47,17979.54896,16820803.97,390,-76.79160913,189283.6886
2022-07-13T00:00:00Z,45,13928,27,32,41,15893.3923,16802824.42,0,0,188970.4802
2022-07-12T00:00:00Z,58,13883,37,38,58,18396.30731,16786931.03,0,0,188970.4802
2022-07-11T00:00:00Z,67,13825,40,50,66,10250.6989,16768534.73,0,-82.80870227,188970.4802
2022-07-10T00:00:00Z,22,13758,18,19,30,6274.004123,16758284.03,0,0,189053.2889
2022-07-09T00:00:00Z,60,13736,32,43,53,25262.13931,16752010.02,0,0,189053.2889
2022-07-08T00:00:00Z,37,13676,20,26,34,7303.50661,16726747.88,0,0,189053.2889
2022-07-07T00:00:00Z,59,13639,29,37,48,30161.90731,16719444.38,0,0,189053.2889
2022-07-06T00:00:00Z,31,13580,24,26,37,7415.23682,16689282.47,0,0,189053.2889
2022-07-05T00:00:00Z,47,13549,28,33,49,19130.19846,16681867.23,0,0,189053.2889
2022-07-04T00:00:00Z,44,13502,23,33,44,18779.25672,16662737.03,1810,0,189053.2889
2022-07-03T00:00:00Z,54,13458,30,33,49,15256.24388,16643957.78,132.9234672,0,187243.2889
2022-07-02T00:00:00Z,68,13404,33,41,50,41868.56684,16628701.53,5993.44,0,187110.3654
2022-07-01T00:00:00Z,64,13336,33,43,55,17620.42089,16586832.97,0,-248.8185532,181116.9254
2022-06-30T00:00:00Z,110,13272,37,41,53,33766.38086,16569212.55,0,0,181365.744
2022-06-29T00:00:00Z,57,13162,25,35,48,28328.75396,16535446.16,0,0,181365.744
2022-06-28T00:00:00Z,69,13105,32,46,57,24704.33733,16507117.41,0,0,181365.744
