Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,1376,2723,311,309,390,162702012,175750157,1683474.135,-43329383.66,-42129048.79
2022-07-30T00:00:00Z,1347,1921282,306,301,378,13048145.05,2.52744E+11,425937.34,-909076.6107,238829284.8
2022-07-29T00:00:00Z,1667,1919935,314,319,408,41423782.18,2.5273E+11,3098511.527,-354683.3169,239312424.1
2022-07-28T00:00:00Z,1691,1918268,354,358,448,38806876.98,2.52689E+11,5136253.396,-3298984.226,236568595.9
2022-07-27T00:00:00Z,1489,1916577,335,364,446,124774361.2,2.5265E+11,46000085,-256240.1998,234731326.7
2022-07-26T00:00:00Z,1708,1915088,431,378,514,146087934.5,2.52525E+11,3083071.08,-19045172.11,188987481.9
2022-07-25T00:00:00Z,1607,1913380,438,420,524,172625950,2.52379E+11,8997401.221,-56375220.31,204949583
2022-07-24T00:00:00Z,945,1911773,270,264,353,5054228.335,2.52207E+11,440,-687004.6492,252327402
2022-07-23T00:00:00Z,1080,1910828,265,259,353,17870314.33,2.52202E+11,2100910.787,-5387.193424,253013966.7
2022-07-22T00:00:00Z,1561,1909748,343,327,429,393582585.4,2.52184E+11,1977793.971,-5169748.143,250918443.1
2022-07-21T00:00:00Z,1694,1908187,365,354,448,66097477.32,2.5179E+11,6223778.338,-12936185.46,254110397.3
2022-07-20T00:00:00Z,2079,1906493,359,366,472,14458492.2,2.51724E+11,72167.66694,-2530.768402,260822804.4
2022-07-19T00:00:00Z,2429,1904414,412,416,529,91435926.62,2.5171E+11,5089997.361,-76270.79341,260753167.5
2022-07-18T00:00:00Z,2354,1901985,401,429,534,102704214.9,2.51618E+11,5184073.586,-6802215.847,255739440.9
2022-07-17T00:00:00Z,1558,1899631,326,325,434,77242051.51,2.51516E+11,6593577.918,-6230000,257357583.2
2022-07-16T00:00:00Z,1433,1898073,306,334,400,62980342.47,2.51438E+11,5171252.788,-332137.6207,256994005.3
2022-07-15T00:00:00Z,1387,1896640,328,326,409,63787624.98,2.51375E+11,8266833.341,-37887.76375,252154890.1
2022-07-14T00:00:00Z,1340,1895253,304,308,395,28611250.12,2.51312E+11,5841414.22,-1131901.718,243925944.5
2022-07-13T00:00:00Z,1994,1893913,349,360,441,39369737.73,2.51283E+11,2845156.777,-781160.3141,239216432
2022-07-12T00:00:00Z,1711,1891919,372,348,471,47030741.63,2.51244E+11,1839016.251,-1685995.01,237152435.6
2022-07-11T00:00:00Z,1432,1890208,357,371,490,22164254.67,2.51197E+11,2613381.359,-1434312.84,236999414.3
2022-07-10T00:00:00Z,1372,1888776,351,407,513,56511158.97,2.51174E+11,40031.78577,-1000134.844,235820345.8
2022-07-09T00:00:00Z,1517,1887404,352,605,703,19539882.96,2.51118E+11,2074288.738,-6448.528776,236780448.9
2022-07-08T00:00:00Z,2981,1885887,492,1375,1479,32496310.39,2.51098E+11,754684.4723,-2856214.855,234712608.6
2022-07-07T00:00:00Z,1857,1882906,394,405,522,79490989.26,2.51066E+11,22962564.97,-922777.6007,236814139
2022-07-06T00:00:00Z,2367,1881049,436,450,578,564100793.2,2.50986E+11,468593.5451,-23697476.61,214774351.7
2022-07-05T00:00:00Z,1940,1878682,368,405,509,67341005.57,2.50422E+11,10939004.86,-42599.63887,238003234.7
2022-07-04T00:00:00Z,1858,1876742,415,437,550,40524164.6,2.50355E+11,630473.5954,-41242.5246,227106829.5
2022-07-03T00:00:00Z,2269,1874884,460,458,604,40793828.03,2.50314E+11,2504922.701,-540090.8329,226517598.4
2022-07-02T00:00:00Z,2310,1872615,397,411,525,24698252.53,2.50274E+11,694059.1304,-589763.6881,224552766.6
2022-07-01T00:00:00Z,3131,1870305,570,698,836,121709308.8,2.50249E+11,6283308.69,-131873.9354,224448471.1
2022-06-30T00:00:00Z,3445,1867174,533,547,694,33173146.02,2.50127E+11,805007.1695,-2814680.152,218297036.4
2022-06-29T00:00:00Z,2834,1863729,488,435,610,12824563.07,2.50094E+11,2222427.567,-496306.8257,220306709.4
2022-06-28T00:00:00Z,2869,1860895,491,455,615,28995610.91,2.50081E+11,490.099502,-1968761.144,218580588.6
2022-06-27T00:00:00Z,3919,1858026,613,626,802,23203139.46,2.50052E+11,1065115.622,-101174.9542,220548859.7
2022-06-26T00:00:00Z,4601,1854107,718,884,1043,15991186.91,2.50029E+11,293868.8829,-11160.62399,219584919
2022-06-25T00:00:00Z,6722,1849506,774,859,995,97348692.43,2.50013E+11,7148908.539,-389864.1769,219302210.7
2022-06-24T00:00:00Z,9112,1842784,919,966,1122,38943023.48,2.49916E+11,60437.669,-5976.105613,212543166.4
2022-06-23T00:00:00Z,9390,1833672,832,855,981,27602023.23,2.49877E+11,1103323.871,-96915.99854,212488704.8
2022-06-22T00:00:00Z,4818,1824282,604,621,764,11662523.01,2.49849E+11,1444236.286,-165947.9227,211482296.9
2022-06-21T00:00:00Z,5014,1819464,712,752,934,39135499.68,2.49837E+11,6371.175235,-11138967.83,210204008.6
2022-06-20T00:00:00Z,6605,1814450,746,732,893,114460615.3,2.49798E+11,9188110.724,-1829791.989,221336605.2
