Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,242,462,24,26,33,219658.7018,389884.7026,0,-166.6182038,-5875.85075
2022-07-30T00:00:00Z,220,92535,34,37,47,170226.0009,667149396.1,140.9595936,-5850.19214,11556961.78
2022-07-29T00:00:00Z,289,92315,31,32,41,221776.6606,666979170.1,0,-8589.176593,11562671.01
2022-07-28T00:00:00Z,372,92026,28,30,39,430082.5666,666757393.4,19991.24261,-1537.694619,11571260.19
2022-07-27T00:00:00Z,233,91654,28,28,39,118754.7896,666327310.9,265.2117728,-1443.169603,11552806.64
2022-07-26T00:00:00Z,261,91421,28,28,40,223153.284,666208556.1,26879.78192,-87.75616375,11553984.6
2022-07-25T00:00:00Z,258,91160,31,35,45,232568.3861,665985402.8,35152.1867,-8893.06,11527192.57
2022-07-24T00:00:00Z,124,90902,21,20,34,64065.56215,665752834.4,5954.972058,0,11500933.45
2022-07-23T00:00:00Z,198,90778,27,31,38,141741.9671,665688768.9,18619.33029,0,11494978.47
2022-07-22T00:00:00Z,228,90580,28,32,39,276880.4912,665547026.9,60050.4817,-2699.130884,11476359.14
2022-07-21T00:00:00Z,298,90352,25,27,33,295183.0774,665270146.4,79752.44186,-8325.316033,11419007.79
2022-07-20T00:00:00Z,465,90054,28,30,36,271498.7096,664974963.3,3993.402,-8.76201463,11347580.67
2022-07-19T00:00:00Z,578,89589,36,37,45,1825560.239,664703464.6,80270.46965,-50209.66671,11343596.03
2022-07-18T00:00:00Z,484,89011,34,78,93,316091.9313,662877904.4,0,-328.4066446,11313535.22
2022-07-17T00:00:00Z,284,88527,31,32,43,174120.6755,662561812.4,0,0,11313863.63
2022-07-16T00:00:00Z,237,88243,34,34,43,230835.6731,662387691.8,0,-49994.58501,11313863.63
2022-07-15T00:00:00Z,249,88006,28,27,34,216845.9526,662156856.1,0,-7.50598508,11363858.22
2022-07-14T00:00:00Z,269,87757,23,25,31,168128.8027,661940010.1,0,-110.4667709,11363865.72
2022-07-13T00:00:00Z,410,87488,32,35,41,612153.7573,661771881.3,0,-20554.40804,11363976.19
