Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,3613,8212,658,795,895,1562212.489,3659534.219,21735.72282,-57572.0229,-137517.9971
2022-07-30T00:00:00Z,4599,5223449,781,936,1032,2097321.73,48493891512,29965.04321,-131646.7403,344087183.1
2022-07-29T00:00:00Z,3991,5218850,713,827,925,2386274.691,48491794191,36198.93052,-161054.4365,344188864.8
2022-07-28T00:00:00Z,3954,5214859,691,812,927,3284721.294,48489407916,146554.618,-151224.8735,344313720.3
2022-07-27T00:00:00Z,3603,5210905,642,752,859,2476185.085,48486123195,101902.6685,-174996.8862,344318390.6
2022-07-26T00:00:00Z,3594,5207302,689,765,898,5035772.548,48483647010,531846.9838,-673564.1771,344391484.8
2022-07-25T00:00:00Z,3990,5203708,733,801,943,11164194.85,48478611237,50622.90037,-5177401.72,344533202
2022-07-24T00:00:00Z,4057,5199718,718,804,925,4290730.611,48467447042,14219.65452,-286032.7574,349659980.8
2022-07-23T00:00:00Z,3033,5195661,612,718,828,3133046.127,48463156312,205785.3089,-271506.5471,349931793.9
2022-07-22T00:00:00Z,3353,5192628,640,727,867,4180901.953,48460023265,163802.5585,-724405.9892,349997515.2
2022-07-21T00:00:00Z,3360,5189275,621,740,860,4192053.894,48455842363,308517.2307,-147357.417,350558118.6
2022-07-20T00:00:00Z,4683,5185915,750,828,977,4670777.526,48451650310,215697.562,-361963.3807,350396958.8
2022-07-19T00:00:00Z,5367,5181232,805,997,1112,4628509.566,48446979532,85142.54188,-297508.946,350543224.6
2022-07-18T00:00:00Z,5227,5175865,796,970,1094,5141819.712,48442351023,234675.3165,-145658.3498,350755591
2022-07-17T00:00:00Z,4000,5170638,707,790,966,3886681.162,48437209203,354279.5965,-78051.1811,350666574
2022-07-16T00:00:00Z,4207,5166638,682,823,943,5610338.374,48433322522,230661.487,-95180.09231,350390345.6
2022-07-15T00:00:00Z,4000,5162431,710,825,938,4141366.697,48427712183,159332.9319,-348605.3071,350254864.2
2022-07-14T00:00:00Z,4173,5158431,687,816,953,4392130.054,48423570817,97466.02964,-196430.0625,350444136.6
2022-07-13T00:00:00Z,6106,5154258,811,940,1060,10048054.13,48419178687,270637.9201,-169483.3509,350543100.6
2022-07-12T00:00:00Z,5268,5148152,894,1002,1154,6445627.498,48409130632,63235.50033,-286725.7648,350441946.1
2022-07-11T00:00:00Z,4926,5142884,813,948,1076,7266345.041,48402685005,1180943.891,-722949.5538,350665436.3
2022-07-10T00:00:00Z,4064,5137958,777,889,1018,3714836.385,48395418660,17182.67323,-176457.5361,350207442
2022-07-09T00:00:00Z,4411,5133894,739,832,963,4491593.076,48391703823,105000.7443,-304047.8174,350366716.8
