Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,14,36,4,4,5,3528.551729,10766.16443,0,0,3808978.89
2022-07-30T00:00:00Z,22,23376,5,4,6,7237.612703,139469928.1,0,0,3808978.89
2022-07-29T00:00:00Z,32,23354,3,4,4,8077.158145,139462690.5,0,0,3808978.89
2022-07-28T00:00:00Z,25,23322,6,7,11,11355.80302,139454613.4,0,0,3808978.89
2022-07-27T00:00:00Z,26,23297,8,6,11,67571.24748,139443257.6,0,0,3808978.89
2022-07-26T00:00:00Z,19,23271,8,8,9,4372.781227,139375686.3,0,0,3808978.89
2022-07-25T00:00:00Z,39,23252,4,4,7,13807.28897,139371313.5,0,0,3808978.89
2022-07-24T00:00:00Z,8,23213,7,8,8,7852.586084,139357506.3,0,-1150,3808978.89
2022-07-23T00:00:00Z,13,23205,6,6,9,104158.9563,139349653.7,0,0,3810128.89
2022-07-22T00:00:00Z,14,23192,3,3,3,9105.453212,139245494.7,0,0,3810128.89
2022-07-21T00:00:00Z,40,23178,15,6,22,43748.60487,139236389.3,0,0,3810128.89
2022-07-20T00:00:00Z,43,23138,6,7,9,68358.3136,139192640.7,0,-13851.23,3810128.89
2022-07-19T00:00:00Z,46,23095,6,8,11,14281.48965,139124282.3,0,0,3823980.12
2022-07-18T00:00:00Z,59,23049,7,10,14,20958.76527,139110000.9,0,0,3823980.12
2022-07-17T00:00:00Z,30,22990,10,10,11,6328.609574,139089042.1,0,0,3823980.12
2022-07-16T00:00:00Z,32,22960,7,8,9,67765.50087,139082713.5,0,-15000,3823980.12
2022-07-15T00:00:00Z,15,22928,4,4,5,4544.839425,139014948,1030.8,0,3838980.12
2022-07-14T00:00:00Z,43,22913,8,8,9,9014.081699,139010403.1,0,0,3837949.32
2022-07-13T00:00:00Z,38,22870,5,5,5,10320.34366,139001389.1,0,0,3837949.32
2022-07-12T00:00:00Z,8,22832,8,7,10,103482.0666,138991068.7,0,0,3837949.32
2022-07-11T00:00:00Z,22,22824,10,11,14,91618.89254,138887586.6,0,0,3837949.32
2022-07-10T00:00:00Z,8,22802,2,2,6,1879.913586,138795967.8,0,0,3837949.32
2022-07-09T00:00:00Z,1,22794,2,2,4,24673.34,138794087.8,0,0,3837949.32
2022-07-08T00:00:00Z,18,22793,4,4,5,17209.16301,138769414.5,12336.67,0,3837949.32
2022-07-07T00:00:00Z,22,22775,9,9,12,4840.606482,138752205.3,0,0,3825612.65
2022-07-06T00:00:00Z,31,22753,9,8,11,6238.881099,138747364.7,0,0,3825612.65
2022-07-05T00:00:00Z,36,22722,8,8,16,10406.12522,138741125.8,0,0,3825612.65
2022-07-04T00:00:00Z,22,22686,9,11,11,28259.56569,138730719.7,0,-5576,3825612.65
2022-07-03T00:00:00Z,16,22664,6,6,6,20317.3965,138702460.2,0,0,3831188.65
2022-07-02T00:00:00Z,11,22648,4,5,6,104176.487,138682142.8,0,0,3831188.65
2022-07-01T00:00:00Z,53,22637,9,12,16,74279.96813,138577966.3,0,-10000,3831188.65
2022-06-30T00:00:00Z,43,22584,5,5,6,10733.30462,138503686.3,0,0,3841188.65
2022-06-29T00:00:00Z,24,22541,3,3,3,12964.40726,138492953,0,0,3841188.65
2022-06-28T00:00:00Z,43,22517,8,8,10,11061.12335,138479988.6,0,0,3841188.65
2022-06-27T00:00:00Z,24,22474,3,3,3,6772.174964,138468927.5,0,0,3841188.65
2022-06-26T00:00:00Z,23,22450,9,11,14,6602.605905,138462155.3,0,0,3841188.65
2022-06-25T00:00:00Z,22,22427,11,13,18,6455.656585,138455552.7,0,0,3841188.65
2022-06-24T00:00:00Z,41,22405,8,10,12,17020.82973,138449097,0,0,3841188.65
2022-06-23T00:00:00Z,8,22364,6,10,12,12334.87786,138432076.2,0,0,3841188.65
2022-06-22T00:00:00Z,11,22356,3,3,3,2714.402307,138419741.3,0,0,3841188.65
2022-06-21T00:00:00Z,24,22345,15,16,20,4040.186441,138417026.9,0,0,3841188.65
2022-06-20T00:00:00Z,18,22321,8,9,10,14782.54361,138412986.7,0,-2230,3841188.65
2022-06-19T00:00:00Z,7,22303,8,7,11,716.825228,138398204.2,0,0,3843418.65
2022-06-18T00:00:00Z,2,22296,3,3,5,113.2842733,138397487.4,0,0,3843418.65
2022-06-17T00:00:00Z,12,22294,6,7,8,59096.75686,138397374.1,0,-28080,3843418.65
2022-06-16T00:00:00Z,35,22282,5,6,9,9531.154751,138338277.3,0,0,3871498.65
2022-06-15T00:00:00Z,69,22247,8,10,11,127895.8216,138328746.2,0,0,3871498.65
2022-06-14T00:00:00Z,75,22178,10,10,13,38817.75677,138200850.4,0,0,3871498.65
2022-06-13T00:00:00Z,141,22103,7,6,9,46193.53837,138162032.6,0,0,3871498.65
2022-06-12T00:00:00Z,69,21962,6,5,8,17412.01577,138115839.1,0,0,3871498.65
2022-06-11T00:00:00Z,29,21893,6,7,7,49127.35426,138098427,0,-10000,3871498.65
2022-06-10T00:00:00Z,23,21864,8,8,9,9222.333524,138049299.7,0,0,3881498.65
2022-06-09T00:00:00Z,8,21841,3,3,3,2605.739509,138040077.4,0,0,3881498.65
2022-06-08T00:00:00Z,15,21833,9,9,12,5378.520032,138037471.6,0,0,3881498.65
2022-06-07T00:00:00Z,62,21818,12,11,16,50500.79497,138032093.1,0,-17130.16,3881498.65
2022-06-06T00:00:00Z,55,21756,16,17,20,105630.593,137981592.3,0,-9328.24,3898628.81
2022-06-05T00:00:00Z,25,21701,12,12,13,5285.056529,137875961.7,0,0,3907957.05
2022-06-04T00:00:00Z,29,21676,8,7,10,29176.70928,137870676.6,0,0,3907957.05
2022-06-03T00:00:00Z,26,21647,8,10,10,5729.549692,137841499.9,0,0,3907957.05
2022-06-02T00:00:00Z,40,21621,12,14,16,148830.7107,137835770.4,0,-34650,3907957.05
2022-06-01T00:00:00Z,44,21581,7,7,9,12606.58815,137686939.7,0,0,3942607.05
2022-05-31T00:00:00Z,57,21537,7,9,9,17452.13281,137674333.1,0,0,3942607.05
2022-05-30T00:00:00Z,47,21480,4,5,5,14598.62525,137656881,0,0,3942607.05
2022-05-29T00:00:00Z,48,21433,7,8,9,16187.28022,137642282.3,0,0,3942607.05
2022-05-28T00:00:00Z,56,21385,8,8,10,16688.73573,137626095.1,0,0,3942607.05
2022-05-27T00:00:00Z,108,21329,7,6,9,30933.61534,137609406.3,0,0,3942607.05
2022-05-26T00:00:00Z,80,21221,8,7,10,24364.4856,137578472.7,0,0,3942607.05
2022-05-25T00:00:00Z,44,21141,15,14,17,521357.4751,137554108.2,0,-151924.66,3942607.05
2022-05-24T00:00:00Z,30,21097,12,11,14,171240.0526,137032750.7,0,0,4094531.71
2022-05-23T00:00:00Z,46,21067,13,13,17,80755.12269,136861510.7,0,-29615,4094531.71
2022-05-22T00:00:00Z,37,21021,11,11,16,12679.75569,136780755.6,0,0,4124146.71
2022-05-21T00:00:00Z,24,20984,6,7,7,38243.23308,136768075.8,0,-7641.27,4124146.71
2022-05-20T00:00:00Z,80,20960,13,16,19,27742.98875,136729832.6,0,-1200,4131787.98
2022-05-19T00:00:00Z,90,20880,13,12,17,30326.86377,136702089.6,0,0,4132987.98
2022-05-18T00:00:00Z,55,20790,10,12,19,24676.75771,136671762.7,0,-4393.05,4132987.98
2022-05-17T00:00:00Z,65,20735,14,16,21,53209.13968,136647086,0,0,4137381.03
2022-05-16T00:00:00Z,77,20670,8,8,11,24455.38832,136593876.8,0,0,4137381.03
2022-05-15T00:00:00Z,61,20593,8,7,11,21233.34861,136569421.4,0,0,4137381.03
2022-05-14T00:00:00Z,84,20532,6,9,10,28478.02284,136548188.1,0,0,4137381.03
2022-05-13T00:00:00Z,116,20448,31,30,43,920880.3076,136519710.1,0,-100216.84,4137381.03
2022-05-12T00:00:00Z,130,20332,23,33,38,349867.7591,135598829.8,0,0,4237597.87
2022-05-11T00:00:00Z,115,20202,18,18,25,1358057.802,135248962,0,-10780.39,4237597.87
2022-05-10T00:00:00Z,56,20087,16,16,20,132070.7131,133890904.2,0,0,4248378.26
2022-05-09T00:00:00Z,38,20031,14,16,23,34507.40981,133758833.5,0,0,4248378.26
2022-05-08T00:00:00Z,30,19993,19,19,26,82434.51382,133724326.1,0,0,4248378.26
2022-05-07T00:00:00Z,17,19963,12,12,15,12365.777,133641891.6,0,0,4248378.26
2022-05-06T00:00:00Z,15,19946,13,12,17,8857.4499,133629525.8,0,0,4248378.26
2022-05-05T00:00:00Z,23,19931,10,10,18,41344.56924,133620668.3,0,-6310.91,4248378.26
2022-05-04T00:00:00Z,15,19908,12,15,20,19512.23743,133579323.8,0,0,4254689.17
2022-05-03T00:00:00Z,15,19893,12,14,19,14722.55726,133559811.5,0,-1030.8,4254689.17
2022-05-02T00:00:00Z,22,19878,10,12,17,36136.15725,133545089,0,0,4255719.97
2022-05-01T00:00:00Z,21,19856,11,10,14,237130.5766,133508952.8,0,0,4255719.97
