Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,12609,25320,2166,2287,2878,27190995.92,69445437.63,489336.6009,-2020116.941,517418.6219
2022-07-30T00:00:00Z,12711,7184373,2204,2395,2947,42254441.7,2.55389E+11,5114102.072,-3065903.11,411736175.4
2022-07-29T00:00:00Z,15333,7171662,2267,2676,3175,53343515.24,2.55347E+11,3273645.309,-2512859.124,409687976.5
2022-07-28T00:00:00Z,15251,7156329,2364,2601,3174,45989694.76,2.55294E+11,1003089.853,-4060700.251,408927190.3
2022-07-27T00:00:00Z,13855,7141078,2372,2658,3263,49590026.03,2.55248E+11,3096856.635,-2633583.008,411984800.7
2022-07-26T00:00:00Z,13392,7127223,2522,2471,3209,51589112.36,2.55198E+11,492038.5916,-2331798.543,411521527.1
2022-07-25T00:00:00Z,13942,7113831,2606,2720,3341,38923097.74,2.55147E+11,972870.978,-1498223.116,413361287
2022-07-24T00:00:00Z,13635,7099889,2440,2581,3135,43328605.12,2.55108E+11,4378609.642,-1819649.895,413886639.2
2022-07-23T00:00:00Z,10649,7086254,2056,2154,2716,25199767.49,2.55064E+11,3176593.585,-661207.2313,411327679.4
2022-07-22T00:00:00Z,12532,7075605,2317,2461,3082,48605649.3,2.55039E+11,2237310.427,-2498530.911,408812293.1
2022-07-21T00:00:00Z,14741,7063073,2326,2517,3194,75323845.69,2.54991E+11,2119332.981,-3294766.002,409073513.5
2022-07-20T00:00:00Z,19486,7048332,2640,2650,3439,76286014.97,2.54915E+11,1805706.089,-2384465.934,410248946.6
2022-07-19T00:00:00Z,18381,7028846,2291,2474,3080,78920365.09,2.54839E+11,4076567.695,-4030855.705,410827706.4
2022-07-18T00:00:00Z,16711,7010465,2439,2730,3369,53764978.69,2.5476E+11,3303007.133,-2414534.395,410781994.4
2022-07-17T00:00:00Z,10953,6993754,1901,2325,2864,29965261.43,2.54706E+11,1432963.03,-1081733.746,409893521.7
2022-07-16T00:00:00Z,10953,6982801,1928,2164,2657,49601778.53,2.54676E+11,1432917.251,-2149164.628,409542292.4
2022-07-15T00:00:00Z,12472,6971848,2023,2212,2737,42756049.88,2.54627E+11,807850.3113,-1667785.432,410258539.8
2022-07-14T00:00:00Z,12696,6959376,1962,2307,2813,44384426.7,2.54584E+11,992513.5335,-4154982.354,411118474.9
2022-07-13T00:00:00Z,14126,6946680,2096,2218,2817,42878164.9,2.5454E+11,1312509.034,-2374692.025,414280943.7
2022-07-12T00:00:00Z,11095,6932554,2105,2228,2892,44702684.87,2.54497E+11,640240.6473,-1482383.457,415343126.7
2022-07-11T00:00:00Z,10627,6921459,2155,2248,2985,35535095.31,2.54452E+11,2428727.616,-1118336.302,416185269.5
2022-07-10T00:00:00Z,9059,6910832,2094,2209,2814,23326923.77,2.54417E+11,251304.2165,-678872.6403,414874878.2
2022-07-09T00:00:00Z,8107,6901773,1862,1897,2493,30978467.67,2.54393E+11,4117569.922,-2758095.231,415302446.6
2022-07-08T00:00:00Z,13288,6893666,2404,2504,3143,98480150.36,2.54362E+11,5443655.906,-6280486.511,413942971.9
2022-07-07T00:00:00Z,14157,6880378,3605,2911,4515,50242855.53,2.54264E+11,2318477.146,-3877650.279,414779802.5
2022-07-06T00:00:00Z,14273,6866221,2419,2485,3266,89873267.93,2.54214E+11,3011462.339,-8038745.644,416338975.7
2022-07-05T00:00:00Z,12454,6851948,2166,10172,10747,92430732.1,2.54124E+11,20093960.14,-2598541.859,421366259
2022-07-04T00:00:00Z,11504,6839494,2276,2403,3055,30284043.47,2.54031E+11,185505.2088,-1521726.248,403870840.7
2022-07-03T00:00:00Z,14977,6827990,3152,3191,3937,68424132.05,2.54001E+11,2496637.239,-4842833.83,405207061.7
2022-07-02T00:00:00Z,13866,6813013,3169,2816,3864,51412646.64,2.53932E+11,5033063.412,-6305971.172,407553258.3
2022-07-01T00:00:00Z,15624,6799147,2502,2742,3385,75665048.99,2.53881E+11,5615758.683,-10804286.46,408826166.1
2022-06-30T00:00:00Z,16844,6783523,2647,2674,3413,93968644.5,2.53805E+11,7399083.98,-4765005.796,414014693.8
2022-06-29T00:00:00Z,14666,6766679,2312,2499,3105,63024735.65,2.53711E+11,3078469.618,-4756913.31,411380615.7
