Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,14570,34105,3022,3714,4734,285691467.6,663265699.8,57041169.54,0,7801336.14
2022-07-30T00:00:00Z,19535,2894798,2773,3546,4323,377574232.2,81439484697,0,-49239833.4,1153648213
2022-07-29T00:00:00Z,21915,2875263,3334,4087,4991,373959346.9,81061910465,302809.75,-45694149.88,1202888046
2022-07-28T00:00:00Z,18506,2853348,3428,4183,5147,1552704202,80687951118,75218255.85,-475047285.5,1248279386
2022-07-27T00:00:00Z,16757,2834842,3270,3900,4866,452585114.7,79135246916,2552288,-18902631.54,1648108416
2022-07-26T00:00:00Z,16824,2818085,3798,4196,5274,504219173.3,78682661801,25598548.84,-5611837.14,1664458759
2022-07-25T00:00:00Z,18324,2801261,3312,3902,4830,312996184.9,78178442628,45232217.86,-2992966.55,1644472048
2022-07-24T00:00:00Z,16432,2782937,4276,3982,5612,69983641.4,77865446443,301011.36,0,1602232796
2022-07-23T00:00:00Z,13580,2766505,2962,3419,4258,54712607.36,77795462802,1403296.9,-6384.8,1601931785
2022-07-22T00:00:00Z,14212,2752925,2870,4071,4800,587698772.5,77740750194,21925475.45,-116206.99,1600534873
2022-07-21T00:00:00Z,16491,2738713,2893,3613,4405,271870677,77153051422,7209545.01,0,1578725604
2022-07-20T00:00:00Z,18408,2722222,3034,3816,4684,339889974.8,76881180745,14525407.95,0,1571516059
2022-07-19T00:00:00Z,20770,2703814,3212,4000,4898,449178929.2,76541290770,20863826.51,-3093837.04,1556990651
2022-07-18T00:00:00Z,20665,2683044,3472,4345,5315,314404715.9,76092111841,17715171.14,-55639.48,1539220662
2022-07-17T00:00:00Z,12596,2662379,2325,3140,3819,281921841.2,75777707125,300366.68,-3454612.45,1521561130
2022-07-16T00:00:00Z,13476,2649783,2417,3180,3813,332068112.6,75495785284,91920.49,-381793.04,1524715376
2022-07-15T00:00:00Z,14944,2636307,2524,3197,3943,209643210.5,75163717171,0,-15223294.97,1525005249
2022-07-14T00:00:00Z,15158,2621363,2583,3230,3976,265505582.9,74954073960,11496.95,-5911894.54,1540228544
2022-07-13T00:00:00Z,16704,2606205,3012,3253,4356,283925672.3,74688568378,5622731.1,-1784093.41,1546128941
2022-07-12T00:00:00Z,13735,2589501,2862,4190,5043,230758105.9,74404642705,1649891.93,-4709996.72,1542290304
