Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,3504,7270,650,622,835,5815543.338,11697138.88,62602.02326,-250985.8755,-223387.9392
2022-07-30T00:00:00Z,3766,5903724,605,644,812,5881595.541,1.38054E+11,30065.14876,-65069.23569,106471355.2
2022-07-29T00:00:00Z,4992,5899958,662,670,904,19377372.32,1.38048E+11,929600.8392,-2444227.623,106506359.2
2022-07-28T00:00:00Z,4876,5894966,705,802,997,21334120.04,1.38028E+11,808090.4401,-3496866.564,108020986
2022-07-27T00:00:00Z,4239,5890090,611,690,873,25437665.97,1.38007E+11,2098805.696,-5050613.097,110709762.2
2022-07-26T00:00:00Z,3981,5885851,762,663,952,15441135.97,1.37982E+11,40265.75722,-880280.9237,113661569.6
2022-07-25T00:00:00Z,4448,5881870,777,755,1036,11555455.13,1.37966E+11,324626.078,-727798.575,114501584.7
2022-07-24T00:00:00Z,3271,5877422,597,614,799,7810182.03,1.37955E+11,340668.6231,-224962.5624,114904757.2
2022-07-23T00:00:00Z,3300,5874151,608,586,799,6303818.124,1.37947E+11,8970.198428,-153433.5191,114789051.2
2022-07-22T00:00:00Z,4287,5870851,689,687,905,22126065.85,1.37941E+11,619997.3189,-500730.2935,114933514.5
2022-07-21T00:00:00Z,5347,5866564,726,802,1011,18682867.2,1.37918E+11,614184.1366,-1454857.744,114814247.5
2022-07-20T00:00:00Z,6652,5861217,797,794,1058,24741520.96,1.379E+11,94349.99054,-1942788.915,115654921.1
2022-07-19T00:00:00Z,6764,5854565,722,804,1017,42380843.88,1.37875E+11,5223281.024,-5807232.215,117503360
2022-07-18T00:00:00Z,6171,5847801,766,929,1153,16735517.27,1.37833E+11,345213.4491,-1277376.501,118087311.2
2022-07-17T00:00:00Z,3912,5841630,589,646,877,13898887.92,1.37816E+11,103756.5787,-165154.1829,119019474.2
2022-07-16T00:00:00Z,3965,5837718,625,722,904,22828536.41,1.37802E+11,718242.1761,-1150585.511,119080871.8
2022-07-15T00:00:00Z,4073,5833753,624,657,850,11115752.48,1.37779E+11,200225.4213,-475900.317,119513215.2
2022-07-14T00:00:00Z,4221,5829680,641,711,923,13017219.91,1.37768E+11,518736.1602,-1994709.694,119788890.1
2022-07-13T00:00:00Z,5070,5825459,626,654,863,14854697.77,1.37755E+11,223864.8676,-1333686.665,121264863.6
2022-07-12T00:00:00Z,3844,5820389,668,642,884,35618811.35,1.3774E+11,238222.631,-769777.7076,122374685.4
2022-07-11T00:00:00Z,3547,5816545,692,712,969,14868711.41,1.37705E+11,199410.0029,-247372.1566,122906240.5
2022-07-10T00:00:00Z,2635,5812998,580,570,768,7450933.486,1.3769E+11,3458.89379,-1038905.11,122954202.6
2022-07-09T00:00:00Z,2651,5810363,620,616,810,12353096.14,1.37682E+11,110901.7611,-612403.0563,123989648.8
2022-07-08T00:00:00Z,4527,5807712,708,741,973,21095421.73,1.3767E+11,391108.3574,-521232.0406,124491150.1
2022-07-07T00:00:00Z,4443,5803185,710,772,1012,19073177.97,1.37649E+11,915534.9979,-825474.7665,124621273.8
