Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,4452,9363,946,1803,2005,85890941.65,557414874,0,0,651000000
2022-07-30T00:00:00Z,4911,673201,939,1904,2059,471523932.4,29686699646,0,0,651000000
2022-07-29T00:00:00Z,5725,668290,1043,1960,2157,198424755.5,29215175714,0,0,651000000
2022-07-28T00:00:00Z,5370,662565,1079,1931,2143,50065340.69,29016750959,0,0,651000000
2022-07-27T00:00:00Z,5771,657195,1072,2007,2217,216818064.1,28966685618,0,0,651000000
2022-07-26T00:00:00Z,5327,651424,1128,1866,2173,245779762,28749867554,0,0,651000000
2022-07-25T00:00:00Z,5202,646097,1150,1983,2232,61895492.47,28504087792,0,0,651000000
2022-07-24T00:00:00Z,4634,640895,1108,1801,2041,26378662.66,28442192299,0,0,651000000
2022-07-23T00:00:00Z,4370,636261,1003,1647,1870,56747467,28415813637,0,0,651000000
2022-07-22T00:00:00Z,4798,631891,1120,1723,1984,182515774.5,28359066170,0,0,651000000
2022-07-21T00:00:00Z,6035,627093,1195,1865,2109,163855922.3,28176550395,0,0,651000000
2022-07-20T00:00:00Z,6499,621058,1182,1928,2161,155238135.4,28012694473,0,0,651000000
2022-07-19T00:00:00Z,6796,614559,1200,1918,2169,256783815.7,27857456337,0,0,651000000
2022-07-18T00:00:00Z,6579,607763,1269,2013,2272,101259754.3,27600672522,0,0,651000000
2022-07-17T00:00:00Z,4723,601184,1009,1599,1816,39357143.11,27499412767,0,0,651000000
2022-07-16T00:00:00Z,5303,596461,1041,1671,1853,42606317.25,27460055624,0,0,651000000
2022-07-15T00:00:00Z,7219,591158,1286,1856,2100,77103131.73,27417449307,0,0,651000000
2022-07-14T00:00:00Z,5045,583939,1010,1600,1785,65830068.32,27340346175,0,0,651000000
2022-07-13T00:00:00Z,5735,578894,1109,1682,1886,171938103.1,27274516107,0,0,651000000
2022-07-12T00:00:00Z,4762,573159,967,1463,1688,229702684.6,27102578004,0,0,651000000
2022-07-11T00:00:00Z,4231,568397,867,1524,1710,139275399.3,26872875319,0,0,651000000
2022-07-10T00:00:00Z,3791,564166,732,1344,1491,25240647.47,26733599920,0,0,651000000
2022-07-09T00:00:00Z,3087,560375,698,1091,1251,57938956.39,26708359272,0,0,651000000
2022-07-08T00:00:00Z,4866,557288,915,1344,1530,95365932.61,26650420316,0,0,651000000
2022-07-07T00:00:00Z,5289,552422,960,1400,1589,83017031.83,26555054383,0,0,651000000
2022-07-06T00:00:00Z,5858,547133,973,1373,1588,134446492.4,26472037352,0,0,651000000
2022-07-05T00:00:00Z,5388,541275,885,1245,1448,89484241.68,26337590859,0,0,651000000
2022-07-04T00:00:00Z,5265,535887,870,1220,1430,76038222.5,26248106617,0,0,651000000
2022-07-03T00:00:00Z,5996,530622,1037,1538,1707,92786483.15,26172068395,0,0,651000000
2022-07-02T00:00:00Z,5196,524626,808,1322,1496,69122649.22,26079281912,0,0,651000000
