,date,Token,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
0,2021-01-01,BUSD.e,33.0,100.0,22.0,25.0,35.0,3817.059385,15576.61187,0.0,0.0,169106.5523
1,2021-01-01,BUSD.e,67.0,14883.0,29.0,44.0,52.0,11759.55249,17116755.54,0.0,0.0,169106.5523
2,2021-01-01,BUSD.e,39.0,14816.0,23.0,29.0,36.0,9806.944427,17104995.99,0.0,0.0,169106.5523
3,2021-01-01,BUSD.e,60.0,14777.0,33.0,37.0,54.0,14798.57811,17095189.05,0.0,0.0,169106.5523
4,2021-01-01,BUSD.e,47.0,14717.0,26.0,34.0,45.0,7975.094218,17080390.47,0.0,0.0,169106.5523
5,2021-01-01,BUSD.e,69.0,14670.0,30.0,38.0,48.0,11384.1086,17072415.37,0.0,0.0,169106.5523
6,2021-01-01,BUSD.e,73.0,14601.0,38.0,58.0,72.0,8273.312863,17061031.27,0.0,0.0,169106.5523
7,2021-01-01,BUSD.e,55.0,14528.0,26.0,37.0,45.0,18996.96982,17052757.95,0.0,-4370.427881,169106.5523
8,2021-01-01,BUSD.e,52.0,14473.0,34.0,39.0,55.0,37529.69152,17033760.98,5491.562052,-20066.03343,173476.9802
9,2021-01-01,BUSD.e,57.0,14421.0,24.0,38.0,46.0,31141.38745,16996231.29,0.0,0.0,188051.4516
10,2021-01-01,BUSD.e,46.0,14364.0,27.0,38.0,47.0,35868.93041,16965089.9,0.0,0.0,188051.4516
11,2021-01-01,BUSD.e,66.0,14318.0,36.0,45.0,62.0,20799.26195,16929220.97,0.0,-1144.449334,188051.4516
12,2021-01-01,BUSD.e,60.0,14252.0,38.0,40.0,58.0,7896.451863,16908421.71,0.0,-97.76977139,189195.9009
13,2021-01-01,BUSD.e,61.0,14192.0,30.0,41.0,51.0,11949.9642,16900525.26,0.0,0.0,189293.6707
14,2021-01-01,BUSD.e,52.0,14131.0,28.0,38.0,51.0,15757.96851,16888575.3,9.982071311,0.0,189293.6707
15,2021-01-01,BUSD.e,50.0,14079.0,33.0,42.0,55.0,21907.52085,16872817.33,0.0,0.0,189283.6886
16,2021-01-01,BUSD.e,52.0,14029.0,32.0,42.0,52.0,30105.8323,16850909.81,0.0,0.0,189283.6886
17,2021-01-01,BUSD.e,49.0,13977.0,28.0,39.0,47.0,17979.54896,16820803.97,390.0,-76.79160913,189283.6886
18,2021-01-01,BUSD.e,45.0,13928.0,27.0,32.0,41.0,15893.3923,16802824.42,0.0,0.0,188970.4802
19,2021-01-01,BUSD.e,58.0,13883.0,37.0,38.0,58.0,18396.30731,16786931.03,0.0,0.0,188970.4802
20,2021-01-01,BUSD.e,67.0,13825.0,40.0,50.0,66.0,10250.6989,16768534.73,0.0,-82.80870227,188970.4802
21,2021-01-01,BUSD.e,22.0,13758.0,18.0,19.0,30.0,6274.004123,16758284.03,0.0,0.0,189053.2889
22,2021-01-01,BUSD.e,60.0,13736.0,32.0,43.0,53.0,25262.13931,16752010.02,0.0,0.0,189053.2889
23,2021-01-01,BUSD.e,37.0,13676.0,20.0,26.0,34.0,7303.50661,16726747.88,0.0,0.0,189053.2889
24,2021-01-01,BUSD.e,59.0,13639.0,29.0,37.0,48.0,30161.90731,16719444.38,0.0,0.0,189053.2889
25,2021-01-01,BUSD.e,31.0,13580.0,24.0,26.0,37.0,7415.23682,16689282.47,0.0,0.0,189053.2889
26,2021-01-01,BUSD.e,47.0,13549.0,28.0,33.0,49.0,19130.19846,16681867.23,0.0,0.0,189053.2889
27,2021-01-01,BUSD.e,44.0,13502.0,23.0,33.0,44.0,18779.25672,16662737.03,1810.0,0.0,189053.2889
28,2021-01-01,BUSD.e,54.0,13458.0,30.0,33.0,49.0,15256.24388,16643957.78,132.9234672,0.0,187243.2889
29,2021-01-01,BUSD.e,68.0,13404.0,33.0,41.0,50.0,41868.56684,16628701.53,5993.44,0.0,187110.3654
30,2021-01-01,BUSD.e,64.0,13336.0,33.0,43.0,55.0,17620.42089,16586832.97,0.0,-248.8185532,181116.9254
31,2021-01-01,BUSD.e,110.0,13272.0,37.0,41.0,53.0,33766.38086,16569212.55,0.0,0.0,181365.744
32,2021-01-01,BUSD.e,57.0,13162.0,25.0,35.0,48.0,28328.75396,16535446.16,0.0,0.0,181365.744
33,2021-01-01,BUSD.e,69.0,13105.0,32.0,46.0,57.0,24704.33733,16507117.41,0.0,0.0,181365.744
34,2021-01-01,BUSD.e,70.0,13036.0,33.0,47.0,62.0,27677.07864,16482413.07,0.0,-490.7426529,181365.744
35,2021-01-01,BUSD.e,33.0,12966.0,22.0,22.0,32.0,5712.619494,16454735.99,0.0,0.0,181856.4867
36,2021-01-01,BUSD.e,43.0,12933.0,30.0,36.0,52.0,8480.025476,16449023.37,0.0,0.0,181856.4867
37,2021-01-01,BUSD.e,71.0,12890.0,33.0,47.0,57.0,47127.6398,16440543.35,0.0,0.0,181856.4867
38,2021-01-01,BUSD.e,42.0,12819.0,25.0,33.0,40.0,8302.443395,16393415.71,0.0,0.0,181856.4867
39,2021-01-01,BUSD.e,68.0,12777.0,35.0,48.0,61.0,20751.98739,16385113.27,0.0,-222.062789,181856.4867
40,2021-01-01,BUSD.e,59.0,12709.0,34.0,39.0,50.0,25552.14429,16364361.28,24.0,-2699.020181,182078.5494
41,2021-01-01,BUSD.e,73.0,12650.0,34.0,44.0,57.0,27324.71824,16338809.13,0.0,0.0,184753.5696
42,2021-01-01,BUSD.e,61.0,12577.0,35.0,40.0,59.0,53170.47611,16311484.42,26951.52159,0.0,184753.5696
43,2021-01-01,BUSD.e,49.0,12516.0,23.0,30.0,41.0,7362.875171,16258313.94,0.0,-2890.951221,157802.048
