date,pool_name,ideal,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,alusd,crv3,alusd_p,crv3_p,cvxcrv,crv,cvxcrv_p,crv_p,usdc,dai,usdt,usdc_p,dai_p,usdt_p,fei,fei_p,frax,frax_p,total,lusd,lusd_p,mim,mim_p,ust,ust_p,wbtc,renbtc,wbtc_p,renbtc_p,sbtc,sbtc_p,susd,susd_p,wust,protocol,chain
2020-04-20,susd:usdc-usdt-dai,0.5,susd,902.886936214452,crv3,609.220051437168,n/a,0,,609.220051437168,,0.4028948059973706,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.886936214452,0.5971051940026294,,Curve,Ethereum
2020-04-21,susd:usdc-usdt-dai,0.5,susd,902.896936214452,crv3,544.77447579358,n/a,0,,544.77447579358,,0.3763108612042948,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.896936214452,0.6236891387957052,,Curve,Ethereum
2020-04-22,susd:usdc-usdt-dai,0.5,susd,805218.6827033189,crv3,298461.9062422545,n/a,0,,298461.9062422545,,0.2704241691225147,,,,,,,,,,,,,,,,,,,,,,,,,,,,805218.6827033189,0.7295758308774852,,Curve,Ethereum
2020-04-23,susd:usdc-usdt-dai,0.5,susd,2743622.078016134,crv3,1227539.2542375263,n/a,0,,1227539.2542375263,,0.3091134183513239,,,,,,,,,,,,,,,,,,,,,,,,,,,,2743622.078016134,0.6908865816486761,,Curve,Ethereum
2020-04-24,susd:usdc-usdt-dai,0.5,susd,2294495.813984122,crv3,1478932.4613459774,n/a,0,,1478932.4613459774,,0.3919333702497897,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294495.813984122,0.6080666297502103,,Curve,Ethereum
2020-04-25,susd:usdc-usdt-dai,0.5,susd,2405324.362346697,crv3,1504143.7555095064,n/a,0,,1504143.7555095064,,0.3847438347532346,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405324.362346697,0.6152561652467654,,Curve,Ethereum
2020-04-26,susd:usdc-usdt-dai,0.5,susd,2400121.22080242,crv3,1560696.3216067844,n/a,0,,1560696.3216067844,,0.3940338843928357,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400121.22080242,0.6059661156071642,,Curve,Ethereum
2020-04-27,susd:usdc-usdt-dai,0.5,susd,1835373.9393673025,crv3,1698432.915022407,n/a,0,,1698432.915022407,,0.4806241498209238,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835373.9393673025,0.5193758501790763,,Curve,Ethereum
2020-04-28,susd:usdc-usdt-dai,0.5,susd,2009127.6465345856,crv3,1630598.910986822,n/a,0,,1630598.910986822,,0.44800038827566,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009127.6465345856,0.55199961172434,,Curve,Ethereum
2020-04-29,susd:usdc-usdt-dai,0.5,susd,2157116.7911540987,crv3,1679453.5885548657,n/a,0,,1679453.5885548657,,0.4377486719485818,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157116.7911540987,0.5622513280514182,,Curve,Ethereum
2020-04-30,susd:usdc-usdt-dai,0.5,susd,2651630.310363983,crv3,1571582.5255915497,n/a,0,,1571582.5255915497,,0.3721296052643693,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651630.310363983,0.6278703947356308,,Curve,Ethereum
2020-05-01,susd:usdc-usdt-dai,0.5,susd,2347872.473245827,crv3,1503793.2659192015,n/a,0,,1503793.2659192015,,0.3904267316418783,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347872.473245827,0.6095732683581216,,Curve,Ethereum
2020-05-02,susd:usdc-usdt-dai,0.5,susd,2297514.7478025546,crv3,1797908.7580076056,n/a,0,,1797908.7580076056,,0.4390043558271617,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297514.7478025546,0.5609956441728383,,Curve,Ethereum
2020-05-03,susd:usdc-usdt-dai,0.5,susd,2328826.2787447483,crv3,2080238.207441697,n/a,0,,2080238.207441697,,0.4718094312204011,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328826.2787447483,0.5281905687795989,,Curve,Ethereum
2020-05-04,susd:usdc-usdt-dai,0.5,susd,2387324.597917755,crv3,2052933.5981939444,n/a,0,,2052933.5981939444,,0.4623455455792374,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387324.597917755,0.5376544544207625,,Curve,Ethereum
2020-05-05,susd:usdc-usdt-dai,0.5,susd,2385004.367008562,crv3,2313441.675430856,n/a,0,,2313441.675430856,,0.4923844297740886,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385004.367008562,0.5076155702259114,,Curve,Ethereum
2020-05-06,susd:usdc-usdt-dai,0.5,susd,3380423.962269025,crv3,2258451.0689693503,n/a,0,,2258451.0689693503,,0.4005144743336089,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380423.962269025,0.5994855256663911,,Curve,Ethereum
2020-05-07,susd:usdc-usdt-dai,0.5,susd,3314139.688784346,crv3,2678476.582152544,n/a,0,,2678476.582152544,,0.44696280573523,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314139.688784346,0.5530371942647699,,Curve,Ethereum
2020-05-08,susd:usdc-usdt-dai,0.5,susd,3133321.3039006703,crv3,2692708.2480207635,n/a,0,,2692708.2480207635,,0.4621858203813442,,,,,,,,,,,,,,,,,,,,,,,,,,,,3133321.3039006703,0.5378141796186557,,Curve,Ethereum
2020-05-09,susd:usdc-usdt-dai,0.5,susd,3217795.8190048886,crv3,2534833.3841423984,n/a,0,,2534833.3841423984,,0.4406391051165927,,,,,,,,,,,,,,,,,,,,,,,,,,,,3217795.8190048886,0.5593608948834073,,Curve,Ethereum
2020-05-10,susd:usdc-usdt-dai,0.5,susd,3303343.079461144,crv3,2393639.437648924,n/a,0,,2393639.437648924,,0.4201591685528211,,,,,,,,,,,,,,,,,,,,,,,,,,,,3303343.079461144,0.5798408314471788,,Curve,Ethereum
2020-05-11,susd:usdc-usdt-dai,0.5,susd,3413851.4252800113,crv3,2225529.9969658046,n/a,0,,2225529.9969658046,,0.3946408001747671,,,,,,,,,,,,,,,,,,,,,,,,,,,,3413851.4252800113,0.6053591998252329,,Curve,Ethereum
2020-05-12,susd:usdc-usdt-dai,0.5,susd,3369745.134596865,crv3,2352536.7792855394,n/a,0,,2352536.7792855394,,0.4111186436967085,,,,,,,,,,,,,,,,,,,,,,,,,,,,3369745.134596865,0.5888813563032915,,Curve,Ethereum
2020-05-13,susd:usdc-usdt-dai,0.5,susd,3235175.868783665,crv3,2280127.284414984,n/a,0,,2280127.284414984,,0.4134183055908003,,,,,,,,,,,,,,,,,,,,,,,,,,,,3235175.868783665,0.5865816944091996,,Curve,Ethereum
2020-05-14,susd:usdc-usdt-dai,0.5,susd,3338601.4876769492,crv3,2447298.166055165,n/a,0,,2447298.166055165,,0.4229762547776938,,,,,,,,,,,,,,,,,,,,,,,,,,,,3338601.4876769492,0.5770237452223062,,Curve,Ethereum
2020-05-15,susd:usdc-usdt-dai,0.5,susd,3324226.894431856,crv3,2428717.359362803,n/a,0,,2428717.359362803,,0.4221694583188102,,,,,,,,,,,,,,,,,,,,,,,,,,,,3324226.894431856,0.5778305416811899,,Curve,Ethereum
2020-05-16,susd:usdc-usdt-dai,0.5,susd,3371625.4860604177,crv3,2376279.133826126,n/a,0,,2376279.133826126,,0.4134165910834182,,,,,,,,,,,,,,,,,,,,,,,,,,,,3371625.4860604177,0.5865834089165818,,Curve,Ethereum
2020-05-17,susd:usdc-usdt-dai,0.5,susd,3472308.0796116246,crv3,2251500.325520249,n/a,0,,2251500.325520249,,0.3933570389081491,,,,,,,,,,,,,,,,,,,,,,,,,,,,3472308.0796116246,0.6066429610918509,,Curve,Ethereum
2020-05-18,susd:usdc-usdt-dai,0.5,susd,3429338.716683002,crv3,2531225.3553701765,n/a,0,,2531225.3553701765,,0.4246620495597272,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429338.716683002,0.5753379504402728,,Curve,Ethereum
2020-05-19,susd:usdc-usdt-dai,0.5,susd,3436346.194398172,crv3,2666121.2714952813,n/a,0,,2666121.2714952813,,0.4368923368123091,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436346.194398172,0.5631076631876908,,Curve,Ethereum
2020-05-20,susd:usdc-usdt-dai,0.5,susd,3449308.148291488,crv3,2719889.724323564,n/a,0,,2719889.724323564,,0.4408822314481272,,,,,,,,,,,,,,,,,,,,,,,,,,,,3449308.148291488,0.5591177685518727,,Curve,Ethereum
2020-05-21,susd:usdc-usdt-dai,0.5,susd,3669307.7358301375,crv3,2487936.653963001,n/a,0,,2487936.653963001,,0.4040665753152907,,,,,,,,,,,,,,,,,,,,,,,,,,,,3669307.7358301375,0.5959334246847092,,Curve,Ethereum
2020-05-22,susd:usdc-usdt-dai,0.5,susd,3772367.6740601226,crv3,2593084.9959012726,n/a,0,,2593084.9959012726,,0.4073685141259559,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772367.6740601226,0.5926314858740441,,Curve,Ethereum
2020-05-23,susd:usdc-usdt-dai,0.5,susd,3687398.3698230144,crv3,2531537.2107209326,n/a,0,,2531537.2107209326,,0.407069212718796,,,,,,,,,,,,,,,,,,,,,,,,,,,,3687398.3698230144,0.592930787281204,,Curve,Ethereum
2020-05-24,susd:usdc-usdt-dai,0.5,susd,3475023.9611230805,crv3,2590142.2466559326,n/a,0,,2590142.2466559326,,0.4270521462930213,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475023.9611230805,0.5729478537069786,,Curve,Ethereum
