date,pool_name,ideal,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,token_4,token_4_balance,TVL,chain,protocol,protocol_version,daily_revenue
2021-04-19,adai:ausdc:ausdt,0.33,adai,10001.00537,ausdc,10000.99001,ausdt,10001.0,n/a,0.0,30002.99538,Polygon,Curve,V2,n/a
2021-04-20,adai:ausdc:ausdt,0.33,adai,2036472.06,ausdc,1794440.604,ausdt,1436200.726,n/a,0.0,5267113.39,Polygon,Curve,V2,n/a
2021-04-21,adai:ausdc:ausdt,0.33,adai,7511046.73,ausdc,8202021.364,ausdt,7731761.953,n/a,0.0,23444830.047,Polygon,Curve,V2,n/a
2021-04-22,adai:ausdc:ausdt,0.33,adai,15183841.11,ausdc,13095876.26,ausdt,13330185.4,n/a,0.0,41609902.769999996,Polygon,Curve,V2,n/a
2021-04-23,adai:ausdc:ausdt,0.33,adai,23578665.67,ausdc,26739423.66,ausdt,27295272.77,n/a,0.0,77613362.1,Polygon,Curve,V2,n/a
2021-04-24,adai:ausdc:ausdt,0.33,adai,26882124.65,ausdc,32469487.4,ausdt,34791890.91,n/a,0.0,94143502.96,Polygon,Curve,V2,n/a
2021-04-25,adai:ausdc:ausdt,0.33,adai,33817803.69,ausdc,38596785.06,ausdt,27902331.94,n/a,0.0,100316920.69,Polygon,Curve,V2,n/a
2021-04-26,adai:ausdc:ausdt,0.33,adai,32528185.62,ausdc,34258106.0,ausdt,36900139.41,n/a,0.0,103686431.03,Polygon,Curve,V2,n/a
2021-04-27,adai:ausdc:ausdt,0.33,adai,40291426.1,ausdc,45867337.78,ausdt,42088082.31,n/a,0.0,128246846.19,Polygon,Curve,V2,n/a
2021-04-28,adai:ausdc:ausdt,0.33,adai,48002027.81,ausdc,64256594.0,ausdt,51628180.65,n/a,0.0,163886802.46,Polygon,Curve,V2,n/a
2021-04-29,adai:ausdc:ausdt,0.33,adai,48852612.35,ausdc,70116174.57,ausdt,59696618.04,n/a,0.0,178665404.95999998,Polygon,Curve,V2,n/a
2021-04-30,adai:ausdc:ausdt,0.33,adai,52956575.98,ausdc,73412811.82,ausdt,78377892.84,n/a,0.0,204747280.64,Polygon,Curve,V2,n/a
2021-05-01,adai:ausdc:ausdt,0.33,adai,40253861.43,ausdc,117280255.7,ausdt,44362151.73,n/a,0.0,201896268.85999998,Polygon,Curve,V2,n/a
2021-05-02,adai:ausdc:ausdt,0.33,adai,46819226.1,ausdc,116635765.5,ausdt,94035857.23,n/a,0.0,257490848.82999998,Polygon,Curve,V2,n/a
2021-05-03,adai:ausdc:ausdt,0.33,adai,47262301.93,ausdc,138229437.6,ausdt,74886273.5,n/a,0.0,260378013.03,Polygon,Curve,V2,n/a
2021-05-04,adai:ausdc:ausdt,0.33,adai,52671626.9,ausdc,140164580.8,ausdt,82343551.67,n/a,0.0,275179759.37,Polygon,Curve,V2,n/a
2021-05-05,adai:ausdc:ausdt,0.33,adai,61932602.28,ausdc,134713321.5,ausdt,73590727.87,n/a,0.0,270236651.65,Polygon,Curve,V2,n/a
2021-05-06,adai:ausdc:ausdt,0.33,adai,64034382.22,ausdc,149543969.1,ausdt,62591523.61,n/a,0.0,276169874.93,Polygon,Curve,V2,n/a
2021-05-07,adai:ausdc:ausdt,0.33,adai,56892457.03,ausdc,148449907.9,ausdt,59798690.36,n/a,0.0,265141055.29000002,Polygon,Curve,V2,n/a
2021-05-08,adai:ausdc:ausdt,0.33,adai,71778199.0,ausdc,147428265.3,ausdt,65928077.15,n/a,0.0,285134541.45,Polygon,Curve,V2,n/a
2021-05-09,adai:ausdc:ausdt,0.33,adai,73112326.79,ausdc,164075584.3,ausdt,86103028.94,n/a,0.0,323290940.03000003,Polygon,Curve,V2,n/a
