date,chain,protocol,protocol_version,pool_name,token_1,token_1_balance,token_2,token_2_balance,TVL
2021-07-02,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,2575.499609553661571605,XAVA,42540.891886670579364177,0.0
2021-07-02,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,1043.971937136632619168,SNOB,62271.378054226289120573,0.0
2021-07-02,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,1665.174337147758243295,PEFI,28771.313102100382066653,0.0
2021-07-03,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,248708.1180598831122453,WAVAX,1338.959942635612174764,0.0
2021-07-03,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,27699.149470253079512792,XAVA,439760.978958848253297399,0.0
2021-07-03,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,10780.310886343785530614,SNOB,617500.67570787028019027,0.0
2021-07-03,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,10125.247305600115217127,PEFI,193297.239867386725126581,0.0
2021-07-04,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,1043155.426973558846931039,WAVAX,2810.182467928444010511,0.0
2021-07-04,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,30054.411480933295469572,XAVA,496902.506587366105210691,0.0
2021-07-04,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,10120.773781674757083962,SNOB,607638.455049850651540101,0.0
2021-07-04,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,8094.263373819530414251,PEFI,158246.045556212693623705,0.0
2021-07-05,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,1557174.629060088601410848,WAVAX,6916.315412912577027598,0.0
2021-07-05,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,35546.848052778343304696,XAVA,615387.018316176624021328,0.0
2021-07-05,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,11851.151000570441242953,SNOB,699730.938353177240416196,0.0
2021-07-05,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,10230.859046961328672399,PEFI,201439.099396498538462404,0.0
2021-07-06,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,2287817.833566070738822214,WAVAX,10020.687664051749107848,0.0
2021-07-06,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,35286.917264998544882987,XAVA,645969.849460749141532179,0.0
2021-07-06,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,10843.961550333496003651,SNOB,665238.419289605627136651,0.0
2021-07-06,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,10454.8296301397678631,PEFI,213350.859174578214003802,0.0
2021-07-07,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,2804962.455711137068873477,WAVAX,16517.677354455012571312,0.0
2021-07-07,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,38038.518599116206455977,XAVA,700201.110574970407623953,0.0
2021-07-07,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,12465.205850453642688672,SNOB,783252.638705090172922016,0.0
2021-07-07,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,9950.689673831351619161,PEFI,214226.152145938215854372,0.0
2021-07-08,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,3636963.922973859429276008,WAVAX,22112.514091767894587422,0.0
2021-07-08,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,41333.790641040944858382,XAVA,747975.427196508560171865,0.0
2021-07-08,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,16499.364432954193002359,SNOB,1039086.084908238311822529,0.0
2021-07-08,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,9526.721397996168193342,PEFI,206701.038952019765466754,0.0
2021-07-09,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,4677606.875296820913632615,WAVAX,24720.614843460498329254,0.0
2021-07-09,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,42203.28599137022054698,XAVA,773445.603688521060507804,0.0
2021-07-09,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,16998.379929300368310259,SNOB,1064244.933981871785079329,0.0
2021-07-09,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,9102.007245654581874086,PEFI,203422.370733172617382474,0.0
2021-07-10,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,5278395.075788599669054749,WAVAX,25469.817737234097650344,0.0
2021-07-10,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,42476.998542558094397261,XAVA,790989.686818043308068818,0.0
2021-07-10,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,17060.971385437934974086,SNOB,1066501.279252042850174415,0.0
2021-07-10,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,9295.800450421508184227,PEFI,207252.033202311617279329,0.0
2021-07-11,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,6662889.763464718275774664,WAVAX,39814.759289192957892239,0.0
2021-07-11,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,43532.649255122888389734,XAVA,822435.62232604727781576,0.0
2021-07-11,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,20007.535876295355380421,SNOB,1260872.704588392527008314,0.0
2021-07-11,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,11594.567117987089896684,PEFI,277558.315955059250092193,0.0
2021-07-12,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,6869739.859248204613615818,WAVAX,38707.178229785582090369,0.0
2021-07-12,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,45018.936007731845216093,XAVA,830072.258777349286476751,0.0
2021-07-12,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,22868.262316803281012561,SNOB,1422800.12458089937799575,0.0
2021-07-12,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,11648.569308524173509175,PEFI,278952.278667077505158736,0.0
2021-07-13,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,6587266.227407408843897098,WAVAX,45669.841988230226829372,0.0
2021-07-13,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,47211.369361091829219368,XAVA,864148.24966577494992134,0.0
2021-07-13,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,23560.528455898590299834,SNOB,1400481.561821077856251937,0.0
2021-07-13,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,13052.738629909139645034,PEFI,308533.539716068960391481,0.0
2021-07-14,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,7257806.992350733414989444,WAVAX,60501.020151333219279064,0.0
2021-07-14,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,51231.59101068179505214,XAVA,911606.862335329953782245,0.0
2021-07-14,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,25409.321585461033191394,SNOB,1487220.9093975225959335,0.0
2021-07-14,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,13530.637250702938047059,PEFI,323138.445486136208893785,0.0
2021-07-15,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,8198628.056533000547569765,WAVAX,64624.799569305862161103,0.0
2021-07-15,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,52363.756287439399276191,XAVA,951029.305195872759624357,0.0
2021-07-15,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,25356.038098742268310732,SNOB,1495731.498411798548497492,0.0
2021-07-15,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,13692.965486801861074356,PEFI,333551.411339849806205703,0.0
2021-07-16,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,9242474.005533761770966137,WAVAX,86867.084306215262606324,0.0
2021-07-16,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,53485.618315155499534376,XAVA,1026060.612661016298310435,0.0
2021-07-16,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,43437.18537617398488356,SNOB,2139514.577990985357540991,0.0
2021-07-16,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,12616.823393848153196807,PEFI,334175.10758857986590431,0.0
2021-07-17,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,10062130.84101043138533506,WAVAX,73679.851617673322871729,0.0
2021-07-17,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,55928.713092300850776902,XAVA,1013925.413309434713150987,0.0
2021-07-17,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,44787.454984388423682098,SNOB,2191856.436490701919833698,0.0
2021-07-17,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,13971.250732310654444236,PEFI,344876.920499632329947033,0.0
2021-07-18,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,10795437.273595696364156335,WAVAX,80519.913625397640228253,0.0
2021-07-18,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,59050.658713293989517994,XAVA,958821.808849696231064425,0.0
2021-07-18,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,40806.980875607036761391,SNOB,2094839.966867389370765946,0.0
2021-07-18,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,14457.364929917493886326,PEFI,354541.085177562649911418,0.0
2021-07-19,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,12335170.664425227595595996,WAVAX,70655.648808324451919554,0.0
2021-07-19,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,56741.453615540728960419,XAVA,993779.331811926405910527,0.0
2021-07-19,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,41207.262390355779830371,SNOB,2111362.267514526922908843,0.0
2021-07-19,Avalanche,Trader Joe,V1,WAVAX/PEFI,WAVAX,13765.439943293097288018,PEFI,337622.982649785078636973,0.0
2021-07-20,Avalanche,Trader Joe,V1,JOE/WAVAX,JOE,12849696.399969883815543142,WAVAX,70942.69850015985153977,0.0
2021-07-20,Avalanche,Trader Joe,V1,WAVAX/XAVA,WAVAX,55336.097569904433563822,XAVA,990070.070350636115946822,0.0
2021-07-20,Avalanche,Trader Joe,V1,WAVAX/SNOB,WAVAX,37089.768779577401399499,SNOB,2113811.010204582468289287,0.0
