time,AXLUSDC,USDC
2022-06-30T00:00:00Z,2558563.605,2441530.817
2022-07-01T00:00:00Z,2558079.102,2442017.471
2022-07-03T00:00:00Z,2558069.104,2442027.471
2022-07-05T00:00:00Z,2544690.601,2455415.769
2022-07-06T00:00:00Z,2517246.628,2482867.346
2022-07-07T00:00:00Z,2510880.811,2489242.588
2022-07-08T00:00:00Z,2512927.281,2487198.167
2022-07-09T00:00:00Z,2512564.867,2487560.707
2022-07-10T00:00:00Z,2532817.507,2467319.056
2022-07-11T00:00:00Z,2555178.495,2445002.356
2022-07-12T00:00:00Z,2566968.296,2433223.112
2022-07-13T00:00:00Z,2573665.722,2426533.285
2022-07-14T00:00:00Z,2589809.93,2410401.585
2022-07-15T00:00:00Z,2595511.064,2404710.058
2022-07-16T00:00:00Z,2587919.371,2412304.21
2022-07-17T00:00:00Z,2589699.552,2410525.675
2022-07-18T00:00:00Z,2616324.658,2383922.682
2022-07-19T00:00:00Z,2632759.27,2367502.88
2022-07-20T00:00:00Z,2631715.595,2368547.428
2022-07-21T00:00:00Z,2628506.942,2371756.967
2022-07-22T00:00:00Z,2629396.415,2370868.716
2022-07-23T00:00:00Z,2629153.276,2371114.914
2022-07-24T00:00:00Z,2623077.644,2377189.914
2022-07-25T00:00:00Z,2621398.02,2378871.883
2022-07-26T00:00:00Z,2625674.25,2374599.472
2022-07-27T00:00:00Z,2628939.012,2371340.077
2022-07-28T00:00:00Z,2627244.093,2373049.261
2022-07-29T00:00:00Z,2628324.374,2371987.336
2022-07-30T00:00:00Z,2594982.105,2405331.352
2022-07-31T00:00:00Z,2592568.276,2407748.626
2022-08-01T00:00:00Z,2555876.634,2444468.96
2022-08-02T00:00:00Z,2581507.593,2418878.128
2022-08-03T00:00:00Z,2560221.453,2440182.85
2022-08-04T00:00:00Z,2544792.655,2455621.33
2022-08-05T00:00:00Z,2596870.395,2403587.736
2022-08-06T00:00:00Z,2622175.191,2378305.346
2022-08-07T00:00:00Z,2637729.223,2362771.115
2022-08-08T00:00:00Z,2556896.307,2443632.16
2022-08-09T00:00:00Z,2553570.224,2446969.935
2022-08-10T00:00:00Z,2506310.572,2494250.146
2022-08-11T00:00:00Z,2551870.404,2448726.678
2022-08-12T00:00:00Z,2571667.261,2428946.622
2022-08-13T00:00:00Z,2513773.034,2486879.778
2022-08-14T00:00:00Z,2518097.497,2482574.033
2022-08-15T00:00:00Z,2545446.001,2455261.37
2022-08-16T00:00:00Z,2528453.27,2472270.418
2022-08-17T00:00:00Z,2556314.051,2444095.473
