time,MIM,USDC.e,USDT.e
2021-11-14T00:00:00Z,167288.8342,268350.2619,258918.2921
2021-11-15T00:00:00Z,14081737.83,18988355.9,16942087.97
2021-11-16T00:00:00Z,55909833.63,65032118.1,58570567.74
2021-11-17T00:00:00Z,45744260.92,68034071.71,67327536.73
2021-11-18T00:00:00Z,44739414.4,59666823.24,60212773.93
2021-11-19T00:00:00Z,45601412.74,61420507.35,56811253.1
2021-11-20T00:00:00Z,51029145.21,59868847.4,56574937.57
2021-11-21T00:00:00Z,47187649.78,66722850.16,58010739.69
2021-11-22T00:00:00Z,46996883.8,68135132.89,62165814.03
2021-11-23T00:00:00Z,64596006.86,70184649.5,77926214.21
2021-11-24T00:00:00Z,62922900.37,81320826.83,73560096.68
2021-11-25T00:00:00Z,95623935.1,73848275.41,79835892.07
2021-11-26T00:00:00Z,81032214.61,93463959.24,83359721.68
2021-11-27T00:00:00Z,80761778.07,92092998.61,81247788.25
2021-11-28T00:00:00Z,84070512.1,85221927.71,79173874.3
2021-11-29T00:00:00Z,84966429.91,97144088.39,82480994.2
2021-11-30T00:00:00Z,88406636.14,90852512.85,79592370.55
2021-12-01T00:00:00Z,83362768.46,91545106.91,78975264.98
2021-12-02T00:00:00Z,77114288.99,93128848,78647807.18
2021-12-03T00:00:00Z,80718696.11,91269313.6,73271347.46
2021-12-04T00:00:00Z,58665878.83,75375352.16,61206837.62
2021-12-05T00:00:00Z,66900962.54,70215124.23,55586188.16
2021-12-06T00:00:00Z,66626462.17,84724741.22,64535175.59
2021-12-07T00:00:00Z,66155566.59,87788634.52,68233744.97
2021-12-08T00:00:00Z,66072785.82,87715540.45,70856133.81
2021-12-09T00:00:00Z,72126582.84,87906158.04,73798359.1
2021-12-10T00:00:00Z,74737748.14,85144974.26,72704690.32
2021-12-11T00:00:00Z,73168958.99,74345144.15,71776037.96
2021-12-12T00:00:00Z,66951693.72,72261572.9,72107969.65
2021-12-13T00:00:00Z,64155895.51,73945357.69,71518615.94
2021-12-14T00:00:00Z,61912813.43,75466196.3,66827027.09
2021-12-15T00:00:00Z,59135753.15,78046019.58,72315246.39
2021-12-16T00:00:00Z,61650749.05,77364699.25,71961380.66
2021-12-17T00:00:00Z,57790766.09,80629031.72,71961089.2
2021-12-18T00:00:00Z,58769121.99,79890255.53,71180561.74
2021-12-19T00:00:00Z,53875341.77,87912709.67,73506016.2
2021-12-20T00:00:00Z,41534568.22,96698956.19,77500509.84
2021-12-21T00:00:00Z,46340866.65,104147495.7,74076120.5
2021-12-22T00:00:00Z,50387272.98,106490516.7,73125573.94
2021-12-23T00:00:00Z,59390972.25,108073047.7,67844205.54
2021-12-24T00:00:00Z,66260135.73,107257682,70850678.15
2021-12-25T00:00:00Z,59230961.57,110150531.7,76853533.16
2021-12-26T00:00:00Z,54854225.4,114147744.4,76405958.91
2021-12-27T00:00:00Z,45581718.5,122055094.5,76679710.35
2021-12-28T00:00:00Z,46742272.4,119014729.9,77885500.02
2021-12-29T00:00:00Z,52904356.02,111835808,78603696.36
2021-12-30T00:00:00Z,48743346.45,114430876.8,81150019.84
