time,USDC,USDT,UST
2022-03-17T00:00:00Z,3425760.59,2925687.036,1653970.172
2022-03-18T00:00:00Z,3870404.885,3402598.224,1948162.106
2022-03-19T00:00:00Z,3903422.953,3387327.802,1931059.363
2022-03-20T00:00:00Z,4040709.674,3220541.086,1961402.149
2022-03-21T00:00:00Z,3789905.807,3420838.678,2012457.731
2022-03-22T00:00:00Z,4031322.105,2822804.374,2370531.517
2022-03-23T00:00:00Z,3590322.768,3674856.508,1963175.027
2022-03-24T00:00:00Z,3458288.402,2999599.382,2770330.21
2022-03-25T00:00:00Z,3527353.205,3030257.678,2672288.683
2022-03-26T00:00:00Z,3458599.938,2964426.437,2808131.545
2022-03-27T00:00:00Z,3483821.652,3081238.592,2667215.566
2022-03-28T00:00:00Z,3266255.472,3118900.521,2848614.723
2022-03-29T00:00:00Z,3110946.933,3049636.763,3075698.358
2022-03-30T00:00:00Z,3483623.74,3229016.02,2526035.109
2022-03-31T00:00:00Z,5252891.185,4853090.35,4130915.415
2022-04-01T00:00:00Z,5022424.28,4285851.777,4930089.502
2022-04-02T00:00:00Z,5193163.719,4527143.022,4518844.357
2022-04-03T00:00:00Z,5306067.244,4782395.574,4152249.077
2022-04-04T00:00:00Z,4866345.112,4846956.066,4528148.537
2022-04-05T00:00:00Z,4873753.087,4884465.113,4484317.213
2022-04-06T00:00:00Z,5012709.019,4888380.331,4343615.543
2022-04-07T00:00:00Z,4975062.903,4942590.761,4329373.672
2022-04-08T00:00:00Z,5008970.188,4946677.517,4292047.047
2022-04-09T00:00:00Z,4895517.144,4797438.716,4554812.697
2022-04-10T00:00:00Z,4938746.278,5140206.128,4169568.066
2022-04-11T00:00:00Z,4923982.405,4983671.409,4341709.29
2022-04-12T00:00:00Z,5311039.98,4904042.672,4035363.766
2022-04-13T00:00:00Z,5398537.509,5019144.869,3833819.199
2022-04-14T00:00:00Z,6045110.728,6234457.772,4650680.485
2022-04-15T00:00:00Z,6524234.335,6055216.793,4161413.097
2022-04-16T00:00:00Z,9288405.085,8847015.349,6916986.839
2022-04-17T00:00:00Z,10274957.58,9138581.685,6319763.067
2022-04-18T00:00:00Z,10539287.66,9338643.926,6651912.383
2022-04-19T00:00:00Z,12007570.79,10881159.51,7077232.092
2022-04-20T00:00:00Z,13711356.89,12527298.5,6690014.101
2022-04-21T00:00:00Z,11321613.69,11778998.25,6840651.967
2022-04-22T00:00:00Z,11989731.09,10624613.97,7732375.936
2022-04-23T00:00:00Z,12028478.86,11239333.6,8211246.677
2022-04-24T00:00:00Z,13071796.53,12123205.54,9357668.062
2022-04-25T00:00:00Z,13111371.18,12786052.32,10787529.14
2022-04-26T00:00:00Z,14251949.97,13531065.76,11727073.51
2022-04-27T00:00:00Z,15364941.31,15417530.87,13964703.65
2022-04-28T00:00:00Z,16632872.02,15252413.51,15295917.17
2022-04-29T00:00:00Z,18014085.65,16961550.8,16338833.62
2022-04-30T00:00:00Z,15642613.45,14983971.08,14456914.06
2022-05-01T00:00:00Z,18145595.17,16823124.39,16279815.86
2022-05-02T00:00:00Z,19040295.46,18018618.65,16383659.69
2022-05-03T00:00:00Z,18355630.71,18780130.06,17470364.7
2022-05-04T00:00:00Z,18878986.86,19140165.56,17896211.39
2022-05-05T00:00:00Z,20540511.27,19888220.9,20187884.72
2022-05-06T00:00:00Z,20043948.02,20104609.28,19928975.04
2022-05-07T00:00:00Z,9534368.945,9382921.823,25546064.09
2022-05-08T00:00:00Z,8422685.658,8930904.812,18827470.91
2022-05-09T00:00:00Z,2081969.412,2122813.523,31991818.81
2022-05-10T00:00:00Z,1927804.815,1919535.581,27675117.42
2022-05-11T00:00:00Z,1227023.492,1231683.462,17554747.51
2022-05-12T00:00:00Z,649258.9697,634515.0585,15160030.78
2022-05-13T00:00:00Z,241900.4352,242407.9308,14246469.25
2022-05-14T00:00:00Z,284450.2857,284824.5764,13427296.47
2022-05-15T00:00:00Z,252284.9789,252640.4014,13425166.75
2022-05-16T00:00:00Z,210581.4313,210152.2253,14093582.57
2022-05-17T00:00:00Z,200540.0351,200292.5848,14293928.38
2022-05-18T00:00:00Z,184255.4943,182530.839,12769417.99
2022-05-19T00:00:00Z,167288.9919,166897.1072,13150594.59
2022-05-20T00:00:00Z,156661.0902,156623.2505,13418000.84
2022-05-21T00:00:00Z,149519.5498,148265.6432,13665153.29
2022-05-22T00:00:00Z,154077.2585,153008.9317,13159204.83
2022-05-23T00:00:00Z,163777.1819,161688.6714,13336074.04
2022-05-24T00:00:00Z,162487.6578,162100.5555,13319959.12
2022-05-25T00:00:00Z,183265.3716,181910.0756,12483314.48
2022-05-26T00:00:00Z,128334.0328,126964.9724,13699773.15
2022-05-27T00:00:00Z,119564.4829,118526.1446,14100183.25
2022-05-28T00:00:00Z,94624.77615,93215.21237,15628981.64
2022-05-29T00:00:00Z,102602.3028,101202.9815,14984935.02
2022-05-30T00:00:00Z,98383.58928,97177.13154,15174382.17
2022-05-31T00:00:00Z,91551.18848,89889.87904,15749661.21
