time,USDC,USDT,YUSD
2022-04-16T00:00:00Z,52204288.41,51338928.55,18778675.3
2022-04-17T00:00:00Z,130532323.4,115587713.9,47867019.44
2022-04-18T00:00:00Z,139658194.3,128354373.7,53900042.44
2022-04-19T00:00:00Z,175451213.2,155894103.1,59010964.55
2022-04-20T00:00:00Z,183519087.6,168675863.3,64948207.78
2022-04-21T00:00:00Z,192588875.6,185166812.5,69515994.4
2022-04-22T00:00:00Z,191048021.8,184711899.9,71057959.01
2022-04-23T00:00:00Z,177430148.6,180325396.1,83840404.25
2022-04-24T00:00:00Z,179753497.1,177746466.3,88904500.34
2022-04-25T00:00:00Z,172660242.3,173917085.5,91657784.81
2022-04-26T00:00:00Z,171693909.6,175494492.9,92711029.78
2022-04-27T00:00:00Z,173420287.7,175358576.3,93091760.74
2022-04-28T00:00:00Z,165380928.5,174824469.5,93567632.09
2022-04-29T00:00:00Z,145767341.5,143834276.9,100317980.6
2022-04-30T00:00:00Z,138900805.4,139799400.1,101875983.4
2022-05-01T00:00:00Z,86521277.1,87389763.63,159040930.7
2022-05-02T00:00:00Z,102974910,95273383.44,157674249.1
2022-05-03T00:00:00Z,102219485.5,98157203.43,171348093.8
2022-05-04T00:00:00Z,103820863.8,98659178.93,172123859.2
2022-05-05T00:00:00Z,106784517.8,103104085,171933796.3
2022-05-06T00:00:00Z,103824596.2,111563233.4,171811645.9
2022-05-07T00:00:00Z,107258958.4,108120328.7,170561083.2
2022-05-08T00:00:00Z,105340049.7,105160462.7,168030857.8
2022-05-09T00:00:00Z,84161921.28,92580873.82,173399917.3
2022-05-10T00:00:00Z,81156886.78,86288910.9,149027008.1
2022-05-11T00:00:00Z,48926787.98,74826042.76,136115014.3
2022-05-12T00:00:00Z,46310868.49,69378998.36,115381646.2
2022-05-13T00:00:00Z,55093394.37,65690834.72,110037011.2
2022-05-14T00:00:00Z,53830427.27,68395970.24,108633717.8
2022-05-15T00:00:00Z,64093561.42,72239334.28,95177582.39
2022-05-16T00:00:00Z,64609901.3,88828566.63,74901322.4
2022-05-17T00:00:00Z,64885129.5,88202449.29,73744423.89
2022-05-18T00:00:00Z,27100602.95,33854527.36,51101202.08
2022-05-19T00:00:00Z,13869088.86,14497516.41,48002907.37
2022-05-20T00:00:00Z,14060501.67,15061131.75,46971480.96
2022-05-21T00:00:00Z,14167585.54,15606910.62,46316450.92
2022-05-22T00:00:00Z,14517679.51,15606716.55,45959487.17
2022-05-23T00:00:00Z,14785988.57,15701057.7,45488273.73
2022-05-24T00:00:00Z,15132147.25,16238947.26,44377950.92
2022-05-25T00:00:00Z,10332009.11,10702999.72,36480917.88
2022-05-26T00:00:00Z,11367333.01,12121674.89,33897123.82
2022-05-27T00:00:00Z,9649734.433,10253372.25,34208768.92
2022-05-28T00:00:00Z,11094388.42,11714179.49,32249373.52
2022-05-29T00:00:00Z,11286114.05,11703390.42,31589209.37
2022-05-30T00:00:00Z,12594063.46,13094039.89,30410156.94
2022-05-31T00:00:00Z,12598173.35,14222149.51,30502900.2
2022-06-01T00:00:00Z,12020266.99,14225094.06,29637962.78
2022-06-02T00:00:00Z,8288026.127,9294150.258,21308045.82
2022-06-03T00:00:00Z,7978818.032,8531494.446,21477987.52
2022-06-04T00:00:00Z,8243834.057,8889639.327,20806529.82
2022-06-05T00:00:00Z,8204165.551,8872392.892,20807112.28
2022-06-06T00:00:00Z,8663771.889,8755374.484,21300139.58
2022-06-07T00:00:00Z,8539596.824,9017283.342,20914546.44
2022-06-08T00:00:00Z,8545859.205,8953972.151,20972430.87
2022-06-09T00:00:00Z,7358560.311,7827861.811,20058812.56
2022-06-10T00:00:00Z,6877449.476,7733133.904,20664327.09
2022-06-11T00:00:00Z,6402429.384,6734554.466,21553449.52
2022-06-12T00:00:00Z,6413028.089,6771894.065,20804647.89
2022-06-13T00:00:00Z,6975580.873,8048191.339,16599466.79
2022-06-14T00:00:00Z,5786807.243,6456634.387,17197184.75
2022-06-15T00:00:00Z,6183928.931,6896650.466,15216167
2022-06-16T00:00:00Z,6177650.216,7092973.08,14776531.49
2022-06-17T00:00:00Z,5985929.705,6655074.716,14884822.46
2022-06-18T00:00:00Z,5889521.881,7152584.734,14462589.05
2022-06-19T00:00:00Z,5373081.624,6013916.067,15117830.29
2022-06-20T00:00:00Z,5956508.821,6634771.016,14107095.06
2022-06-21T00:00:00Z,6031110.595,6846173.765,13887208.61
2022-06-22T00:00:00Z,5892861.454,7084718.167,13714212.92
2022-06-23T00:00:00Z,5828008.444,7106800.165,13456163.81
2022-06-24T00:00:00Z,5884341.478,6637295.883,13924847.98
2022-06-25T00:00:00Z,5991279.971,6690970.77,13280211.6
2022-06-26T00:00:00Z,5603134.408,6585658.107,13762284.43
2022-06-27T00:00:00Z,5524689.07,6232195.045,14139575.57
2022-06-28T00:00:00Z,5631497.8,6309337.503,13672586.36
2022-06-29T00:00:00Z,5506274.771,6386581.423,13522227.02
2022-06-30T00:00:00Z,5636300.457,6392077.139,13374032.77
2022-07-01T00:00:00Z,5644479.486,6440009.213,13305225.13
2022-07-02T00:00:00Z,5683175.39,6285064.714,13219794.72
2022-07-03T00:00:00Z,5569493.895,6409069.416,13209636.59
2022-07-04T00:00:00Z,5428519.109,6695304.455,12935676.48
2022-07-05T00:00:00Z,5502355.82,6600811.092,12956642.56
2022-07-06T00:00:00Z,5418895.924,6334302.259,13100752.66
2022-07-07T00:00:00Z,5548312.93,6405101.472,12798632.72
2022-07-08T00:00:00Z,5645548.756,6286591.597,12862978.92
2022-07-09T00:00:00Z,5578306.724,6160021.947,13058089.46
2022-07-10T00:00:00Z,5499067.232,6178253.532,13118998.09
2022-07-11T00:00:00Z,5523495.465,6043086.531,12989685.48
2022-07-12T00:00:00Z,5543967.483,6169531.596,12798034.63
2022-07-13T00:00:00Z,5440185.694,6151293,12920813.96
2022-07-14T00:00:00Z,5319631.022,5736879.986,12653799.75
2022-07-15T00:00:00Z,5288621.58,5620750.165,12299521.2
2022-07-16T00:00:00Z,5309212.726,5474346.618,12374120.82
2022-07-17T00:00:00Z,5315482.154,5459262.797,12289638.57
2022-07-18T00:00:00Z,5303885.063,5508925.488,12251973.19
2022-07-19T00:00:00Z,5284468.521,5477051.526,12304618.83
2022-07-20T00:00:00Z,5255397.27,5383867.961,12224341.23
2022-07-21T00:00:00Z,5233729.711,5431420.827,11211930.79
2022-07-22T00:00:00Z,5003381.419,5388496.155,11010893.89
2022-07-23T00:00:00Z,5136050.717,5268936.323,10997722.37
2022-07-24T00:00:00Z,5090745.92,5320675.355,10990866.67
2022-07-25T00:00:00Z,5154235.388,5293189.499,10967208.41
2022-07-26T00:00:00Z,4286347.568,3976962.024,9856631.214
2022-07-27T00:00:00Z,4172527.224,4276474.211,9670188.787
2022-07-28T00:00:00Z,4230385.49,4142082.671,9756989.916
2022-07-29T00:00:00Z,4247130.808,4080743.891,9812855.773
2022-07-30T00:00:00Z,4221987.252,4097079.065,9821890.05
2022-07-31T00:00:00Z,4244765.737,4094211.862,9798176.521
2022-08-01T00:00:00Z,4284412.466,4015402.93,9831706.404
2022-08-02T00:00:00Z,4197175.067,4064540.369,9865510.275
2022-08-03T00:00:00Z,4049256.073,4045234.856,10027576.69
2022-08-04T00:00:00Z,4291134.527,4143498.653,9745628.889
2022-08-05T00:00:00Z,4215619.878,4145295.532,9802621.48
2022-08-06T00:00:00Z,4337086.834,4026445.415,9800330.077
2022-08-07T00:00:00Z,4239272.016,4082666.512,9842930.324
2022-08-08T00:00:00Z,4239506.71,4095425.198,9834753.697
2022-08-09T00:00:00Z,4138993.507,4067731.19,9963325.579
2022-08-10T00:00:00Z,4058906.37,4006880.062,10095320.66
2022-08-11T00:00:00Z,4621024.48,4211075.348,10324525.42
2022-08-12T00:00:00Z,4832605.132,4464926.51,10870150.15
2022-08-13T00:00:00Z,4643846.734,4476061.943,10617056.07
2022-08-14T00:00:00Z,4599260.344,4601719.109,10535811.23
2022-08-15T00:00:00Z,4849059.444,4614180.172,11271150.87
2022-08-16T00:00:00Z,4815877.804,4646319.751,11270949.25
2022-08-17T00:00:00Z,4812344.317,4795037.737,11892161.47
