time,av3CRV,MIM
2021-11-08T00:00:00Z,0,3
2021-11-09T00:00:00Z,-1.28E-16,27.96223666
2021-11-10T00:00:00Z,-1.28E-16,17.54893926
2021-11-13T00:00:00Z,-1.28E-16,
2021-11-14T00:00:00Z,-1.28E-16,16.54808599
2021-11-15T00:00:00Z,7.97E-11,64.07734144
2021-11-16T00:00:00Z,2.06E-10,47797.32084
2021-11-17T00:00:00Z,1.38E-10,279383.8689
2021-11-18T00:00:00Z,3.06E-10,303866.9982
2021-11-19T00:00:00Z,3.80E-10,204444.5893
2021-11-20T00:00:00Z,7.49E-10,327110.4155
2021-11-21T00:00:00Z,9.26E-10,229181.4922
2021-11-22T00:00:00Z,9.32E-10,202805.9118
2021-11-23T00:00:00Z,1.12E-09,237617.8569
2021-11-24T00:00:00Z,9.70E-10,297942.7082
2021-11-25T00:00:00Z,8.65E-10,325940.2335
2021-11-26T00:00:00Z,4.20E-10,712234.1869
2021-11-27T00:00:00Z,3.41E-10,450001.6189
2021-11-28T00:00:00Z,2.82E-10,408400.6307
2021-11-29T00:00:00Z,2.35E-10,337833.8994
2021-11-30T00:00:00Z,2.68E-10,292777.9704
2021-12-01T00:00:00Z,2.56E-10,236393.8486
2021-12-02T00:00:00Z,2.93E-10,224944.8546
2021-12-03T00:00:00Z,3.50E-10,165546.933
2021-12-04T00:00:00Z,4.43E-10,332662.3168
2021-12-05T00:00:00Z,4.51E-10,597241.8693
2021-12-06T00:00:00Z,4.01E-10,543533.498
2021-12-07T00:00:00Z,1.78E-10,323581.5851
2021-12-08T00:00:00Z,1.55E-10,334898.7829
2021-12-09T00:00:00Z,7.81E-12,212018.5807
2021-12-10T00:00:00Z,5.71E-12,254091.3906
2021-12-11T00:00:00Z,2.86E-11,241540.1053
2021-12-12T00:00:00Z,-8.88E-11,235369.8896
2021-12-13T00:00:00Z,-1.31E-10,479546.3673
2021-12-14T00:00:00Z,-1.31E-10,560542.9486
2021-12-15T00:00:00Z,-4.75E-10,371226.0594
2021-12-16T00:00:00Z,-5.70E-10,294035.9066
2021-12-17T00:00:00Z,-5.61E-10,315001.918
2021-12-18T00:00:00Z,-5.36E-10,257918.3105
2021-12-19T00:00:00Z,-4.45E-10,245762.0118
2021-12-20T00:00:00Z,-4.24E-10,212274.9201
2021-12-21T00:00:00Z,-5.08E-10,211990.893
2021-12-22T00:00:00Z,-5.43E-10,210238.2967
2021-12-23T00:00:00Z,-6.44E-10,204269.5237
2021-12-24T00:00:00Z,-6.11E-10,205716.2654
2021-12-25T00:00:00Z,-6.36E-10,148602.2705
2021-12-26T00:00:00Z,-6.29E-10,153401.4327
2021-12-27T00:00:00Z,-1.12E-09,160294.0191
2021-12-28T00:00:00Z,-1.10E-09,140932.0522
2021-12-29T00:00:00Z,-1.09E-09,149268.9843
2021-12-30T00:00:00Z,-1.13E-09,161426.24
2021-12-31T00:00:00Z,-1.11E-09,142973.5261
2022-01-01T00:00:00Z,-1.11E-09,149865.7273
2022-01-02T00:00:00Z,-1.04E-09,158234.6486
2022-01-03T00:00:00Z,-1.02E-09,151151.1641
2022-01-04T00:00:00Z,-1.01E-09,153300.3482
2022-01-05T00:00:00Z,-1.08E-09,152309.5731
2022-01-06T00:00:00Z,-1.06E-09,136048.1997
2022-01-07T00:00:00Z,-1.21E-09,143121.1439
2022-01-08T00:00:00Z,-1.19E-09,137470.1039
2022-01-09T00:00:00Z,-1.24E-09,139781.8938
2022-01-10T00:00:00Z,-1.21E-09,144532.8489
2022-01-11T00:00:00Z,-1.23E-09,134746.3962
2022-01-12T00:00:00Z,-1.21E-09,127689.358
2022-01-13T00:00:00Z,-1.23E-09,133034.4561
2022-01-14T00:00:00Z,-1.24E-09,139065.5188
2022-01-15T00:00:00Z,-1.19E-09,146152.6346
2022-01-16T00:00:00Z,-1.17E-09,153512.0872
2022-01-17T00:00:00Z,-1.10E-09,166838.4533
2022-01-18T00:00:00Z,-1.16E-09,513242.5115
2022-01-19T00:00:00Z,-1.17E-09,470553.6559
2022-01-20T00:00:00Z,-1.13E-09,315401.3089
2022-01-21T00:00:00Z,-1.23E-09,343109.8866
2022-01-22T00:00:00Z,-8.26E-10,229921.1721
2022-01-23T00:00:00Z,-9.01E-10,311852.6814
2022-01-24T00:00:00Z,-9.26E-10,251170.6508
2022-01-25T00:00:00Z,-9.07E-10,234367.4173
2022-01-26T00:00:00Z,-7.06E-10,282497.1136
2022-01-27T00:00:00Z,-8.40E-10,348087.6627
2022-01-28T00:00:00Z,-9.58E-10,417275.7671
2022-01-29T00:00:00Z,-1.00E-09,369468.7812
2022-01-30T00:00:00Z,-1.93E-09,388058.9733
2022-01-31T00:00:00Z,-2.18E-09,477897.8425
2022-02-01T00:00:00Z,-2.34E-09,421102.501
2022-02-02T00:00:00Z,-2.26E-09,364639.7078
2022-02-03T00:00:00Z,-2.26E-09,269535.2458
2022-02-04T00:00:00Z,-2.23E-09,238140.257
2022-02-05T00:00:00Z,-2.25E-09,238229.2284
2022-02-06T00:00:00Z,-2.26E-09,223189.5659
2022-02-07T00:00:00Z,-2.26E-09,221068.5659
2022-02-08T00:00:00Z,-2.25E-09,206811.2045
2022-02-09T00:00:00Z,-2.25E-09,218502.0478
