time,av3CRV,NXUSD
2022-04-13T00:00:00Z,-3.04E-11,249990.2292
2022-04-14T00:00:00Z,-3.04E-11,749988.5298
2022-04-15T00:00:00Z,-3.04E-11,748989.2788
2022-04-16T00:00:00Z,-3.04E-11,750204.1632
2022-04-18T00:00:00Z,-3.04E-11,758141.1632
2022-04-20T00:00:00Z,-3.04E-11,754144.0117
2022-04-21T00:00:00Z,-3.05E-11,749924.7842
2022-04-23T00:00:00Z,-3.08E-11,753574.4366
2022-04-24T00:00:00Z,-2.82E-11,754004.1026
2022-04-25T00:00:00Z,-2.87E-11,753587.6402
2022-04-26T00:00:00Z,-2.77E-11,750150.9805
2022-04-27T00:00:00Z,-2.77E-11,744068.3731
2022-04-28T00:00:00Z,-2.45E-11,732712.0418
2022-04-29T00:00:00Z,-2.66E-11,713433.4748
2022-04-30T00:00:00Z,-4.34E-11,639868.8398
2022-05-01T00:00:00Z,-4.31E-11,650913.9243
2022-05-02T00:00:00Z,1.20E-10,617077.4234
2022-05-03T00:00:00Z,1.58E-10,559740.6627
2022-05-04T00:00:00Z,3.71E-11,2435633.61
2022-05-05T00:00:00Z,6.79E-11,2488914.137
2022-05-06T00:00:00Z,9.86E-11,2438766.57
2022-05-07T00:00:00Z,1.08E-10,2506359.532
2022-05-08T00:00:00Z,9.44E-11,2527240.51
2022-05-09T00:00:00Z,5.25E-11,2650460.866
2022-05-10T00:00:00Z,5.09E-11,2611468.307
2022-05-11T00:00:00Z,-7.07E-11,2696346.229
2022-05-12T00:00:00Z,-6.05E-11,1636676.204
2022-05-13T00:00:00Z,-9.03E-11,1673794.274
2022-05-14T00:00:00Z,-1.22E-10,1639375.014
2022-05-15T00:00:00Z,-1.27E-10,1707881.259
2022-05-16T00:00:00Z,-1.46E-10,1691928.269
2022-05-17T00:00:00Z,-1.81E-10,1670437.954
2022-05-18T00:00:00Z,-2.02E-10,1898258.731
2022-05-19T00:00:00Z,-1.72E-10,1550861.234
2022-05-20T00:00:00Z,6.09E-10,1864403.47
2022-05-21T00:00:00Z,9.45E-10,1875140.961
2022-05-22T00:00:00Z,9.53E-10,1828991.613
2022-05-23T00:00:00Z,9.65E-10,2031760.075
2022-05-24T00:00:00Z,9.57E-10,2052178.668
2022-05-25T00:00:00Z,9.58E-10,2065663.976
2022-05-26T00:00:00Z,1.10E-09,2323948.177
2022-05-27T00:00:00Z,1.10E-09,2413659.65
2022-05-28T00:00:00Z,1.09E-09,2192067.627
2022-05-29T00:00:00Z,1.12E-09,2042788.381
2022-05-30T00:00:00Z,1.12E-09,2176263.456
2022-05-31T00:00:00Z,1.10E-09,2316860.688
2022-06-01T00:00:00Z,1.10E-09,2380678.146
2022-06-02T00:00:00Z,1.13E-09,2385997.106
2022-06-03T00:00:00Z,1.12E-09,2430369.008
2022-06-04T00:00:00Z,1.11E-09,2365121.744
2022-06-05T00:00:00Z,1.11E-09,2346934.348
2022-06-06T00:00:00Z,1.12E-09,2280815.617
2022-06-07T00:00:00Z,1.15E-09,2320211.19
2022-06-08T00:00:00Z,1.15E-09,2463005.595
2022-06-09T00:00:00Z,1.04E-09,2777047.481
2022-06-10T00:00:00Z,9.25E-10,2795508.28
2022-06-11T00:00:00Z,9.49E-10,3163540.686
2022-06-12T00:00:00Z,7.46E-10,2742004.799
2022-06-13T00:00:00Z,8.01E-10,2399493.362
2022-06-14T00:00:00Z,7.46E-10,2252770.204
2022-06-15T00:00:00Z,7.46E-10,2152628.388
2022-06-16T00:00:00Z,6.12E-10,2398425.817
2022-06-17T00:00:00Z,5.66E-10,2489142.115
2022-06-18T00:00:00Z,5.70E-10,2623063.436
2022-06-19T00:00:00Z,5.91E-10,2663998.852
2022-06-20T00:00:00Z,4.99E-10,2733602.552
2022-06-21T00:00:00Z,5.17E-10,2809147.496
2022-06-22T00:00:00Z,4.84E-10,2840780.703
2022-06-23T00:00:00Z,5.16E-10,3061579.541
2022-06-24T00:00:00Z,4.92E-10,3145611.347
2022-06-25T00:00:00Z,4.99E-10,3091061.328
2022-06-26T00:00:00Z,5.07E-10,3135126.979
2022-06-27T00:00:00Z,4.39E-10,3196053.168
2022-06-28T00:00:00Z,4.31E-10,2980377.522
2022-06-29T00:00:00Z,4.31E-10,2833877.315
2022-06-30T00:00:00Z,4.39E-10,2660698.174
2022-07-01T00:00:00Z,4.60E-10,2592887.785
2022-07-02T00:00:00Z,4.50E-10,2575158.846
2022-07-03T00:00:00Z,4.51E-10,2547126.481
2022-07-04T00:00:00Z,4.09E-10,2448802.86
2022-07-05T00:00:00Z,4.24E-10,2359186.924
2022-07-06T00:00:00Z,4.09E-10,2284943.754
2022-07-07T00:00:00Z,4.53E-10,2466292.499
2022-07-08T00:00:00Z,4.40E-10,2381062.703
2022-07-09T00:00:00Z,4.51E-10,2291798.948
2022-07-10T00:00:00Z,4.49E-10,2251194.853
2022-07-11T00:00:00Z,4.58E-10,2195139.657
2022-07-12T00:00:00Z,4.64E-10,2157880.368
2022-07-13T00:00:00Z,4.27E-10,2124553.254
2022-07-14T00:00:00Z,4.10E-10,2182278.819
2022-07-15T00:00:00Z,3.98E-10,2102386.789
2022-07-16T00:00:00Z,3.88E-10,2164131.406
2022-07-17T00:00:00Z,3.70E-10,2295139.898
2022-07-18T00:00:00Z,3.55E-10,2516745.926
2022-07-19T00:00:00Z,3.75E-10,2363038.575
2022-07-20T00:00:00Z,3.83E-10,2375835.756
2022-07-21T00:00:00Z,4.14E-10,2340823.995
2022-07-22T00:00:00Z,4.14E-10,2344532.85
2022-07-23T00:00:00Z,4.12E-10,2303848.098
2022-07-24T00:00:00Z,4.12E-10,2339919.857
2022-07-25T00:00:00Z,4.02E-10,2402833.422
2022-07-26T00:00:00Z,4.10E-10,2513623.105
2022-07-27T00:00:00Z,3.81E-10,2541922.075
2022-07-28T00:00:00Z,3.41E-10,2529893.635
2022-07-29T00:00:00Z,3.37E-10,2468592.193
2022-07-30T00:00:00Z,3.46E-10,2465522.451
2022-07-31T00:00:00Z,3.54E-10,2451833.413
2022-08-01T00:00:00Z,3.49E-10,2434932.192
2022-08-02T00:00:00Z,3.66E-10,2441623.724
2022-08-03T00:00:00Z,3.65E-10,2586176.594
2022-08-04T00:00:00Z,3.50E-10,2617176.774
2022-08-05T00:00:00Z,3.17E-10,2599562.812
2022-08-06T00:00:00Z,3.17E-10,2452697.045
2022-08-07T00:00:00Z,3.17E-10,2411889.154
2022-08-08T00:00:00Z,2.83E-10,2492997.419
2022-08-09T00:00:00Z,3.42E-10,2452477.647
2022-08-10T00:00:00Z,3.42E-10,2404655.175
2022-08-11T00:00:00Z,3.33E-10,2429093.783
2022-08-12T00:00:00Z,3.50E-10,2444082.87
2022-08-13T00:00:00Z,3.50E-10,2406131.002
2022-08-14T00:00:00Z,3.59E-10,2370431.548
2022-08-15T00:00:00Z,3.59E-10,2348152.767
2022-08-16T00:00:00Z,3.59E-10,2365287.548
2022-08-17T00:00:00Z,3.54E-10,2338461.97
