time,avDAI,avUSDC,avUSDT
2021-10-04T00:00:00Z,14408287.34,27870500.75,19751624.42
2021-10-05T00:00:00Z,49446738.41,82994581.55,89790420.17
2021-10-06T00:00:00Z,67900572.33,96163021.05,107419455.9
2021-10-07T00:00:00Z,69968367.5,108374331.1,109367221.4
2021-10-08T00:00:00Z,98417876.25,143444606.9,173608305.6
2021-10-09T00:00:00Z,122992378.5,160968860.6,188969761.9
2021-10-10T00:00:00Z,124569429.8,165118562.7,203675089.3
2021-10-11T00:00:00Z,123044851.5,169964378.5,204646105.3
2021-10-12T00:00:00Z,120052234.3,172464869,184875848.5
2021-10-13T00:00:00Z,121145209.6,179454811.1,191977535.6
2021-10-14T00:00:00Z,129537776,190139678.6,201063079.2
2021-10-15T00:00:00Z,134032331.8,199680949.1,192037968.6
2021-10-16T00:00:00Z,140976655.4,210772874.4,190951423.9
2021-10-17T00:00:00Z,146567303.8,211536281.7,187082281.7
2021-10-18T00:00:00Z,147584975.2,202969244.7,178089854.6
2021-10-19T00:00:00Z,151032193.2,207086682.8,171395166.8
2021-10-20T00:00:00Z,154322123.2,208124730.3,152060807.8
2021-10-21T00:00:00Z,156599546.4,196082426.7,147910662.2
2021-10-22T00:00:00Z,160116672.1,202453662.4,155337403.2
2021-10-23T00:00:00Z,144598696.7,219327582.8,194179761.5
2021-10-24T00:00:00Z,147850745.8,209435852.3,193259827.7
2021-10-25T00:00:00Z,162506888.5,205100797.5,193894621.1
2021-10-26T00:00:00Z,172510721,205838768.4,191625294.2
2021-10-27T00:00:00Z,182831472.3,215619871.5,171902786
2021-10-28T00:00:00Z,187747678.7,227514021.3,169799724.7
2021-10-29T00:00:00Z,197183621.6,210006733.8,155454023.1
2021-10-30T00:00:00Z,199083069.4,211935660.4,162039207.5
2021-10-31T00:00:00Z,206991476.8,204662088.8,153211061.1
2021-11-01T00:00:00Z,216735718.8,194394260.8,157190043.5
2021-11-02T00:00:00Z,220901127.7,200795782,150965067.5
2021-11-03T00:00:00Z,224798274,214439452,147759075.5
2021-11-04T00:00:00Z,223337263.4,217115103.8,154317325.4
2021-11-05T00:00:00Z,224288500.4,217714225.4,153449813.8
2021-11-06T00:00:00Z,229989907.1,222675764.1,161036392.8
2021-11-07T00:00:00Z,234772393.9,239737694.8,153087979.7
2021-11-08T00:00:00Z,226000524.7,248606264.3,148877688.7
2021-11-09T00:00:00Z,211113906.8,252651319.1,158210284.1
2021-11-10T00:00:00Z,215711318.8,249451905,183785077.2
2021-11-11T00:00:00Z,204338840,237767765,182251064.2
2021-11-12T00:00:00Z,214522488.3,241611870.9,183945311.1
2021-11-13T00:00:00Z,220211767.4,232239102.8,190650479.5
2021-11-14T00:00:00Z,225931427.3,223729321.9,191089405.3
2021-11-15T00:00:00Z,226081190.7,210356482.6,192000399.3
2021-11-16T00:00:00Z,230531677.7,224258582.3,192055635.6
2021-11-17T00:00:00Z,229346828.2,234334899.8,195908837.6
2021-11-18T00:00:00Z,224804696.4,245617144.8,196172203.9
2021-11-19T00:00:00Z,219793683.9,251374104.3,200091580
2021-11-20T00:00:00Z,216936759.8,265109123.7,211041626.4
2021-11-21T00:00:00Z,222469683.9,269167170.3,219754907
2021-11-22T00:00:00Z,212304617.2,288431676.1,230188939
2021-11-23T00:00:00Z,219710807.7,282357777.2,246377786.7
2021-11-24T00:00:00Z,206284567.6,278347262.6,246588813.2
2021-11-25T00:00:00Z,212736706.2,252827953.2,209114160.4
2021-11-26T00:00:00Z,214302953.4,264826691.7,205450337.7
2021-11-27T00:00:00Z,216467066,277081879.6,215423560.7
2021-11-28T00:00:00Z,212470316.8,264628324.4,205348124.4
2021-11-29T00:00:00Z,218747181.1,268911896.5,202455878.7
2021-11-30T00:00:00Z,230230607.9,278808473,194630427.4
2021-12-01T00:00:00Z,230965427.7,284218333.8,196581107.2
2021-12-02T00:00:00Z,232955300,300003472.4,210441821.2
2021-12-03T00:00:00Z,231087336.9,295221275.8,214599474.9
2021-12-04T00:00:00Z,266331458.2,286618474.2,165368683
2021-12-05T00:00:00Z,269364110.2,299329489.7,155315891.3
2021-12-06T00:00:00Z,269480806.5,291399141.5,165698932.4
2021-12-07T00:00:00Z,272264422.8,281779230.9,173259343.4
2021-12-08T00:00:00Z,271606857.3,272353405.5,186242799.9
2021-12-09T00:00:00Z,271945494,262579710.2,194914107.9
2021-12-10T00:00:00Z,258632112.5,253220711.4,189624684.9
2021-12-11T00:00:00Z,263586171.6,249537756.2,188897505.8
2021-12-12T00:00:00Z,268210912.5,243072353,193095442.6
2021-12-13T00:00:00Z,264377825.6,224892293.1,193948170.1
2021-12-14T00:00:00Z,255593609.2,225111796.5,192139925.8
2021-12-15T00:00:00Z,241593806,213251689.1,200224022.2
2021-12-16T00:00:00Z,238765856.4,234040413.1,216417774.6
2021-12-17T00:00:00Z,241622165.1,240467430.2,225381452.4
2021-12-18T00:00:00Z,243506206.9,247888085,233113785.9
2021-12-19T00:00:00Z,244598113.3,250272826.6,233702088.5
2021-12-20T00:00:00Z,277122084.1,241658004.1,237161271.2
2021-12-21T00:00:00Z,277077049.2,248934397.9,237444375.2
2021-12-22T00:00:00Z,272459457.2,253328727.4,230896776.1
2021-12-23T00:00:00Z,274073020.4,271706362.8,258010280.1
2021-12-24T00:00:00Z,277044288.8,276718838.2,256030313.4
2021-12-25T00:00:00Z,275940659.3,281414445.3,248245956.7
2021-12-26T00:00:00Z,275760105.3,283242190.3,249281794.2
2021-12-27T00:00:00Z,276023284,281444572.3,250099063.5
2021-12-28T00:00:00Z,275588606.1,284041036.7,247476438.7
2021-12-29T00:00:00Z,273782949.3,260724390.3,247199689.5
2021-12-30T00:00:00Z,270831805.8,255482797.6,257143736.1
2021-12-31T00:00:00Z,270969245.7,264942169.3,264539985.5
2022-01-01T00:00:00Z,267776599.5,279911910.1,252933341.4
2022-01-02T00:00:00Z,268898865.1,280020008.3,264084932.5
2022-01-03T00:00:00Z,269201844.9,279128042.6,278913974.6
2022-01-04T00:00:00Z,265417427.3,279683853.8,270711180.8
2022-01-05T00:00:00Z,262947086.1,272724144.7,267536131.2
2022-01-06T00:00:00Z,262589557.6,268571689.7,276563043
2022-01-07T00:00:00Z,256111781.5,266278875.7,280818745.4
2022-01-08T00:00:00Z,254005443,268150711.8,284225038.4
2022-01-09T00:00:00Z,255000741.4,263221912,288329430
2022-01-10T00:00:00Z,255048291.8,263014276.8,288661458
