,Date,Timestamp,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance
,,,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes
,,,avalanche-staking,avalanche,Total,staking,avalanche-staking,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,staking,avalanche-staking,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,PTP,usd-coin,dai,tether,magic-internet-money,usd-coin-avalanche-bridged-usdc-e,frax,terrausd-wormhole,wrapped-avax,benqi-liquid-staked-avax,yusd-stablecoin,moremoney-usd,defrost-finance-h2o,teddy-dollar,wrapped-bitcoin,bitcoin,token-dforce-usd,mimatic,usd-coin,dai,tether,magic-internet-money,usd-coin-avalanche-bridged-usdc-e,frax,terrausd-wormhole,wrapped-avax,benqi-liquid-staked-avax,yusd-stablecoin,moremoney-usd,defrost-finance-h2o,teddy-dollar,wrapped-bitcoin,bitcoin,token-dforce-usd,mimatic,PTP,PTP,usd-coin,dai,tether,magic-internet-money,usd-coin-avalanche-bridged-usdc-e,frax,terrausd-wormhole,wrapped-avax,benqi-liquid-staked-avax,yusd-stablecoin,moremoney-usd,defrost-finance-h2o,teddy-dollar,wrapped-bitcoin,bitcoin,token-dforce-usd,mimatic,usd-coin,dai,tether,magic-internet-money,usd-coin-avalanche-bridged-usdc-e,frax,terrausd-wormhole,wrapped-avax,benqi-liquid-staked-avax,yusd-stablecoin,moremoney-usd,defrost-finance-h2o,teddy-dollar,wrapped-bitcoin,bitcoin,token-dforce-usd,mimatic,PTP
,27/11/2021,1637971200,,3.9837163796855206,3.9837163796855206,,,0.9958901396979307,0.8961246084872331,1.0922315648495948,0.9994700666507621,,,,,,,,,,,,,,0.9958901396979307,0.8961246084872331,1.0922315648495948,0.9994700666507621,,,,,,,,,,,,,,,,1,0.9000520733627129,1.1,1,,,,,,,,,,,,,,1,0.9000520733627129,1.1,1,,,,,,,,,,,,,,
,28/11/2021,1638057600,,4.0000282940092955,4.0000282940092955,,,1.000353922848667,0.8987563955070567,1.1001889035331611,1.0007290721204107,,,,,,,,,,,,,,1.000353922848667,0.8987563955070567,1.1001889035331611,1.0007290721204107,,,,,,,,,,,,,,,,1,0.9000520733627129,1.1,1,,,,,,,,,,,,,,1,0.9000520733627129,1.1,1,,,,,,,,,,,,,,
,29/11/2021,1638144000,,3.9967664720687868,3.9967664720687868,,,1.000059605569638,0.9003688886465134,1.0998701976014311,0.996467780251204,,,,,,,,,,,,,,1.000059605569638,0.9003688886465134,1.0998701976014311,0.996467780251204,,,,,,,,,,,,,,,,1,0.9000520733627129,1.1,1,,,,,,,,,,,,,,1,0.9000520733627129,1.1,1,,,,,,,,,,,,,,
,30/11/2021,1638230400,,9996908.377083598,9996908.377083598,,,3017748.353681122,2365760.818028489,2302333.9732939983,2311065.232079989,,,,,,,,,,,,,,3017748.353681122,2365760.818028489,2302333.9732939983,2311065.232079989,,,,,,,,,,,,,,,,3019703.096626,2367626.649144677,2304834.121533,2308798.6604679995,,,,,,,,,,,,,,3019703.096626,2367626.649144677,2304834.121533,2308798.6604679995,,,,,,,,,,,,,,
,01/12/2021,1638316800,,10039607.68156174,10039607.68156174,,,3246524.7198327463,2521788.089249462,2098035.645827932,2173259.226651599,,,,,,,,,,,,,,3246524.7198327463,2521788.089249462,2098035.645827932,2173259.226651599,,,,,,,,,,,,,,,,3233661.673922,2510198.570323641,2086811.835355,2170683.6926031634,,,,,,,,,,,,,,3233661.673922,2510198.570323641,2086811.835355,2170683.6926031634,,,,,,,,,,,,,,
,02/12/2021,1638403200,,9996591.09731636,9996591.09731636,,,3058262.0098074838,2837060.1222742926,1967368.8147155198,2133900.1505190637,,,,,,,,,,,,,,3058262.0098074838,2837060.1222742926,1967368.8147155198,2133900.1505190637,,,,,,,,,,,,,,,,3060736.044174,2840298.5694550006,1965309.628041,2135398.221688393,,,,,,,,,,,,,,3060736.044174,2840298.5694550006,1965309.628041,2135398.221688393,,,,,,,,,,,,,,
