chain,protocol,protocol_version,pool_name,token_1,token_1_balance,token_2,token_2_balance,TVL,TVL-(1+2)
Avalanche,Trader Joe,V1,USDC.e-USDC,USDC.e,10076780.640814,USDC,10077343.205314,20154560.87484965,436.96590992435813
Avalanche,Trader Joe,V1,EGG-WAVAX,EGG,5176672.83685490522815735,WAVAX,32174.071031668860170204,1687789.060177039,-831217318.5107892
Avalanche,Trader Joe,V1,JOE-USDC,JOE,1951708.768607355845738981,USDC,608028.336438,1214893.0111702606,-5239315.471184369
Avalanche,Trader Joe,V1,THOR-WAVAX,THOR,13.620430045205338605,WAVAX,0.001449086293098541,0.32886534756103364,-128022.49179074445
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079698.14755678382093172,WAVAX,202254.415538997382394196,10607294.371024191,-1431717573.766343
Avalanche,Trader Joe,V1,USDC.e-SOL,USDC.e,507560.043464,SOL,12356.121777882,1015469.0288581274,-19834189.065000743
Avalanche,Trader Joe,V1,MIM-WAVAX,MIM,687136.713049756196880258,WAVAX,26191.964929589796222051,1374046.8277572016,-16653734.327709317
Avalanche,Trader Joe,V1,THOR-WAVAX,THOR,0.66655838096717596,WAVAX,0.009491159489780644,2.1815562753920235,-44.63057014602203
Avalanche,Trader Joe,V1,THOR-WAVAX,THOR,667714.486046594737308748,WAVAX,43220.490216402422189942,2265661.79919839,-8052674.413807987
Avalanche,Trader Joe,V1,USDC.e-WAVAX,USDC.e,3517784.720704,WAVAX,134371.325951812889617219,7039279.367714366,-85059975.72403203
Avalanche,Trader Joe,V1,WAVAX-FIRE,WAVAX,24518.876849223700349095,FIRE,392548.025534123805410108,1286954.805456803,-4999283.475775297
Avalanche,Trader Joe,V1,PTP-WAVAX,PTP,4680077.435148253839039031,WAVAX,30532.743178137723665091,1599511.7081055096,-715765801.7577138
Avalanche,Trader Joe,V1,WBTC.e-WAVAX,WBTC.e,38.2647518,WAVAX,34204.542496789280273732,1792065.0710996941,-28783090.235478308
Avalanche,Trader Joe,V1,WETH-USDC.e,WETH,382.275650775847620744,USDC.e,700401.57844,1443144.8357068389,-1281825538.8101964
