Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,1249,266222,595,818,1028,90006132.790198168042,191820009328.472041703240,0,0,3423631822.130000000000
2022-07-30T00:00:00+00:00,1443,264973,633,929,1169,227452557.65622700,191730003195.681843535198,0,0,3423631822.130000000000
2022-07-29T00:00:00+00:00,1738,263530,769,1069,1333,341484272.78613523,191502550638.025616535198,33108961.440000000000,-8293269.400000000000,3423631822.130000000000
2022-07-28T00:00:00+00:00,1875,261792,833,1160,1465,557699293.58021351,191161066365.239481305198,51402357.640000000000,0,3398816130.090000000000
2022-07-27T00:00:00+00:00,1669,259917,722,1085,1318,693368742.97455345,190603367071.659267795198,21019141.430000000000,0,3347413772.450000000000
2022-07-26T00:00:00+00:00,1884,258248,871,1017,1354,983541236.67404952,189909998328.684714345198,4594266.020000000000,-196935053.350000000000,3326394631.020000000000
2022-07-25T00:00:00+00:00,1510,256364,674,954,1168,448663848.56889574,188926457092.010664825198,67270083.410000000000,0,3518735418.350000000000
2022-07-24T00:00:00+00:00,1102,254854,515,711,905,68590334.417527096133,188477793243.441769085198,0,0,3451465334.940000000000
2022-07-23T00:00:00+00:00,1123,253752,551,748,955,459420696.14559768,188409202909.024241989065,0,-56789716.030000000000,3451465334.940000000000
2022-07-22T00:00:00+00:00,1670,252629,799,1026,1285,1280844493.76698194,187949782212.878644309065,186931720.180000000000,-120971245.190000000000,3508255050.970000000000
2022-07-21T00:00:00+00:00,1625,250959,733,1000,1224,628779134.98724632,186668937719.111662369065,4478229.470000000000,-56818118.590000000000,3442294575.980000000000
2022-07-20T00:00:00+00:00,1935,249334,843,1131,1405,1159788297.50801636,186040158584.124416049065,42301231.470000000000,-121623379.53000000,3494634465.100000000000
2022-07-19T00:00:00+00:00,1850,247399,790,1122,1359,524892425.15324658,184880370286.616399689065,0,-98868129.650000000000,3573956613.160000000000
2022-07-18T00:00:00+00:00,1774,245549,765,1096,1335,1193316023.69561903,184355477861.463153109065,210100413.160000000000,-8532127.390000000000,3672824742.810000000000
2022-07-17T00:00:00+00:00,1328,243775,669,775,1113,120066986.49087232,183162161837.767534079065,0,0,3471256457.040000000000
2022-07-16T00:00:00+00:00,1536,242447,760,854,1204,128281810.50362359,183042094851.276661759065,0,0,3471256457.040000000000
2022-07-15T00:00:00+00:00,1624,240911,699,1014,1222,1323680208.43314450,182913813040.773038169065,27145187.220000000000,-171363946.36000000,3471256457.040000000000
2022-07-14T00:00:00+00:00,1788,239287,765,1064,1282,779041762.36850844,181590132832.339893669065,106835568.770000000000,0,3615475216.180000000000
2022-07-13T00:00:00+00:00,1649,237499,759,963,1229,619118476.90884134,180811091069.971385229065,72337860.780000000000,0,3508639647.410000000000
2022-07-12T00:00:00+00:00,1721,235850,713,1034,1263,650299590.71848671,180191972593.062543889065,3752964.650000000000,-108200010.000000000000,3436301786.630000000000
2022-07-11T00:00:00+00:00,1994,234129,953,1020,1468,1189142045.59948757,179541673002.344057179065,130150697.090000000000,-10000001.000000000000,3540748831.980000000000
2022-07-10T00:00:00+00:00,1214,232135,541,787,1002,109587451.23529281,178352530956.744569609065,0,0,3420598135.890000000000
2022-07-09T00:00:00+00:00,1535,230921,857,767,1237,374515153.90682733,178242943505.509276799065,0,0,3420598135.890000000000
2022-07-08T00:00:00+00:00,1617,229386,723,935,1189,487525991.44523768,177868428351.602449469065,40270040.570000000000,0,3420598135.890000000000
