Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2021-12-31T00:00:00+00:00,6741,4827113,2963,3127,4210,2623777004.81000393,985947832302.46735911,381439756.190336489777468500000000000000000000,-361804239.425280123744630500000000000000000000,7779388903.083573402386152348000000000000000000
2021-12-30T00:00:00+00:00,6992,4820372,3181,3179,4376,7630925651.99910229,983324055297.65735518,1336374684.835328679604277800000000000000000000,-1388337379.7843132096852099,7759753386.318517036353314348000000000000000000
2021-12-29T00:00:00+00:00,5967,4813380,2622,2853,3807,14258478994.63128817,975693129645.65825289,2693752147.396044350904752300000000000000000000,-2717620448.09266609960353680000,7811716081.267501566434246448000000000000000000
2021-12-28T00:00:00+00:00,7912,4807413,3693,3055,5016,18625361509.97190312,961434650651.02696472,3531834940.1818352330521663,-3577827936.7932211148365845,7835584381.964123315133030948000000000000000000
2021-12-27T00:00:00+00:00,6571,4799501,3166,3021,4394,8283801809.81655852,942809289141.05506160,1557135700.621486587194257001000000000000000000,-1568364204.3555615041728373,7881577378.575509196917449148000000000000000000
2021-12-26T00:00:00+00:00,6514,4792930,3068,3023,4234,8562287500.67556937,934525487331.23850308,1584369610.460983512986877600000000000000000000,-1538231496.8725308370364797,7892805882.309584113896029447000000000000000000
2021-12-25T00:00:00+00:00,5090,4786416,2328,2364,3341,2488382552.58172270,925963199830.56293371,403403176.663049004959000001000000000000000000,-407069161.2056684075122798,7846667768.721131437945631547000000000000000000
2021-12-24T00:00:00+00:00,7350,4781326,3470,3067,4654,6497939757.28042329,923474817277.98121101,1173218960.588295904549718900000000000000000000,-1142315466.877438166421840900000000000000000000,7850333753.263750840498911346000000000000000000
2021-12-23T00:00:00+00:00,7540,4773976,3063,3247,4238,21145953054.58957158,916976877520.70078772,4048208449.373185499612487700000000000000000000,-4055604438.6014808090556614,7819430259.552893102371033346000000000000000000
2021-12-22T00:00:00+00:00,7178,4766436,3223,3323,4398,18677734305.27111176,895830924466.11121614,3625372179.389177084086333401000000000000000000,-3615360667.0357312870374648,7826826248.781188411814207046000000000000000000
2021-12-21T00:00:00+00:00,8534,4759258,3603,3628,4864,16260495576.95476289,877153190160.84010438,3072561663.5341742475685836,-3046416343.6107811084678111,7816814736.427742614765338445000000000000000000
2021-12-20T00:00:00+00:00,8707,4750724,3296,3537,4664,11527048524.25670513,860892694583.88534149,2113229158.684704016124295200000000000000000000,-2087889945.5693938530046830,7790669416.504349475664565945000000000000000000
2021-12-19T00:00:00+00:00,7800,4742017,2976,3108,4140,16020214527.66991877,849365646059.62863636,3110035849.8722526689011490,-3107423969.0700374156502330,7765330203.389039312544953745000000000000000000
2021-12-18T00:00:00+00:00,8898,4734217,3460,3456,4652,13948682239.58920855,833345431531.95871759,2584277452.5013277049764886,-2555535422.8236272988083194,7762718322.586824059294037745000000000000000000
2021-12-17T00:00:00+00:00,9915,4725319,4179,3650,5535,24621869767.51517139,819396749292.36950904,4707918522.044154696837453000000000000000000000,-4709663058.009529841458546800000000000000000000,7733976292.909123653125868545000000000000000000
2021-12-16T00:00:00+00:00,8859,4715404,4039,3950,5551,16699514235.67615217,794774879524.85433765,3152670964.0629581903810871,-3134980610.475572873524443600000000000000000000,7735720828.874498797746962345000000000000000000
2021-12-15T00:00:00+00:00,10459,4706545,4331,4272,5939,24126708759.40793175,778075365289.17818548,4610818189.484418917836772600000000000000000000,-4551302167.021027348440498500000000000000000000,7718030475.287113480890318845000000000000000000
2021-12-14T00:00:00+00:00,10687,4696086,4412,4579,6133,8462998881.37081609,753948656529.77025373,1339188900.101026405895725401000000000000000000,-1389320903.6914076318379735,7658514452.823721911494044745000000000000000000
2021-12-13T00:00:00+00:00,11037,4685399,4536,4565,6289,39145266579.88372054,745485657648.39943764,7601765127.120882988665186800000000000000000000,-7656878844.500112639512456278000000,7708646456.414103137436292844000000000000000000
2021-12-12T00:00:00+00:00,8516,4674362,3672,3897,5200,3582376043.40658291,706340391068.51571710,606163074.807651764770058300000000000000000000,-608766038.12680314428333150000,7763760173.793332788283562322000000000000000000
2021-12-11T00:00:00+00:00,8638,4665846,3621,3570,4925,11221546131.76784885,702758015025.10913419,2108757618.026287117889030901000000000000000000,-2089780878.308689050061058700000000000000000000,7766363137.112484167796835522000000000000000000
2021-12-10T00:00:00+00:00,9958,4657208,3746,4168,5374,24484591158.06060233,691536468893.34128534,4626490791.241269922052498200000000000000000000,-4659337677.121953699872852500000000000000000000,7747386397.394886099968863321000000000000000000
2021-12-09T00:00:00+00:00,8948,4647250,3582,3969,5190,11227566169.12347576,667051877735.28068301,2060306060.090296200844970901000000000000000000,-2073362683.802606834652461100000000000000000000,7780233283.275569877789217621000000000000000000
2021-12-08T00:00:00+00:00,9315,4638302,3765,4177,5315,9145440435.74879727,655824311566.15720725,1648831950.988127431130496100000000000000000000,-1636767744.346216549346458300000000000000000000,7793289906.987880511596707820000000000000000000
2021-12-07T00:00:00+00:00,8412,4628987,3707,3896,5193,6503067675.26519470,646678871130.40840998,1077113464.3217883638915582,-1068485420.8080435797390000,7781225700.345969629812670020000000000000000000
2021-12-06T00:00:00+00:00,11127,4620575,4217,4323,5829,9859360411.32390525,640175803455.14321528,1707883807.585897741179000001000000000000000000,-1773366475.6724057239519071,7772597656.832224845660111820000000000000000000
2021-12-05T00:00:00+00:00,9254,4609448,3791,3954,5120,1562476664.35223825,630316443043.81931003,166972043.861466641552777900000000000000000000,-100702695.207338963011283300000000000000000000,7838080324.918732828433018919000000000000000000
