Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,839,318859,200,198,231,25170239.951838227724,43390402361.059470073079,0,0,1408470207.919719059034410388000000000000000000
2022-07-30T00:00:00+00:00,713,318020,210,207,243,85628145.682156088459,43365232121.107631845355,20000000.000000000000,0,1408470207.919719059034410388000000000000000000
2022-07-29T00:00:00+00:00,753,317307,243,231,279,102627327.87385138,43279603975.425475756896,20000000.000000000000,0,1388470207.919719059034410388000000000000000000
2022-07-28T00:00:00+00:00,1090,316554,250,238,293,118721095.68386740,43176976647.551624376896,20000000.000000000000,0,1368470207.919719059034410388000000000000000000
2022-07-27T00:00:00+00:00,525,315464,175,172,217,22772612.068297214900,43058255551.867756976896,0,0,1348470207.919719059034410388000000000000000000
2022-07-26T00:00:00+00:00,455,314939,176,166,208,15808649.782287054171,43035482939.799459761996,0,0,1348470207.919719059034410388000000000000000000
2022-07-25T00:00:00+00:00,572,314484,184,190,234,62529989.452457643193,43019674290.017172707825,0,0,1348470207.919719059034410388000000000000000000
2022-07-24T00:00:00+00:00,499,313912,172,179,205,12649162.823179181675,42957144300.564715064632,0,0,1348470207.919719059034410388000000000000000000
2022-07-23T00:00:00+00:00,421,313413,151,155,186,11616132.143484483075,42944495137.741535882957,0,0,1348470207.919719059034410388000000000000000000
2022-07-22T00:00:00+00:00,617,312992,204,215,265,25962910.949305352635,42932879005.598051399882,0,0,1348470207.919719059034410388000000000000000000
2022-07-21T00:00:00+00:00,596,312375,207,209,247,59676305.704597555713,42906916094.648746047247,0,0,1348470207.919719059034410388000000000000000000
2022-07-20T00:00:00+00:00,595,311779,174,176,213,157538049.04727720,42847239788.944148491534,20000000.000000000000,0,1348470207.919719059034410388000000000000000000
2022-07-19T00:00:00+00:00,731,311184,189,197,226,96402908.767561904433,42689701739.896871291534,20000000.000000000000,0,1328470207.919719059034410388000000000000000000
2022-07-18T00:00:00+00:00,682,310453,206,213,254,39684407.326155154237,42593298831.129309387101,0,0,1308470207.919719059034410388000000000000000000
