Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,242,397957,121,129,167,20450265.700511878269,63434027041.051942752930,1190464.000000000000,-612611.0000000000000000,572309738.53000000000000000000
2022-07-30T00:00:00+00:00,406,397715,261,176,324,32776117.767803809177,63413576775.351430874661,1804222.310000000000,-2411309.1700000000000000,571731885.53000000000000000000
2022-07-29T00:00:00+00:00,411,397309,211,225,296,67117702.473116010143,63380800657.583627065484,2473792.5900000000000000,-12459843.0000000000000000,572338972.39000000000000000000
2022-07-28T00:00:00+00:00,399,396898,193,222,282,73227749.907173377665,63313682955.110511055341,2178352.2200000000000000,-2494781.0000000000000000,582325022.80000000000000000000
2022-07-27T00:00:00+00:00,534,396499,329,220,419,53809340.256499039352,63240455205.203337677676,5965389.8700000000000000,-4176639.1600000000000000,582641451.58000000000000000000
2022-07-26T00:00:00+00:00,343,395965,175,218,260,21172154.163621173731,63186645864.946838638324,3947470.550000000000,-288997.0000000000000000,580852700.87000000000000000000
2022-07-25T00:00:00+00:00,299,395622,162,182,218,23296962.622773745836,63165473710.783217464593,1183921.1900000000000000,-3098952.9500000000000000,577194227.32000000000000000000
2022-07-24T00:00:00+00:00,222,395323,116,138,178,14382137.757257825117,63142176748.160443718757,1714175.410000000000,-511934.0000000000000000,579109259.08000000000000000000
2022-07-23T00:00:00+00:00,236,395101,127,134,172,25394900.418904790279,63127794610.403185893640,943962.470000000000,-117213.000000000000,577907017.67000000000000000000
2022-07-22T00:00:00+00:00,329,394865,214,185,286,102208499.47614411,63102399709.984281103361,4411908.5200000000000000,-37163324.540000000000,577080268.20000000000000000000
2022-07-21T00:00:00+00:00,283,394536,148,171,215,56674971.619247520277,63000191210.508136993361,3691918.2100000000000000,-3041972.390000000000,609831684.22000000000000000000
2022-07-20T00:00:00+00:00,362,394253,168,184,229,47580672.988202318272,62943516238.888889473084,6300333.2600000000000000,-813140.4000000000000000,609181738.40000000000000000000
2022-07-19T00:00:00+00:00,419,393891,199,199,268,86810211.135884784146,62895935565.900687154812,10512406.8800000000000000,-3060376.7500000000000000,603694545.54000000000000000000
2022-07-18T00:00:00+00:00,350,393472,196,190,265,60250023.057879856981,62809125354.764802370666,2558848.3000000000000000,-3008623.6200000000000000,596242515.41000000000000000000
2022-07-17T00:00:00+00:00,231,393122,134,129,184,43171520.703278712536,62748875331.706922513685,0,-2120828.210000000000,596692290.73000000000000000000
2022-07-16T00:00:00+00:00,287,392891,157,145,208,47117344.507497621999,62705703811.003643801149,1894334.120000000000,-846555.000000000000,598813118.94000000000000000000
2022-07-15T00:00:00+00:00,331,392604,174,204,242,38417978.934540570771,62658586466.496146179150,1835044.7300000000000000,-1233253.1100000000000000,597765339.82000000000000000000
2022-07-14T00:00:00+00:00,301,392273,159,180,226,44748051.204256126939,62620168487.561605608379,2786985.5500000000000000,-4693940.0400000000000000,597163548.20000000000000000000
2022-07-13T00:00:00+00:00,298,391972,167,167,229,58301244.060365816026,62575420436.357349481440,7623247.9200000000000000,-1586833.0300000000000000,599070502.69000000000000000000
2022-07-12T00:00:00+00:00,301,391674,164,186,241,37927338.408697099294,62517119192.296983665414,3738667.5200000000000000,-200533.8100000000000000,593034087.80000000000000000000
2022-07-11T00:00:00+00:00,269,391373,147,163,211,76337316.203292729552,62479191853.888286566120,5284904.7800000000000000,-2418878.6800000000000000,589495954.09000000000000000000
2022-07-10T00:00:00+00:00,189,391104,124,126,175,18921202.186819263541,62402854537.684993836568,618843.030000000000,-1161578.6500000000000000,586629927.99000000000000000000
2022-07-09T00:00:00+00:00,419,390915,342,119,382,18205924.963722872497,62383933335.498174573027,2946517.890000000000,-1715038.370000000000,587172663.61000000000000000000
2022-07-08T00:00:00+00:00,266,390496,255,171,314,45432139.263092144889,62365727410.534451700530,2201672.7400000000000000,-1990724.5700000000000000,585941184.09000000000000000000
2022-07-07T00:00:00+00:00,317,390230,174,184,236,75577812.689046081083,62320295271.271359555641,5129913.1700000000000000,-1232334.0800000000000000,585730235.92000000000000000000
2022-07-06T00:00:00+00:00,307,389913,177,171,233,69186422.378546348474,62244717458.582313474558,4862534.8500000000000000,-2305913.940000000000,581832656.83000000000000000000
