Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-08-01T00:00:00+00:00,97980,10960431,57423,27016,67655,15671627124.78579900,2117214861423.37444300,445339375.75000000000000000000,-573516512.5800000000000000,7697625374.20000000000000000000
2022-07-31T00:00:00+00:00,53228,10862451,18608,20050,27023,7971285790.24594500,2101543234298.58864400,46799029.260000000000,-69652032.2600000000000000,7825802511.03000000000000000000
2022-07-30T00:00:00+00:00,61169,10809223,21428,21890,30315,8196501001.70844300,2093571948508.34269900,2953748.830000000000,-97459570.8600000000000000,7848655514.03000000000000000000
2022-07-29T00:00:00+00:00,71446,10748054,25740,26076,35843,14974618806.78985500,2085375447506.63425600,231395286.8700000000000000,-286398055.9100000000000000,7943161336.06000000000000000000
2022-07-28T00:00:00+00:00,74364,10676608,27037,28726,39360,13955485147.77821000,2070400828699.84440100,285693368.6200000000000000,-246651523.1200000000000000,7998164105.10000000000000000000
2022-07-27T00:00:00+00:00,68279,10602244,24084,23501,33829,12396641638.86371900,2056445343552.06619100,211875504.1800000000000000,-225064089.3300000000000000,7959122259.60000000000000000000
2022-07-26T00:00:00+00:00,64230,10533965,25471,23094,34544,10143406952.71937100,2044048701913.20247200,294143168.9000000000000000,-268574141.2500000000000000,7972310844.75000000000000000000
2022-07-25T00:00:00+00:00,62370,10469735,22286,23208,31517,13148190424.69334300,2033905294960.48310100,363045754.8400000000000000,-402274665.3100000000000000,7946741817.10000000000000000000
2022-07-24T00:00:00+00:00,47938,10407365,17265,17307,24166,7546723326.60050200,2020757104535.78975800,12850051.980000000000,-659131.930000000000,7985970727.57000000000000000000
2022-07-23T00:00:00+00:00,50193,10359427,17075,17847,24468,11511258620.35400000,2013210381209.18925600,77079417.220000000000,-358015.5100000000000000,7973779807.52000000000000000000
2022-07-22T00:00:00+00:00,60024,10309234,22047,24151,31916,12415880543.25418100,2001699122588.83525600,264415195.5500000000000000,-235383562.9400000000000000,7897058405.81000000000000000000
2022-07-21T00:00:00+00:00,66124,10249210,22813,23542,32122,13442038160.27210100,1989283242045.58107500,292805191.1600000000000000,-155348458.4700000000000000,7868026773.20000000000000000000
2022-07-20T00:00:00+00:00,74703,10183086,24613,25891,34676,20696609037.29758500,1975841203885.30897400,411931513.8600000000000000,-344239621.3200000000000000,7730570040.51000000000000000000
2022-07-19T00:00:00+00:00,75482,10108383,26079,27042,36287,11038299178.34309700,1955144594848.01138900,167712927.6500000000000000,-230565968.43000000000000000000,7662878147.97000000000000000000
2022-07-18T00:00:00+00:00,85574,10032901,27260,29555,38615,14180486663.91098200,1944106295669.66829200,666660065.2600000000000000,-684717455.7100000000000000,7725731188.75000000000000000000
2022-07-17T00:00:00+00:00,43091,9947327,15672,16589,22775,6543302280.35363400,1929925809005.75731000,3713384.8500000000000000,-22750141.0000000000000000,7743788579.20000000000000000000
2022-07-16T00:00:00+00:00,49709,9904236,18092,18537,25613,6364763403.75156200,1923382506725.40367600,5190317.2800000000000000,-18635446.1900000000000000,7762825335.35000000000000000000
2022-07-15T00:00:00+00:00,50550,9854527,20336,21672,28744,12621088426.57126200,1917017743321.65211400,291213912.8800000000000000,-693887716.9800000000000000,7776270464.26000000000000000000
2022-07-14T00:00:00+00:00,49070,9803977,19897,20012,27467,10057017157.06804700,1904396654895.08085200,93099013.0400000000000000,-219767261.8900000000000000,8178944268.36000000000000000000
2022-07-13T00:00:00+00:00,51407,9754907,21191,20175,28678,11773882698.34262300,1894339637738.01280500,323015114.9400000000000000,-292823234.2300000000000000,8305612517.21000000000000000000
