Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2021-04-30T00:00:00+00:00,170750,20718420,70598,78053,105578,7139798659.53320600,761367924206.64429300,0,0,-1232967.164331000000000000000000
2021-04-29T00:00:00+00:00,182520,20547670,79887,79465,115003,7322097447.89979700,754228125547.11108700,0,0,-1232967.164331000000000000000000
2021-04-28T00:00:00+00:00,160149,20365150,60250,76922,95274,7681774999.07340800,746906028099.21129000,0,-74.0000000000000000,-1232967.164331000000000000000000
2021-04-27T00:00:00+00:00,163858,20205001,64234,76139,99070,7557170431.57184300,739224253100.13788200,0,0,-1232893.164331000000000000000000
2021-04-26T00:00:00+00:00,167722,20041143,68074,75365,102832,8976118011.50376200,731667082668.56603900,0,-30.0000000000000000,-1232893.164331000000000000000000
2021-04-25T00:00:00+00:00,149273,19873421,72527,58941,100414,3770453663.42244200,722690964657.06227700,0,0.000000000000000000000000,-1232863.164331000000000000000000
2021-04-24T00:00:00+00:00,138158,19724148,57750,62548,89139,4332490335.95741600,718920510993.63983500,0,0,-1232863.164331000000000000000000
2021-04-23T00:00:00+00:00,190276,19585990,74489,86533,115217,11607684454.21663500,714588020657.68241900,0,0,-1232863.164331000000000000000000
2021-04-22T00:00:00+00:00,181420,19395714,60846,86421,107826,7724090971.87524600,702980336203.46578400,0,-1690.0589000000000000,-1232863.164331000000000000000000
2021-04-21T00:00:00+00:00,192293,19214294,63573,98635,121502,7479499837.73807300,695256245231.59053800,0,0,-1231173.105431000000000000000000
2021-04-20T00:00:00+00:00,180689,19022001,53008,101957,118034,7849209740.99979800,687776745393.85246500,0,0,-1231173.105431000000000000000000
2021-04-19T00:00:00+00:00,179101,18841312,63072,89990,111069,9390979999.23183700,679927535652.85266700,0,-3492.8611410000000000,-1231173.105431000000000000000000
2021-04-18T00:00:00+00:00,170643,18662211,62456,82530,102510,9112463404.36391800,670536555653.62083000,0,0,-1227680.244290000000000000000000
2021-04-17T00:00:00+00:00,156848,18491568,55716,77234,94855,5984758304.90499500,661424092249.25691200,0,-92.0000000000000000,-1227680.244290000000000000000000
2021-04-16T00:00:00+00:00,181745,18334720,69697,85330,114145,10051497491.37104500,655439333944.35191700,0,0,-1227588.244290000000000000000000
2021-04-15T00:00:00+00:00,146351,18152975,55255,72129,90692,5685228607.69940200,645387836452.98087200,0,0,-1227588.244290000000000000000000
2021-04-14T00:00:00+00:00,202027,18006624,87008,86344,128574,8383981140.00087200,639702607845.28147000,0,0,-1227588.244290000000000000000000
2021-04-13T00:00:00+00:00,177004,17804597,58235,93962,110211,8321069018.87866000,631318626705.28059800,0,0,-1227588.244290000000000000000000
2021-04-12T00:00:00+00:00,184630,17627593,68683,91101,117681,6880224186.34209700,622997557686.40193800,0,-1.00000000000000000000,-1227588.244290000000000000000000
