Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,223,718725,81,104,135,4510553.180691694077,112082953062.922163387802,262847.8209000000000000,-252837.7406840000000000,398694911.130267874937646085000000000000000000
2022-07-30T00:00:00+00:00,266,718502,107,121,162,9663323.294878595208,112078442509.741471693725,234483.3810000000000000,-210916.5937350000000000,398684901.050051874937646085000000000000000000
2022-07-29T00:00:00+00:00,195,718236,89,119,149,9044343.268078391840,112068779186.446593098517,128646.2290000000000000,-170931.1749940000000000,398661334.262786874937646085000000000000000000
2022-07-28T00:00:00+00:00,252,718041,106,125,166,11300446.910856064950,112059734843.178514706677,956582.4620000000000000,-569881.1210870000000000,398703619.208780874937646085000000000000000000
2022-07-27T00:00:00+00:00,366,717789,119,164,196,8594834.042395836250,112048434396.267658641727,454332.6039130000000000,-165993.5217700000000000,398316917.867867874937646085000000000000000000
2022-07-26T00:00:00+00:00,205,717423,100,141,172,99570393.402207343885,112039839562.225262805477,370561.06900000000000000000,-244595.486677000000,398028578.785724874937646085000000000000000000
2022-07-25T00:00:00+00:00,176,717218,80,129,158,3880770.940667408771,111940269168.823055461592,331436.2320000000000000,-104444.159336000000,397902613.203401874937646085000000000000000000
2022-07-24T00:00:00+00:00,221,717042,90,136,173,4791091.317375074534,111936388397.882388052821,18660.3300000000000000,-44700.7234730000000000,397675621.130737874937646085000000000000000000
2022-07-23T00:00:00+00:00,232,716821,102,134,180,3075041.202651425883,111931597306.565012978287,52555.3920000000000000,-60752.6757170000000000,397701661.524210874937646085000000000000000000
2022-07-22T00:00:00+00:00,233,716589,101,108,146,3679601.535992495167,111928522265.362361552404,78355.266300000000,-205360.254610000000,397709858.807927874937646085000000000000000000
2022-07-21T00:00:00+00:00,248,716356,94,111,143,5222399.946803558025,111924842663.826369057237,251298.450000000000,-294945.955023000000,397836863.796237874937646085000000000000000000
2022-07-20T00:00:00+00:00,329,716108,111,125,169,6060507.533578834265,111919620263.879565499212,579559.5808380000000000,-132931.213065000000,397880511.301260874937646085000000000000000000
2022-07-19T00:00:00+00:00,170,715779,74,91,129,4676612.274768337395,111913559756.345986664947,0,-89486.7047500000000000,397433882.933487874937646085000000000000000000
2022-07-18T00:00:00+00:00,176,715609,81,100,143,3414249.772254851927,111908883144.071218327552,0,-234206.206740000000,397523369.638237874937646085000000000000000000
2022-07-17T00:00:00+00:00,184,715433,84,96,135,3534292.498672103190,111905468894.298963475625,0,-267583.5338380000000000,397757575.844977874937646085000000000000000000
2022-07-16T00:00:00+00:00,351,715249,118,154,194,5376669.018159650436,111901934601.800291372435,55958.9850000000000000,-195429.2303280000000000,398025159.378815874937646085000000000000000000
2022-07-15T00:00:00+00:00,523,714898,170,169,229,13480225.974949717249,111896557932.782131721999,88092.82000000000000000000,-347623.6382790000000000,398164629.624143874937646085000000000000000000
2022-07-14T00:00:00+00:00,237,714375,98,109,158,4961945.879030956076,111883077706.807182004750,167872.9630000000000000,0,398424160.442422874937646085000000000000000000
2022-07-13T00:00:00+00:00,224,714138,105,102,144,5111474.901531709239,111878115760.928151048674,73935.990000000000,-239119.5298420000000000,398256287.479422874937646085000000000000000000
2022-07-12T00:00:00+00:00,298,713914,135,126,183,6381800.258653025222,111873004286.026619339435,134720.1450000000000000,-382687.703135000000,398421471.019264874937646085000000000000000000
2022-07-11T00:00:00+00:00,215,713616,106,103,159,7389288.568784523620,111866622485.767966314213,16113.870000000000,-360290.3765070000000000,398669438.577399874937646085000000000000000000
2022-07-10T00:00:00+00:00,337,713401,135,146,205,5226821.284890610497,111859233197.199181790593,42136.8182680000000000,-296402.1587380000000000,399013615.083906874937646085000000000000000000
2022-07-09T00:00:00+00:00,269,713064,112,132,188,4101706.937801768079,111854006375.914291180096,10619.370000000000,-153767.9795190000000000,399267880.424376874937646085000000000000000000
2022-07-08T00:00:00+00:00,242,712795,106,124,170,3926051.212428651098,111849904668.976489412017,1266.2380080000000000,-105333.1321690000000000,399411029.033895874937646085000000000000000000
2022-07-07T00:00:00+00:00,400,712553,141,163,226,7383975.060988020579,111845978617.764060760919,10297.8400000000000000,-505375.3152330000000000,399515095.928056874937646085000000000000000000
2022-07-06T00:00:00+00:00,346,712153,130,172,225,7520844.920648244040,111838594642.703072740340,1095554.0763640000000000,-77098.2909790000000000,400010173.403289874937646085000000000000000000
2022-07-05T00:00:00+00:00,393,711807,152,196,255,5476117.710532180371,111831073797.782424496300,56482.5100000000000000,-236521.3770290000000000,398991717.617904874937646085000000000000000000
2022-07-04T00:00:00+00:00,719,711414,219,314,398,13653635.895638699752,111825597680.071892315929,106791.0345100000000000,-547955.4581880000000000,399171756.484933874937646085000000000000000000
2022-07-03T00:00:00+00:00,531,710695,187,245,324,7327004.874042477894,111811944044.176253616177,0,-99458.3108000000000000,399612920.908611874937646085000000000000000000
2022-07-02T00:00:00+00:00,987,710164,277,380,498,11632896.561329679927,111804617039.302211138283,241988.4492980000000000,-408145.77284500000000000000,399712379.219411874937646085000000000000000000
2022-07-01T00:00:00+00:00,910,709177,208,287,373,16691075.822944993201,111792984142.740881458356,244425.85125700000000000000,-511658.14304100000000000000,399878536.542958874937646085000000000000000000
2022-06-30T00:00:00+00:00,1182,708267,290,446,580,47744509.057713479468,111776293066.917936465155,391474.1129110000000000,-1957352.0251290000000000,400145768.834742874937646085000000000000000000
2022-06-29T00:00:00+00:00,3371,707085,646,1176,1381,122195185.76700845,111728548557.860222985687,714692.8593220000000000,-3183563.30451100000000000000,401711646.746960874937646085000000000000000000
2022-06-28T00:00:00+00:00,1395,703714,304,510,611,76201605.119414190482,111606353372.093214535687,289187.4588600000000000,-2853810.2056280000000000,404180517.192149874937646085000000000000000000
2022-06-27T00:00:00+00:00,557,702319,153,270,319,14147490.246893864198,111530151766.973800345205,102357.3666980000000000,-67081.9551410000000000,406745139.938917874937646085000000000000000000
2022-06-26T00:00:00+00:00,229,701762,91,128,164,10149160.732625922823,111516004276.726906481007,175074.7500000000000000,-1239.9429290000000000,406709864.527360874937646085000000000000000000
2022-06-25T00:00:00+00:00,142,701533,60,82,107,5275411.424485006568,111505855115.994280558184,205655.205617000000,-32674.0021090000000000,406536029.720289874937646085000000000000000000
2022-06-24T00:00:00+00:00,248,701391,126,136,206,9184983.291454960827,111500579704.569795551616,448454.5002710000000000,0,406363048.516781874937646085000000000000000000
2022-06-23T00:00:00+00:00,124,701143,60,66,98,3848324.610232627568,111491394721.278340590789,168175.327885000000,-144344.69540400000000000000,405914594.016510874937646085000000000000000000
2022-06-22T00:00:00+00:00,102,701019,49,64,85,3792198.514636956778,111487546396.668107963221,105843.5894350000000000,-28150.3933360000000000,405890763.384029874937646085000000000000000000
2022-06-21T00:00:00+00:00,99,700917,54,65,92,2752899.350197058162,111483754198.153471006443,201846.832436000000,-55480.5824850000000000,405813070.187930874937646085000000000000000000
2022-06-20T00:00:00+00:00,146,700818,70,95,123,5879465.672461027728,111481001298.803273948281,149271.1211760000000000,-51537.3450900000000000,405666703.937979874937646085000000000000000000
2022-06-19T00:00:00+00:00,157,700672,76,94,127,8450010.870625702989,111475121833.130812920553,456690.1079190000000000,-314850.6580870000000000,405568970.161893874937646085000000000000000000
2022-06-18T00:00:00+00:00,112,700515,54,68,89,9411719.497154433391,111466671822.260187217564,786548.3008830000000000,-2055.6637970000000000,405427130.712061874937646085000000000000000000
2022-06-17T00:00:00+00:00,83,700403,49,61,80,3839029.042026392090,111457260102.763032784173,86365.021224000000,-15162.1245160000000000,404642638.074975874937646085000000000000000000
2022-06-16T00:00:00+00:00,110,700320,48,72,87,5186051.645807662979,111453421073.721006392083,307415.7806870000000000,-13286.9900000000000000,404571435.178267874937646085000000000000000000
2022-06-15T00:00:00+00:00,126,700210,48,77,88,8380690.209968860669,111448235022.075198729104,527335.0135110000000000,-1482140.271098000000,404277306.387580874937646085000000000000000000
2022-06-14T00:00:00+00:00,128,700084,61,72,99,6186766.388779415881,111439854331.865229868435,437619.63009300000000000000,-129360.3491390000000000,405232111.645167874937646085000000000000000000
2022-06-13T00:00:00+00:00,133,699956,65,81,112,7668178.127491132348,111433667565.476450452554,222867.909000000000,0,404923852.364213874937646085000000000000000000
2022-06-12T00:00:00+00:00,192,699823,82,107,128,17501492.834941615691,111425999387.348959320206,689422.2977190000000000,-46560.0960330000000000,404700984.455213874937646085000000000000000000
2022-06-11T00:00:00+00:00,138,699631,69,93,120,6512405.419390528629,111408497894.514017704515,335088.2868780000000000,-51.0000000000000000,404058122.253527874937646085000000000000000000
2022-06-10T00:00:00+00:00,164,699493,64,91,117,11670418.948212945295,111401985489.094627175886,1200040.3311260000000000,-297147.8525660000000000,403723084.966649874937646085000000000000000000
2022-06-09T00:00:00+00:00,153,699329,67,101,117,6437704.518967342368,111390315070.146414230591,274513.1103630000000000,-158441.4444460000000000,402820192.488089874937646085000000000000000000
2022-06-08T00:00:00+00:00,263,699176,127,124,188,30400077.120677365590,111383877365.627446888223,1047912.0447810000000000,-553130.511241000000,402704120.822172874937646085000000000000000000
2022-06-07T00:00:00+00:00,179,698913,74,106,132,6797141.390272962635,111353477288.506769522633,549690.08336900000000000000,-160648.3400960000000000,402209339.288632874937646085000000000000000000
2022-06-06T00:00:00+00:00,178,698734,86,105,145,6587433.562810163083,111346680147.116496559998,319679.1884660000000000,-99532.2510030000000000,401820297.545359874937646085000000000000000000
2022-06-05T00:00:00+00:00,230,698556,85,127,155,6484178.395123527925,111340092713.553686396915,178199.5211820000000000,-120425.6968450000000000,401600150.607896874937646085000000000000000000
2022-06-04T00:00:00+00:00,206,698326,89,141,167,5886897.460406588008,111333608535.158562868990,627494.8550000000000000,-280919.3728240000000000,401542376.783559874937646085000000000000000000
2022-06-03T00:00:00+00:00,276,698120,113,168,212,5169291.445702248973,111327721637.698156280982,470348.1900000000000000,-516069.3310810000000000,401195801.301383874937646085000000000000000000
2022-06-02T00:00:00+00:00,329,697844,132,197,234,12886034.610954234764,111322552346.252454032009,280513.02185500000000000000,-123320.9418600000000000,401241522.442464874937646085000000000000000000
2022-06-01T00:00:00+00:00,432,697515,159,219,278,15246000.227844148496,111309666311.641499797245,850612.6662620000000000,-520120.1611690000000000,401084330.362469874937646085000000000000000000
2022-05-31T00:00:00+00:00,739,697083,235,354,432,32065907.886913392710,111294420311.413655648749,4254558.55220600000000000000,-4391877.7683250000000000,400753837.857376874937646085000000000000000000
2022-05-30T00:00:00+00:00,910,696344,283,483,585,283997137.31296773,111262354403.526742256039,409516.41139100000000000000,-70525763.1013840000000000,400891157.073495874937646085000000000000000000
2022-05-29T00:00:00+00:00,710,695434,262,394,507,13949734.115846737046,110978357266.213774526039,800981.62830400000000000000,-428255.4442410000000000,471007403.763488874937646085000000000000000000
2022-05-28T00:00:00+00:00,1787,694724,482,853,999,51370010.775776905878,110964407532.097927788993,3094808.35719400000000000000,-1030521.7794470000000000,470634677.579425874937646085000000000000000000
2022-05-27T00:00:00+00:00,2216,692937,572,924,1079,274744732.81103864,110913037521.322150883115,10356001.72516100000000000000,-14205861.6317940000000000,468570391.001678874937646085000000000000000000
2022-05-26T00:00:00+00:00,7193,690721,3236,2644,3977,538437390.55594044,110638292788.511112243115,94974630.55225900000000000000,-56932672.37416700000000000000,472420250.908311874937646085000000000000000000
2022-05-25T00:00:00+00:00,1603,683528,547,815,947,193681574.97514447,110099855397.955171803115,760266.58364900000000000000,-3047591.75626400000000000000,434378292.730219874937646085000000000000000000
2022-05-24T00:00:00+00:00,1175,681925,698,353,845,52098176.163279169570,109906173822.980027333115,982871.1499620000000000,-2438268.7410480000000000,436665617.902834874937646085000000000000000000
