"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"09/21/2021","20366","17195","8149"
"09/22/2021","25061","21480","10027"
"09/23/2021","31261","27403","12232"
"09/24/2021","26349","22172","11552"
"09/25/2021","22233","18924","9003"
"09/26/2021","22606","18382","10120"
"09/27/2021","31555","26827","12565"
"09/28/2021","23952","20690","9134"
"09/29/2021","23564","20248","9353"
"09/30/2021","25507","22052","10542"
"10/01/2021","26272","22611","11356"
"10/02/2021","23766","19306","10684"
"10/03/2021","25245","20938","11507"
"10/04/2021","32281","28190","12429"
"10/05/2021","32733","28381","12883"
"10/06/2021","29918","25560","12308"
"10/07/2021","27034","22711","10919"
"10/08/2021","28640","24453","11806"
"10/09/2021","25092","21450","9915"
"10/10/2021","32145","28432","11674"
"10/11/2021","34922","30809","14643"
"10/12/2021","30784","27191","11464"
"10/13/2021","31259","27100","11984"
"10/14/2021","28312","24304","10039"
"10/15/2021","31863","27668","13239"
"10/16/2021","25757","21893","10193"
"10/17/2021","25027","21344","9662"
"10/18/2021","33567","29537","12481"
"10/19/2021","30167","26197","11211"
"10/20/2021","35698","31322","13787"
"10/21/2021","38130","34172","14932"
"10/22/2021","44188","39499","20497"
"10/23/2021","39076","34684","15020"
"10/24/2021","65893","59885","39534"
"10/25/2021","69473","57544","39485"
"10/26/2021","65029","59867","28146"
"10/27/2021","57184","50955","24528"
"10/28/2021","52208","47082","24389"
"10/29/2021","52444","47351","26797"
"10/30/2021","46204","41331","21030"
"10/31/2021","45723","41482","19437"
"11/01/2021","42436","37399","16657"
"11/02/2021","49398","44889","17752"
"11/03/2021","51272","46114","19122"
"11/04/2021","49546","44721","19463"
"11/05/2021","48051","42648","22373"
"11/06/2021","41308","36702","17851"
"11/07/2021","46887","42004","18486"
"11/08/2021","75409","69258","30508"
"11/09/2021","72142","65532","30116"
"11/10/2021","68509","62112","29155"
"11/11/2021","59803","54225","24123"
"11/12/2021","55294","50327","21241"
"11/13/2021","70819","65007","28784"
"11/14/2021","67626","61588","26205"
"11/15/2021","77076","69710","32181"
"11/16/2021","71829","64337","33306"
"11/17/2021","85648","77038","39919"
"11/18/2021","96433","88285","48194"
"11/19/2021","85717","78090","40870"
"11/20/2021","91580","83459","42796"
"11/21/2021","101420","92252","48953"
"11/22/2021","105098","94412","48315"
"11/23/2021","104820","96451","44861"
"11/24/2021","94916","86154","46416"
"11/25/2021","96936","88190","44836"
"11/26/2021","107104","97844","48750"
"11/27/2021","90916","83581","37021"
"11/28/2021","79719","72943","33726"
"11/29/2021","83556","75913","36678"
"11/30/2021","89159","81180","38759"
"12/01/2021","95837","87703","42946"
"12/02/2021","85934","77973","38469"
"12/03/2021","95302","86838","45512"
"12/04/2021","92242","84484","42263"
"12/05/2021","74211","66598","31186"
"12/06/2021","103377","95518","42027"
"12/07/2021","88573","80870","37852"
"12/08/2021","105254","97221","43395"
"12/09/2021","103095","95009","40851"
"12/10/2021","94344","86319","40131"
"12/11/2021","86598","79336","37042"
"12/12/2021","83380","76186","35728"
"12/13/2021","107975","100331","42531"
"12/14/2021","98311","90336","40360"
"12/15/2021","107491","99126","46418"
"12/16/2021","112086","103655","44218"
"12/17/2021","110585","102309","41973"
"12/18/2021","103143","95514","39042"
"12/19/2021","99082","91436","38495"
"12/20/2021","121857","113793","48257"
"12/21/2021","117674","108728","48439"
"12/22/2021","135820","125988","58580"
"12/23/2021","116282","107332","43495"
"12/24/2021","104517","95865","36152"
"12/25/2021","90982","84053","28237"
"12/26/2021","92276","83870","32196"
"12/27/2021","103932","94479","40273"
"12/28/2021","103983","95370","37871"
"12/29/2021","87801","79721","32231"
"12/30/2021","87720","78810","33403"
"12/31/2021","80542","72911","30081"
"01/01/2022","74675","67837","26154"
"01/02/2022","99200","91232","34341"
"01/03/2022","98759","89916","37393"
"01/04/2022","97261","88049","39158"
"01/05/2022","103732","94383","43389"
"01/06/2022","103829","95061","36924"
"01/07/2022","120262","111256","38030"
"01/08/2022","89810","81653","31849"
"01/09/2022","80916","72937","28505"
"01/10/2022","91290","83379","33879"
"01/11/2022","86891","78764","32611"
"01/12/2022","91820","83367","32796"
"01/13/2022","87294","79427","30215"
"01/14/2022","92892","84036","34246"
"01/15/2022","92175","83481","33980"
"01/16/2022","97302","88434","35682"
"01/17/2022","141583","129040","53699"
"01/18/2022","112767","103716","35969"
"01/19/2022","104273","95253","33492"
"01/20/2022","96715","87319","32364"
"01/21/2022","93385","83684","36027"
"01/22/2022","85859","76908","32859"
"01/23/2022","81153","73684","28051"
"01/24/2022","81873","74262","29924"
"01/25/2022","80829","72666","29619"
"01/26/2022","93047","83425","37265"
"01/27/2022","106853","94879","41190"
"01/28/2022","104299","95424","34540"
"01/29/2022","96933","86644","38356"
"01/30/2022","86549","76511","31282"
"01/31/2022","110605","101295","39706"
"02/01/2022","95809","86839","34188"
"02/02/2022","85775","77678","30967"
