id,blockNumber,timestamp,totalValueLockedUSD,protocolControlledValueUSD,mintedTokenSupplies,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,totalDepositBalanceUSD,totalBorrowBalanceUSD,dailyDepositUSD,dailyBorrowUSD,dailyLiquidateUSD,dailyWithdrawUSD,dailyRepayUSD,date,version,chain,instance,protocol
18596,11363059,1606778006,0.1211387038158691701998788612961841,,,0.05451241671714112658994548758328286,0.006056935190793458509993943064809207,0.06056935190793458509993943064809207,0.1211387038158691701998788612961841,0,0.1211387038158691701998788612961841,0,0,0,0,2020-11-30,V2,Ethereum,aave_v2_ethereum,Aave
18597,11367851,1606841582,11.89956337898119954833154442456768,,,10.77612865202748493346936466788912,0,10.77612865202748493346936466788912,11.89956337898119954833154442456768,1.004174279398617705054263565891473,13.98942240471583788545104345752622,1.004174120453190220632081097197376,0,1.004174120453190220632081097197376,0,2020-12-01,V2,Ethereum,aave_v2_ethereum,Aave
18598,11376123,1606951899,11676.27657935618010547637512452716,,,880.2063429159296173050629493346312,110.5205408935371071911232205082187,990.7268838094667244961861698428498,11676.27657935618010547637512452716,288.4025870220160145130078553635788,12164.47320065284094001171286974372,361.7115243675556397439080951096217,0,48.68826572864025712144497975443895,65.72274404543722261312325415125642,2020-12-02,V2,Ethereum,aave_v2_ethereum,Aave
18599,11382777,1607039855,3713348.456118013793108654167660837,,,40.82765966298191935452881204993263,1.018814497008675253451569597235327,41.84647415999059460798038164716793,3713348.456118013793108654167660837,746335.7048959793617395093780228566,86841630.41529222846634195307888652,750403.1762786188118179857001126671,0,83007827.75520390651328439305115739,5172.761851802688752664776635569197,2020-12-03,V2,Ethereum,aave_v2_ethereum,Aave
18600,11389219,1607126126,15831169.53642713866139562788213131,,,170.2327583772646158572435789565403,6.562654354716201075346095664898737,176.7954127319808169325896746214391,15831169.53642713866139562788213131,1435092.83583682794028700669248641,279411101.7824755403360026639423748,915398.0916825224330769375751827159,0,264142568.0200120471122228867754785,2956.253622896821381770609494507823,2020-12-04,V2,Ethereum,aave_v2_ethereum,Aave
18601,11395732,1607212791,21352799.55085513840485799992418477,,,370.2120262447309305173096139547055,12.17111413346914058313701519950031,382.3831403782000711004466291542057,21352799.55085513840485799992418477,2684733.511555451101213409029201642,473076995.3502644619610412192940393,1484959.645767356077951418006881341,0,468141377.3109063854398308109839959,3457.439950098146015008425862234894,2020-12-05,V2,Ethereum,aave_v2_ethereum,Aave
18602,11402289,1607299174,23772890.01543171113415146688609366,,,634.050564715367708553207214366684,25.99923292931336457503155513006547,660.0497976446810731282387694967497,23772890.01543171113415146688609366,3602592.187715903209990495337493172,6547130.434301413415891352275965955,1325362.809709122145797871887629557,0,2515619.160091302025858821804344284,24049.41705921066274665501107715726,2020-12-06,V2,Ethereum,aave_v2_ethereum,Aave
18603,11408755,1607385592,32768357.35734233849583198818998743,,,1388.260871999958822347734377717362,139.8260789719027711193217872364466,1528.086950971861593467056164953811,32768357.35734233849583198818998743,6332961.954523126387816920429021093,16106939.53762981466607430465132244,3723079.143864823592370857283959165,0,5989760.286953715697297057463880975,105597.5886256570600433611606450722,2020-12-07,V2,Ethereum,aave_v2_ethereum,Aave
18604,11415209,1607471534,31205055.09015406764181931151370038,,,1507.884750003747622960620505005287,37.73680273558282397869749542245323,1545.621552739330446939318000427739,31205055.09015406764181931151370038,6376932.758093914350461506078856339,51320304.26065496494392792419928013,3831797.084130913367922103486700662,0,49504440.48922527410404288961629858,19070.41363006291265236329290577695,2020-12-08,V2,Ethereum,aave_v2_ethereum,Aave
18605,11421841,1607558393,37254361.27872461081903802651371095,,,1485.0786633375839498111374106148,32.0376815251421880073346555297544,1517.11634486272613781847206614455,37254361.27872461081903802651371095,7596777.219540683446345097742061233,137167949.6404272834782594211979066,1922513.349784051381236833551220604,0,130896001.4088746058864863726986344,8954.773577390573134189804523927881,2020-12-09,V2,Ethereum,aave_v2_ethereum,Aave
