Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,147,198,30,36,41,1091.998217,1477.460646,34.43204626,0,32.25416361
2022-07-30T00:00:00+00:00,51,25006,27,28,33,385.4624294,12510258.42,0,-2.17788265,99115.40916
2022-07-29T00:00:00+00:00,168,24955,36,51,60,1730.759742,12509872.95,40.92417122,0,99117.58704
2022-07-28T00:00:00+00:00,102,24787,32,38,45,1135.405897,12508142.19,43.80130992,0,99076.66287
2022-07-27T00:00:00+00:00,122,24685,33,42,46,380.4301917,12507006.79,15.18834626,0,99032.86156
2022-07-26T00:00:00+00:00,56,24563,29,30,39,3544.437467,12506626.36,423.9555131,0,99017.67321
2022-07-25T00:00:00+00:00,71,24507,31,40,44,2814.65631,12503081.92,180.9527437,0,98593.7177
2022-07-24T00:00:00+00:00,43,24436,21,27,29,2961.09375,12500267.26,0,-0.05,98412.76495
2022-07-23T00:00:00+00:00,23,24393,18,18,23,1724.581027,12497306.17,6.58772178,0,98412.81495
2022-07-22T00:00:00+00:00,84,24370,26,30,34,146.7668036,12495581.59,0,0,98406.22723
2022-07-21T00:00:00+00:00,72,24286,28,33,39,246.05524,12495434.82,0,0,98406.22723
2022-07-20T00:00:00+00:00,127,24214,40,46,55,460.6085893,12495188.77,0,0,98406.22723
2022-07-19T00:00:00+00:00,225,24087,45,45,54,487.9013578,12494728.16,31.22432172,0,98406.22723
2022-07-18T00:00:00+00:00,97,23862,35,36,46,498.3936557,12494240.26,0,0,98375.00291
2022-07-17T00:00:00+00:00,60,23765,35,35,45,393.2751149,12493741.86,0,0,98375.00291
2022-07-16T00:00:00+00:00,57,23705,26,30,38,76.82193314,12493348.59,12.01382349,0,98375.00291
2022-07-15T00:00:00+00:00,61,23648,24,28,32,171.0777575,12493271.77,0,0,98362.98909
2022-07-14T00:00:00+00:00,97,23587,26,30,36,205.3895325,12493100.69,0,0,98362.98909
2022-07-13T00:00:00+00:00,196,23490,40,50,56,488.4996973,12492895.3,10.46613669,0,98362.98909
