Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,64638,126817,20846,23630,27069,36447785.72,69873746,529941.074,-383721.8615,1463601.732
2022-07-30T00:00:00+00:00,62179,15036134,20218,23275,26816,33425960.28,1.20137E+11,1656595.06,-339212.5408,127032083.4
2022-07-29T00:00:00+00:00,62142,14973955,18687,21586,25150,49201461.75,1.20103E+11,1489744.153,-123828.2323,125714700.9
2022-07-28T00:00:00+00:00,59659,14911813,17823,20856,24150,50033199.35,1.20054E+11,1172152.75,-149790.537,124348785
2022-07-27T00:00:00+00:00,59194,14852154,17322,19949,23406,44537456.86,1.20004E+11,620926.7544,-467500.5446,123326422.8
2022-07-26T00:00:00+00:00,55819,14792960,16393,18875,22180,40231461.48,1.19959E+11,55444.57883,-3012292.44,123172996.6
2022-07-25T00:00:00+00:00,52416,14737141,16391,18239,21873,33016595.48,1.19919E+11,289947.7425,-4979.740875,126129844.4
2022-07-24T00:00:00+00:00,48861,14684725,15249,17053,20168,25457615.04,1.19886E+11,4508.969474,-77807.57596,125844876.4
2022-07-23T00:00:00+00:00,49456,14635864,15625,18114,21308,21905100.55,1.19861E+11,90042.45812,-255505.8241,125918175
2022-07-22T00:00:00+00:00,51620,14586408,16703,19123,22708,30370524.67,1.19839E+11,1128491.182,-107353.6072,126083638.4
2022-07-21T00:00:00+00:00,58519,14534788,18384,21324,25076,34043722.68,1.19808E+11,1318073.19,-220363.2365,125062500.8
2022-07-20T00:00:00+00:00,64994,14476269,20738,22740,27397,32969660.73,1.19774E+11,24528.23548,-13000.68039,123964790.9
2022-07-19T00:00:00+00:00,65316,14411275,19584,22315,26386,37033426.45,1.19741E+11,721513.6753,-100555.1745,123953263.3
2022-07-18T00:00:00+00:00,64320,14345959,19158,20965,25487,41530273.95,1.19704E+11,678879.3933,-150092.8022,123332304.8
2022-07-17T00:00:00+00:00,49928,14281639,15696,17431,20959,41717014.08,1.19663E+11,413225.0261,-4872379.621,122803518.2
2022-07-16T00:00:00+00:00,46220,14231711,16105,17825,21886,25286245.81,1.19621E+11,100325.541,-62770.33804,127262672.8
2022-07-15T00:00:00+00:00,48627,14185491,16118,17751,22198,23215991.42,1.19596E+11,109932.1391,-137161.4517,127225117.6
2022-07-14T00:00:00+00:00,52359,14136864,17467,19289,24321,30663679.14,1.19573E+11,3026156.222,-939765.2633,127252346.9
2022-07-13T00:00:00+00:00,54013,14084505,17615,18588,24843,24044107.61,1.19542E+11,83642.23141,-52365.70452,125165956
