Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,1762,3101,303,510,524,1289203.225,1994613.752,250.6289145,-424.3122351,7830.924402
2022-07-30T00:00:00+00:00,1339,254162,293,482,500,705410.5265,808354842.2,8353.9071,-349.2993777,22468702.37
2022-07-29T00:00:00+00:00,1521,252823,307,505,522,1274550.482,807649431.7,14456.14084,-29999.37508,22460697.76
2022-07-28T00:00:00+00:00,2032,251302,310,520,533,1925743.297,806374881.2,44.19596296,-1845.14896,22476241
2022-07-27T00:00:00+00:00,1366,249270,338,580,590,609747.1388,804449137.9,0,-152.3812348,22478041.95
2022-07-26T00:00:00+00:00,1212,247904,260,407,428,759105.6148,803839390.7,1291.402739,0,22478194.33
2022-07-25T00:00:00+00:00,1102,246692,254,429,441,525969.044,803080285.1,314.5734138,0,22476902.93
2022-07-24T00:00:00+00:00,905,245590,290,485,496,945638.6199,802554316.1,5.350960159,-11.19649811,22476588.36
2022-07-23T00:00:00+00:00,938,244685,259,447,459,288918.0159,801608677.5,271.2109132,-674,22476594.2
2022-07-22T00:00:00+00:00,1234,243747,297,500,510,794444.6739,801319759.4,281.0810186,-753.5224599,22476996.99
2022-07-21T00:00:00+00:00,1523,242513,321,526,538,760476.2075,800525314.8,289.1334851,-100.0283513,22477469.43
2022-07-20T00:00:00+00:00,1554,240990,313,508,526,1397000.413,799764838.6,555.9449079,-1.0005,22477280.33
2022-07-19T00:00:00+00:00,1829,239436,318,510,522,1789973.898,798367838.2,25192.04336,-1007.509944,22476725.38
2022-07-18T00:00:00+00:00,2109,237607,321,518,532,1278731.444,796577864.3,79.70969361,-1201.640166,22452540.85
2022-07-17T00:00:00+00:00,2090,235498,528,737,752,504165.6861,795299132.8,0,-252.2523587,22453662.78
2022-07-16T00:00:00+00:00,6245,233408,1676,1904,1914,571131.1476,794794967.1,6.186387635,-826.5577157,22453915.03
2022-07-15T00:00:00+00:00,1709,227163,277,456,469,734305.0171,794223836,25.31710028,-312.549202,22454735.4
2022-07-14T00:00:00+00:00,1636,225454,294,480,496,1251047.117,793489531,100973.7943,-806.2283019,22455022.64
2022-07-13T00:00:00+00:00,1268,223818,249,403,417,462636.0326,792238483.8,167.2675554,0,22354855.07
2022-07-12T00:00:00+00:00,1442,222550,278,437,454,3556534.106,791775847.8,1499921.753,-9.687874159,22354687.8
2022-07-11T00:00:00+00:00,1341,221108,266,432,446,624210.2883,788219313.7,0,0,20854775.74
2022-07-10T00:00:00+00:00,990,219767,273,448,453,624427.455,787595103.4,76562.83855,0,20854775.74
2022-07-09T00:00:00+00:00,741,218777,241,395,402,696296.4113,786970676,40254.08234,-20020.6,20778212.9
2022-07-08T00:00:00+00:00,1542,218036,235,381,391,900099.2681,786274379.5,214.2265867,-234.6121472,20757979.42
2022-07-07T00:00:00+00:00,1067,216494,242,375,388,986664.7511,785374280.3,100347.4729,-33.85165436,20757999.8
