Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2021-06-30T00:00:00+00:00,2,12738537,2,2,4,0.0000000005253234360000000000,0.1422121862061981260000000000,0.0000354700476960680000000000,-0.00003394762470570200000000000000,0.001283093662027871000000000000000000
2021-06-29T00:00:00+00:00,215684,12738535,18962,22554,25843,0.00129908521331362000,0.142212185680874690000000,0.00002729665537827300000000000000,-0.000027459177293473000000000000000000,0.001281571239037505000000000000000000
2021-06-28T00:00:00+00:00,209790,12522851,18113,20757,23524,0.00171697054347178100,0.140913100467561070000000,0.00004939177004095600000000000000,-0.000037854900623172000000000000000000,0.001281733760952705000000000000000000
2021-06-27T00:00:00+00:00,166074,12313061,14620,17811,20220,0.00070585471061555500,0.139196129924089289000000,0.0000149207951375440000000000,-0.00004324305194666200000000000000,0.001270196891534921000000000000000000
2021-06-26T00:00:00+00:00,176688,12146987,15378,17357,19915,0.00067666734705507200,0.138490275213473734000000,0.00002671949447576700000000000000,-0.00003848846021590100000000000000,0.001298519148344039000000000000000000
2021-06-25T00:00:00+00:00,201406,11970299,18341,21040,23847,0.00082879126368624600,0.137813607866418662000000,0.000011896137404910000000000000000000,-0.00006915014539625700000000000000,0.001310288114084173000000000000000000
2021-06-24T00:00:00+00:00,193201,11768893,18655,20215,23343,0.00097098792474847000,0.136984816602732416000000,0.000030305467982610000000000000000000,-0.000058705120292068000000000000000000,0.001367542122075520000000000000000000
2021-06-23T00:00:00+00:00,206603,11575692,19377,20583,23950,0.00189202195859448600,0.136013828677983946000000,0.000034972279758682000000000000000000,-0.00010328605598216500000000000000,0.001395941774384978000000000000000000
2021-06-22T00:00:00+00:00,273403,11369089,23718,24231,28474,0.00242385165992139600,0.134121806719389460000000,0.0000165351216594720000000000,-0.000181709283811355000000000000000000,0.001464255550608461000000000000000000
2021-06-21T00:00:00+00:00,258190,11095686,23744,25246,29415,0.00223043788714514600,0.131697955059468064000000,0.00003480707389685600000000000000,-0.000154887034606678000000000000000000,0.001629429712760344000000000000000000
2021-06-20T00:00:00+00:00,191378,10837496,19741,22295,25875,0.00127668292154225300,0.129467517172322918000000,0.00001936563278562800000000000000,-0.00010805946447962900000000000000,0.001749509673470166000000000000000000
2021-06-19T00:00:00+00:00,198247,10646118,21268,22512,26373,0.00162619757322023100,0.128190834250780665000000,0.00004431583800870000000000000000,-0.00007400950889226100000000000000,0.001838203505164167000000000000000000
2021-06-18T00:00:00+00:00,251787,10447871,28615,29393,34573,0.00275611536048874000,0.126564636677560434000000,0.00003480860241113400000000000000,-0.00017236242419147600000000000000,0.001867897176047728000000000000000000
2021-06-17T00:00:00+00:00,379569,10196084,43147,48324,53601,0.00699669029204122800,0.123808521317071694000000,0.00008061326710979400000000000000,-0.000362907180035937000000000000000000,0.002005450997828070000000000000000000
2021-06-16T00:00:00+00:00,464704,9816515,39631,45479,47977,0.01640666325520015900,0.116811831025030466000000,0.000269560684771052000000000000000000,-0.00014727979479795100000000000000,0.002287744910754213000000000000000000
2021-06-15T00:00:00+00:00,370514,9351811,35996,39117,41612,0.00578442648898830400,0.100405167769830307000000,0.000226414222917058000000000000000000,-0.00004368623659728700000000000000,0.002165464020781112000000000000000000
2021-06-14T00:00:00+00:00,350215,8981297,30849,33214,35346,0.00456967536237529000,0.094620741280842003000000,0.000235043211476640000000000000000000,-0.000015075442039206000000000000000000,0.001982736034461341000000000000000000
2021-06-13T00:00:00+00:00,319348,8631082,24587,26655,28422,0.00393423293992811100,0.090051065918466713000000,0.000131135927688109000000000000000000,-0.00001798801243226800000000000000,0.001762768265023907000000000000000000
2021-06-12T00:00:00+00:00,271628,8311734,22871,24042,26267,0.00461696181961847600,0.086116832978538602000000,0.000123400571381595000000000000000000,-0.00003407160297515700000000000000,0.001649620349768066000000000000000000
2021-06-11T00:00:00+00:00,255672,8040106,22947,25231,26996,0.00333445759796634700,0.081499871158920126000000,0.000197795797972574000000000000000000,-0.00007051621843741400000000000000,0.001560291381361628000000000000000000
2021-06-10T00:00:00+00:00,210353,7784434,20912,22154,24135,0.00262327948822361900,0.078165413560953779000000,0.000082406198887059000000000000000000,-0.000016080380445541000000000000000000,0.001433011801826468000000000000000000
2021-06-09T00:00:00+00:00,254813,7574081,19981,21378,23173,0.00270309146195385700,0.075542134072730160000000,0.000088488357268256000000000000000000,-0.000014848592206951000000000000000000,0.001366685983384950000000000000000000
2021-06-08T00:00:00+00:00,220476,7319268,18082,19389,21001,0.00276611417705505000,0.072839042610776303000000,0.00007120215209048000000000000000,-0.0000295270147313300000000000,0.001293046218323645000000000000000000
2021-06-07T00:00:00+00:00,176619,7098792,16634,17558,19320,0.00221030468000115700,0.070072928433721253000000,0.0000635214703849410000000000,-0.00002268980868647100000000000000,0.001251371080964495000000000000000000
2021-06-06T00:00:00+00:00,144940,6922173,13220,13931,15556,0.00177835585745042800,0.067862623753720096000000,0.00003161717931048500000000000000,-0.00000683856361871500000000000000,0.001210539419266025000000000000000000
2021-06-05T00:00:00+00:00,156381,6777233,14294,15167,16826,0.00167383195180279400,0.066084267896269668000000,0.00003308564084103800000000000000,-0.00002687900952831900000000000000,0.001185760803574255000000000000000000
2021-06-04T00:00:00+00:00,166969,6620852,13928,14582,16385,0.00196201502237941100,0.064410435944466874000000,0.00003947978546062200000000000000,-0.00002235236238744000000000000000,0.001179554172261536000000000000000000
2021-06-03T00:00:00+00:00,189227,6453883,14742,15661,17324,0.00228657236833117900,0.062448420922087463000000,0.000033909352871301000000000000000000,-0.00002307467214308600000000000000,0.001162426749188354000000000000000000
2021-06-02T00:00:00+00:00,157760,6264656,13951,15171,16513,0.00209062207089145800,0.060161848553756284000000,0.0000474493444172660000000000,-0.00005621052007088800000000000000,0.001151592068460139000000000000000000
2021-06-01T00:00:00+00:00,169307,6106896,13744,14750,15981,0.00185388511153319100,0.058071226482864826000000,0.000048877457842634000000000000000000,-0.00002984499723021900000000000000,0.001160353244113761000000000000000000
2021-05-31T00:00:00+00:00,145440,5937589,14063,13677,15892,0.00225433452130825200,0.056217341371331635000000,0.00007215407554004600000000000000,-0.00002420424066743700000000000000,0.001141320783501346000000000000000000
2021-05-30T00:00:00+00:00,133790,5792149,12434,11773,14185,0.00134024072187287300,0.053963006850023383000000,0.00005254444675535600000000000000,-0.00003263065111089200000000000000,0.001093370948628737000000000000000000
2021-05-29T00:00:00+00:00,117799,5658359,10726,10461,12458,0.00141326676178460000,0.052622766128150510000000,0.00003717862613005500000000000000,-0.00002274910062894900000000000000,0.001073457152984273000000000000000000
2021-05-28T00:00:00+00:00,139231,5540560,11959,11509,13882,0.00161679693418185700,0.051209499366365910000000,0.000055415721671432000000000000000000,-0.000027525800634061000000000000000000,0.001059027627483167000000000000000000
2021-05-27T00:00:00+00:00,115234,5401329,11978,11706,13806,0.00225837849902541900,0.049592702432184053000000,0.000115755097053611000000000000000000,-0.00001118605286009600000000000000,0.001031137706445796000000000000000000
2021-05-26T00:00:00+00:00,134751,5286095,13019,12676,14937,0.00215077198329739900,0.047334323933158634000000,0.000080141518902983000000000000000000,-0.00003436801271817600000000000000,0.000926568662252281000000000000000000
2021-05-25T00:00:00+00:00,134457,5151344,10680,10453,12385,0.00190050692628193900,0.045183551949861235000000,0.00008568589513548300000000000000,-0.00001647622952444000000000000000,0.000880795156067474000000000000000000
2021-05-24T00:00:00+00:00,138693,5016887,9340,9828,10935,0.00242244992191516200,0.043283045023579296000000,0.000102201738599025000000000000000000,-0.0000195332727671820000000000,0.000811585490456431000000000000000000
2021-05-23T00:00:00+00:00,170915,4878194,8609,8931,10092,0.00277300687055934600,0.040860595101664134000000,0.00004087456575644400000000000000,-0.00006964233383762200000000000000,0.000728917024624588000000000000000000
2021-05-22T00:00:00+00:00,96159,4707279,7514,7491,8700,0.00297093950593834000,0.038087588231104788000000,0.000061855584187009000000000000000000,-0.00005330186661839500000000000000,0.000757684792705766000000000000000000
2021-05-21T00:00:00+00:00,132755,4611120,10164,9522,11482,0.00327256197115944400,0.035116648725166448000000,0.0000937338334903060000000000,-0.0000534047075752460000000000,0.000749131075137152000000000000000000
2021-05-20T00:00:00+00:00,156664,4478365,9530,9827,10815,0.00308193248892794200,0.031844086754007004000000,0.0001431563586630540000000000,-0.0000272118306866350000000000,0.000708801949222092000000000000000000
2021-05-19T00:00:00+00:00,188293,4321701,10840,11229,12417,0.00488479962594692500,0.028762154265079062000000,0.00011332409002951700000000000000,-0.00007523757695661200000000000000,0.000592857421245673000000000000000000
2021-05-18T00:00:00+00:00,158849,4133408,12474,12333,14170,0.00272700597172165700,0.023877354639132137000000,0.0001065958203032940000000000,-0.0000289992044958740000000000,0.000554770908172768000000000000000000
2021-05-17T00:00:00+00:00,145572,3974559,8743,9025,9891,0.00207145990179559100,0.021150348667410480000000,0.0000518197737364750000000000,-0.0000346919557670310000000000,0.000477174292365348000000000000000000
2021-05-16T00:00:00+00:00,133430,3828987,9723,9182,10927,0.00219294532946897100,0.019078888765614889000000,0.00013532412556674200000000000000,-0.00001813213160254200000000000000,0.000460046474395904000000000000000000
2021-05-15T00:00:00+00:00,149262,3695557,9423,10067,10694,0.00105674308326114500,0.016885943436145918000000,0.0000637190989126090000000000,-0.00002775664236694200000000000000,0.000342854480431704000000000000000000
2021-05-14T00:00:00+00:00,131001,3546295,8538,8834,9562,0.00107211759631273900,0.015829200352884773000000,0.0000571787629507410000000000,-0.00001979932678766800000000000000,0.000306892023886037000000000000000000
2021-05-13T00:00:00+00:00,124486,3415294,7860,8265,8993,0.00109026474190788700,0.014757082756572034000000,0.0000430607293720950000000000,-0.00001402689951767800000000000000,0.000269512587722964000000000000000000
2021-05-12T00:00:00+00:00,127761,3290808,7707,8113,8745,0.00060193383491395000,0.013666818014664147000000,0.0000247083790277850000000000,-0.00001273612183410300000000000000,0.000240478757868547000000000000000000
2021-05-11T00:00:00+00:00,93292,3163047,6296,6567,7201,0.00036457050225025100,0.013064884179750197000000,0.0000157624421816900000000000,-0.00000596216587146600000000000000,0.000228506500674865000000000000000000
2021-05-10T00:00:00+00:00,82492,3069755,6082,6234,6910,0.00041555881520409500,0.012700313677499946000000,0.0000128430116661790000000000,-0.00001021588210172200000000000000,0.000218706224364641000000000000000000
2021-05-09T00:00:00+00:00,78975,2987263,6884,7367,7925,0.00044474554759296000,0.012284754862295851000000,0.0000237111259982480000000000,-0.000018122275824670000000000000000000,0.000216079094800184000000000000000000
2021-05-08T00:00:00+00:00,61840,2908288,5557,5880,6463,0.00030633571576058100,0.011840009314702891000000,0.0000127454051285830000000000,-0.0000179193614025380000000000,0.000210490244626606000000000000000000
2021-05-07T00:00:00+00:00,85271,2846448,7897,8258,8837,0.00058727545964709800,0.011533673598942310000000,0.000022908095064910000000000000000000,-0.0000282964491718240000000000,0.000215664200900561000000000000000000
2021-05-06T00:00:00+00:00,74212,2761177,6270,6967,7562,0.00056295987348982900,0.010946398139295212000000,0.0000251521277073290000000000,-0.00003125860237818100000000000000,0.000221052555007475000000000000000000
2021-05-05T00:00:00+00:00,64729,2686965,5839,6010,6684,0.00027777393080832400,0.010383438265805383000000,0.00000972826227479100000000000000,-0.000022539209460994000000000000000000,0.000227159029678327000000000000000000
2021-05-04T00:00:00+00:00,71959,2622236,5624,5871,6525,0.00042431475441440900,0.010105664334997059000000,0.00001177507108486500000000000000,-0.00002738691222220100000000000000,0.000239969976864530000000000000000000
2021-05-03T00:00:00+00:00,85164,2550277,6624,6916,7603,0.00051368327227788400,0.009681349580582650000000,0.000021388712803728000000000000000000,-0.00002477825790466400000000000000,0.000255581818001866000000000000000000
2021-05-02T00:00:00+00:00,140111,2465113,7217,8064,8599,0.00074252879070794300,0.009167666308304766000000,0.0000270705479581730000000000,-0.00003512761493544200000000000000,0.000258971363102802000000000000000000
2021-05-01T00:00:00+00:00,71480,2325002,5657,6065,6543,0.00072331324020737800,0.008425137517596823000000,0.00005623401142244800000000000000,-0.00001840129057681500000000000000,0.000267028430080071000000000000000000
2021-04-30T00:00:00+00:00,124734,2253522,6345,6783,7179,0.00055937977763058800,0.007701824277389445000000,0.00005232854724977200000000000000,-0.00001102028613727600000000000000,0.000229195709234438000000000000000000
2021-04-29T00:00:00+00:00,102790,2128788,4896,5118,5474,0.00068487459585822400,0.007142444499758857000000,0.00006297382440252400000000000000,-0.00003141723281411700000000000000,0.000187887448121942000000000000000000
2021-04-28T00:00:00+00:00,79538,2025998,4968,5239,5555,0.00055746958277844100,0.006457569903900633000000,0.00005158513128581600000000000000,-0.0000100921225118400000000000,0.000156330856533535000000000000000000
2021-04-27T00:00:00+00:00,120464,1946460,4711,5007,5240,0.00070012701884007400,0.005900100321122192000000,0.00005818405366171600000000000000,-0.00000951790849370100000000000000,0.000114837847759559000000000000000000
2021-04-26T00:00:00+00:00,118367,1825996,3253,3387,3605,0.00041063080120658400,0.005199973302282118000000,0.00002185604266751200000000000000,-0.00003705643788375600000000000000,0.000066171702591544000000000000000000
2021-04-25T00:00:00+00:00,108243,1707629,2112,2184,2317,0.00026868848430846300,0.004789342501075534000000,0.0000108198226286120000000000,-0.00000283679103730700000000000000,0.000081372097807788000000000000000000
2021-04-24T00:00:00+00:00,26897,1599386,1700,1691,1849,0.00019248820096934800,0.004520654016767071000000,0.0000223815248774040000000000,-0.0000013220640858810000000000,0.000073389066216483000000000000000000
2021-04-23T00:00:00+00:00,37607,1572489,1811,1758,1983,0.00016137762047231400,0.004328165815797723000000,0.0000168593562235600000000000,-0.0000033680003252820000000000,0.000052329605424960000000000000000000
2021-04-22T00:00:00+00:00,35914,1534882,1860,1907,2069,0.00014962585165018000,0.004166788195325409000000,0.0000057543338991780000000000,-0.0000050874917123770000000000,0.000038838249526682000000000000000000
2021-04-21T00:00:00+00:00,26724,1498968,1632,1671,1810,0.00017154942723784400,0.004017162343675229000000,0.00001413544350951100000000000000,-0.0000029044412644950000000000,0.000038171407339881000000000000000000
2021-04-20T00:00:00+00:00,33265,1472244,1805,1812,1990,0.00010186410519838900,0.003845612916437385000000,0.00000354801998594700000000000000,-0.0000025814310214170000000000,0.000026940405094865000000000000000000
2021-04-19T00:00:00+00:00,33492,1438979,1564,1559,1718,0.00011941473226005100,0.003743748811238996000000,0.0000027918157094600000000000,-0.00000687067231808800000000000000,0.000025973816130335000000000000000000
