Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,415,768,252,453,457,125228.5097,1902619.064,0,0,260520
2022-07-30T00:00:00+00:00,353,35992,241,430,434,1777390.555,315169291.3,260520,0,13095535.65
2022-07-29T00:00:00+00:00,281,35639,192,318,326,931575.8536,313391900.7,229995,0,12835015.65
2022-07-28T00:00:00+00:00,165,35358,61,69,74,5767919.162,312460324.9,641287.7,0,12605020.65
2022-07-27T00:00:00+00:00,210,35193,67,74,82,1321858.667,306692405.7,239998,0,11963732.95
2022-07-26T00:00:00+00:00,133,34983,59,58,67,1124729.23,305370547,39999,-300052.9055,11723734.95
2022-07-25T00:00:00+00:00,183,34850,69,72,81,3331092.032,304245817.8,897197.0169,0,11983788.85
2022-07-24T00:00:00+00:00,168,34667,58,67,73,2443142.061,300914725.8,345442.6496,0,11086591.84
2022-07-23T00:00:00+00:00,200,34499,49,54,58,1255222.504,298471583.7,98639.69881,0,10741149.19
2022-07-22T00:00:00+00:00,189,34299,69,74,83,1279252.96,297216361.2,276780.3662,0,10642509.49
2022-07-21T00:00:00+00:00,354,34110,96,104,111,2686317.523,295937108.2,121252.9614,0,10365729.12
2022-07-20T00:00:00+00:00,107,33756,42,46,50,76578.80343,293250790.7,0,0,10244476.16
2022-07-19T00:00:00+00:00,118,33649,45,50,55,1282885.92,293174211.9,200000,0,10244476.16
2022-07-18T00:00:00+00:00,154,33531,47,57,61,768330.6304,291891326,0,0,10044476.16
2022-07-17T00:00:00+00:00,692,33377,31,39,41,77571.87351,291122995.4,0,0,10044476.16
2022-07-16T00:00:00+00:00,145,32685,36,35,39,130949.8369,291045423.5,0,0,10044476.16
2022-07-15T00:00:00+00:00,139,32540,47,50,55,1316817.356,290914473.7,425000,0,10044476.16
2022-07-14T00:00:00+00:00,126,32401,39,47,51,393930.2018,289597656.3,50000,0,9619476.159
2022-07-13T00:00:00+00:00,144,32275,46,47,51,1522681.809,289203726.1,0,0,9569476.159
2022-07-12T00:00:00+00:00,677,32131,245,245,253,182307.6081,287681044.3,0,0,9569476.159
2022-07-11T00:00:00+00:00,105,31454,36,41,47,67894.26858,287498736.7,0,0,9569476.159
2022-07-10T00:00:00+00:00,103,31349,37,45,48,167506.7616,287430842.4,30267,0,9569476.159
2022-07-09T00:00:00+00:00,123,31246,42,43,47,165359.5614,287263335.7,14800.14731,0,9539209.159
2022-07-08T00:00:00+00:00,155,31123,50,55,59,2341802.612,287097976.1,539998,0,9524409.012
2022-07-07T00:00:00+00:00,152,30968,44,51,61,457217.5538,284756173.5,100000.5,0,8984411.012
2022-07-06T00:00:00+00:00,154,30816,47,46,53,207757.0519,284298955.9,40000,0,8884410.512
2022-07-05T00:00:00+00:00,172,30662,48,50,55,710047.7265,284091198.9,130298.3557,0,8844410.512
2022-07-04T00:00:00+00:00,174,30490,48,48,58,1111848.596,283381151.1,84931,0,8714112.156
2022-07-03T00:00:00+00:00,222,30316,51,56,63,634346.9364,282269302.6,26642,0,8629181.156
2022-07-02T00:00:00+00:00,116,30094,37,43,48,344139.2123,281634955.6,0,0,8602539.156
2022-07-01T00:00:00+00:00,113,29978,37,38,45,364404.0887,281290816.4,0,0,8602539.156
2022-06-30T00:00:00+00:00,104,29865,37,45,47,1395675.789,280926412.3,0,-603598.7429,8602539.156
2022-06-29T00:00:00+00:00,73,29761,27,28,33,328006.3617,279530736.5,79981.5481,0,9206137.899
2022-06-28T00:00:00+00:00,136,29688,40,43,48,225041.7291,279202730.2,0,0,9126156.351
2022-06-27T00:00:00+00:00,120,29552,46,49,56,115213.2915,278977688.4,0,0,9126156.351
2022-06-26T00:00:00+00:00,143,29432,45,48,54,1260489.057,278862475.1,401247.7237,0,9126156.351
2022-06-25T00:00:00+00:00,159,29289,43,49,53,590273.4497,277601986.1,79999,0,8724908.628
2022-06-24T00:00:00+00:00,136,29130,45,50,55,148519.1433,277011712.6,0,0,8644909.628
2022-06-23T00:00:00+00:00,168,28994,48,58,62,381176.398,276863193.5,0,0,8644909.628
2022-06-22T00:00:00+00:00,131,28826,49,55,61,895443.4502,276482017.1,0,-105300,8644909.628
2022-06-21T00:00:00+00:00,105,28695,32,30,36,239597.2333,275586573.6,0,0,8750209.628
2022-06-20T00:00:00+00:00,125,28590,41,44,48,1023025.215,275346976.4,199951.2025,-144225.9985,8750209.628
2022-06-19T00:00:00+00:00,113,28465,38,40,46,2572209.068,274323951.2,425662.2894,-372200,8694484.424
2022-06-18T00:00:00+00:00,171,28352,46,64,68,372786.4238,271751742.1,0,-70119.92305,8641022.134
2022-06-17T00:00:00+00:00,136,28181,33,39,42,2823507.762,271378955.7,505536.2498,-825588.3656,8711142.057
2022-06-16T00:00:00+00:00,149,28045,46,50,59,1009845.657,268555447.9,55645.38473,0,9031194.173
2022-06-15T00:00:00+00:00,141,27896,49,53,60,1650590.628,267545602.3,365000.5,0,8975548.788
2022-06-14T00:00:00+00:00,79,27755,33,39,46,239190.8829,265895011.7,0,0,8610548.288
2022-06-13T00:00:00+00:00,108,27676,29,32,40,5739296.772,265655820.8,0,0,8610548.288
2022-06-12T00:00:00+00:00,69,27568,25,31,37,1579611.934,259916524,600000,0,8610548.288
2022-06-11T00:00:00+00:00,102,27499,40,41,48,670742.7464,258336912.1,0,0,8010548.288
2022-06-10T00:00:00+00:00,114,27397,39,43,50,1984301.48,257666169.3,527100,0,8010548.288
2022-06-09T00:00:00+00:00,241,27283,61,64,70,4924995.007,255681867.8,1367061.441,0,7483448.288
2022-06-08T00:00:00+00:00,146,27042,36,39,45,2264581.139,250756872.8,487304.8667,0,6116386.847
2022-06-07T00:00:00+00:00,16,26896,13,20,21,11710.28576,248492291.7,0,0,5629081.981
2022-06-06T00:00:00+00:00,25,26880,15,23,26,44462.03089,248480581.4,0,0,5629081.981
2022-06-05T00:00:00+00:00,26,26855,16,21,23,10852.307,248436119.4,0,0,5629081.981
2022-06-04T00:00:00+00:00,26,26829,18,25,30,11966.78088,248425267.1,0,0,5629081.981
2022-06-03T00:00:00+00:00,24,26803,19,20,23,2922.515296,248413300.3,0,0,5629081.981
2022-06-02T00:00:00+00:00,27,26779,23,26,29,16619.60202,248410377.8,0,0,5629081.981
2022-06-01T00:00:00+00:00,29,26752,20,29,30,126235.7033,248393758.2,50000,0,5629081.981
2022-05-31T00:00:00+00:00,20,26723,14,13,18,38552.31573,248267522.5,0,0,5579081.981
2022-05-30T00:00:00+00:00,22,26703,12,18,20,35441.86213,248228970.2,1,0,5579081.981
