Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,55008,105968,15809,13508,19886,92516901.99,219162444,67827.61337,-52388.36123,89104.24415
2022-07-30T00:00:00+00:00,50960,31786448,12255,53103,55938,126645542,1.52277E+11,103119.4052,-29454.41319,649446310.1
2022-07-29T00:00:00+00:00,61260,31735488,12571,28427,30810,173090477,1.52151E+11,545943.9749,-31942.62429,649372645.1
2022-07-28T00:00:00+00:00,62585,31674228,12892,15568,18175,146866516.2,1.51977E+11,145830.4165,-275960.168,648858643.8
2022-07-27T00:00:00+00:00,55082,31611643,11638,13731,16266,118804803.9,1.51831E+11,61323.83864,-622824.7659,648988773.5
2022-07-26T00:00:00+00:00,52875,31556561,11528,12393,15024,142807543.7,1.51712E+11,1776783.09,-1707510.742,649550274.5
2022-07-25T00:00:00+00:00,50839,31503686,11327,12482,15265,123300318.3,1.51569E+11,115009.4806,-115990.0896,649481002.1
2022-07-24T00:00:00+00:00,43032,31452847,9872,11548,13621,97254873,1.51446E+11,56076.01161,-7531.354016,649481982.7
2022-07-23T00:00:00+00:00,45982,31409815,10181,11173,13563,102545072.3,1.51348E+11,1120785.663,-3467.58937,649433438.1
2022-07-22T00:00:00+00:00,52910,31363833,11678,13713,16247,493116492.7,1.51246E+11,253562.3439,-4008624.897,648316120
2022-07-21T00:00:00+00:00,58850,31310923,12332,13561,16803,126469373.2,1.50753E+11,327112.3214,-29036.95312,652071182.5
2022-07-20T00:00:00+00:00,63416,31252073,13041,14708,17801,204837734,1.50626E+11,22695.52697,-7052.529382,651773107.2
2022-07-19T00:00:00+00:00,63271,31188657,12538,15549,17946,156977653.5,1.50421E+11,919845.394,-809786.3508,651757464.2
2022-07-18T00:00:00+00:00,73339,31125386,13456,16189,18838,187227403.7,1.50264E+11,366027.0594,-26672.10327,651647405.1
2022-07-17T00:00:00+00:00,55693,31052047,12564,13556,16489,124749151.4,1.50077E+11,186890.3437,-207022.2722,651308050.2
2022-07-16T00:00:00+00:00,53361,30996354,11744,13158,15692,108889102.7,1.49952E+11,163246.852,-203049.6487,651328182.1
2022-07-15T00:00:00+00:00,76352,30942993,15132,17142,19799,219424360.9,1.49844E+11,70409.97909,-479632.4862,651367984.9
2022-07-14T00:00:00+00:00,99590,30866641,14668,16887,19043,200459078.4,1.49624E+11,180512.4666,-330319.1022,651777207.4
2022-07-13T00:00:00+00:00,80881,30767051,16852,17863,20531,157522310.6,1.49424E+11,78584.69604,-91684.04903,651927014
2022-07-12T00:00:00+00:00,70091,30686170,17083,17050,20861,138933483.6,1.49266E+11,3454.343819,-46374.76523,651940113.4
2022-07-11T00:00:00+00:00,62915,30616079,12762,14409,16566,119237080.6,1.49127E+11,71474.0983,-87353.37815,651983033.8
2022-07-10T00:00:00+00:00,52034,30553164,12379,13594,16018,88190760.2,1.49008E+11,192784.4949,-35428.84557,651998913.1
2022-07-09T00:00:00+00:00,51366,30501130,11949,12703,15384,147166769.4,1.4892E+11,313932.8232,-7379.374165,651841557.5
2022-07-08T00:00:00+00:00,64591,30449764,13014,15043,17642,141427780,1.48773E+11,87026.10175,-553478.2123,651535004
2022-07-07T00:00:00+00:00,58867,30385173,14156,15861,18580,105236144.2,1.48631E+11,24469.52759,-348506.7261,652001456.1
2022-07-06T00:00:00+00:00,64194,30326306,15027,16469,19621,121033357.5,1.48526E+11,4777042.547,-82953.36873,652325493.3
2022-07-05T00:00:00+00:00,61706,30262112,13495,15651,18006,103749929.6,1.48405E+11,16285.97745,-2218800.852,647631404.1
2022-07-04T00:00:00+00:00,47672,30200406,12027,13257,15714,76745103.93,1.48301E+11,16102.70209,-123644.8305,649833919
2022-07-03T00:00:00+00:00,43794,30152734,9845,10538,12854,89975167.98,1.48224E+11,11104.34352,-43124.29613,649941461.1
2022-07-02T00:00:00+00:00,46529,30108940,10789,11477,14096,83972122.58,1.48134E+11,330601.1908,-2192659.234,649973481.1
2022-07-01T00:00:00+00:00,62470,30062411,12926,13359,16590,119291851.3,1.4805E+11,64781.72979,-520131.1752,651835539.1
2022-06-30T00:00:00+00:00,75640,29999941,14957,15514,19408,119095700.5,1.47931E+11,44749.43316,-243842.3425,652290888.6
2022-06-29T00:00:00+00:00,72558,29924301,14918,14609,18882,135510401.8,1.47812E+11,35676.23576,-115126.5169,652489981.5
2022-06-28T00:00:00+00:00,63316,29851743,14497,13560,18489,114424321.4,1.47677E+11,1678129.485,-223894.8018,652569431.8
2022-06-27T00:00:00+00:00,55685,29788427,15815,13143,19574,197392055.9,1.47562E+11,174295.7005,-130911.0728,651115197.1
2022-06-26T00:00:00+00:00,48987,29732742,11137,11628,14989,231054492.2,1.47365E+11,6927.633807,-83883.27968,651071812.5
2022-06-25T00:00:00+00:00,58837,29683755,13621,11945,17909,220693707.8,1.47134E+11,85808.57306,-177203.8796,651148768.1
2022-06-24T00:00:00+00:00,72354,29624918,19621,14347,25080,158056536.8,1.46913E+11,247583.7013,-559114.794,651240163.4
2022-06-23T00:00:00+00:00,64979,29552564,11445,13712,16813,158511639.5,1.46755E+11,623307.2266,-816201.9529,651551694.5
2022-06-22T00:00:00+00:00,61309,29487585,11730,12923,16388,128216168.3,1.46596E+11,75246.87365,-34548.20953,651744589.2
2022-06-21T00:00:00+00:00,57545,29426276,11813,14222,16823,152262488.7,1.46468E+11,1362229.534,-114143.057,651703890.6
2022-06-20T00:00:00+00:00,63753,29368731,12546,14580,17178,113010374.7,1.46316E+11,309044.8445,-100165.7946,650455804.1
2022-06-19T00:00:00+00:00,60377,29304978,10159,12060,14518,149022193.1,1.46203E+11,806595.4864,-96037.03257,650246925
2022-06-18T00:00:00+00:00,56130,29244601,10858,12559,15181,170581978,1.46054E+11,253771.2714,-76039.11844,649536366.6
2022-06-17T00:00:00+00:00,52002,29188471,10476,12777,15400,146114926.6,1.45883E+11,298921.2137,-3291787.505,649358634.4
2022-06-16T00:00:00+00:00,66104,29136469,13882,15017,19537,172887058.6,1.45737E+11,15473036.47,-421514.5142,652351500.7
2022-06-15T00:00:00+00:00,81216,29070365,12824,16178,19337,269975136.9,1.45564E+11,635920.4185,-2149227.213,637299978.8
2022-06-14T00:00:00+00:00,79595,28989149,13677,17034,20975,177232050,1.45294E+11,61424.44728,-2772009.628,638813285.6
2022-06-13T00:00:00+00:00,91817,28909554,14647,19324,22490,328868831.1,1.45117E+11,21097133.67,-981913.7383,641523870.7
2022-06-12T00:00:00+00:00,58663,28817737,11142,14061,16550,182654805.7,1.44788E+11,117683.6014,-1309602.064,621408650.8
2022-06-11T00:00:00+00:00,51741,28759074,11373,12548,15461,193045401.2,1.44606E+11,328332.5789,-337905.8812,622600569.3
2022-06-10T00:00:00+00:00,53020,28707333,11491,13701,16226,164789127.9,1.44413E+11,204312.9153,-2244872.037,622610142.6
2022-06-09T00:00:00+00:00,48855,28654313,11060,13395,15644,276007343.9,1.44248E+11,137894.4995,-198620.5956,624650701.7
2022-06-08T00:00:00+00:00,52282,28605458,12554,12792,16837,289486088.3,1.43972E+11,52529.64011,-70072.02807,624711427.8
2022-06-07T00:00:00+00:00,52854,28553176,10857,12679,15154,142820295.3,1.43682E+11,81633.23206,-1691056.339,624728970.2
2022-06-06T00:00:00+00:00,51498,28500322,11539,14099,16651,159133780.4,1.43539E+11,138003.6961,-25420741.62,626338393.3
2022-06-05T00:00:00+00:00,43779,28448824,9566,11843,13926,105530226.5,1.4338E+11,642043.6695,-519211.957,651621131.2
2022-06-04T00:00:00+00:00,41975,28405045,9457,11488,13554,139032445.4,1.43275E+11,46233.6074,-21796.39395,651498299.5
2022-06-03T00:00:00+00:00,45023,28363070,9748,11704,14022,145684115.2,1.43136E+11,3319178.292,-1365341.319,651473862.3
2022-06-02T00:00:00+00:00,51031,28318047,10415,12540,14999,166237611.6,1.4299E+11,98956.93183,-9658464.976,649520025.3
2022-06-01T00:00:00+00:00,61854,28267016,12410,14494,17576,230006057,1.42824E+11,410729.5604,-388560.9464,659079533.3
2022-05-31T00:00:00+00:00,56653,28205162,11817,14070,16482,161623813,1.42594E+11,268222.5434,-98473.94273,659057364.7
2022-05-30T00:00:00+00:00,52751,28148509,11557,14191,16421,155500638.8,1.42432E+11,145206.7826,-1437530.651,658887616.1
2022-05-29T00:00:00+00:00,41076,28095758,10084,12097,14192,109412471.6,1.42277E+11,157285.5207,-357555.5989,660179940
2022-05-28T00:00:00+00:00,44654,28054682,9592,11831,13815,122360574.4,1.42167E+11,49021.60022,-67033.4941,660380210.1
2022-05-27T00:00:00+00:00,60076,28010028,11330,14140,16590,189703056.9,1.42045E+11,1098356.73,-2749934.328,660398222
2022-05-26T00:00:00+00:00,60539,27949952,11553,13817,16117,187071551,1.41855E+11,58192.27358,-16928250.82,662049799.6
2022-05-25T00:00:00+00:00,57080,27889413,11084,13323,15461,201285445.5,1.41668E+11,2109136.05,-213100.3629,678919858.1
2022-05-24T00:00:00+00:00,54706,27832333,11879,12926,16076,190067447.1,1.41467E+11,7565421.272,-4098124.387,677023822.4
2022-05-23T00:00:00+00:00,61335,27777627,11053,13753,16178,181580648.1,1.41277E+11,392472.7622,-36050.79541,673556525.5
2022-05-22T00:00:00+00:00,50251,27716292,10660,12224,14734,168111876.7,1.41095E+11,274898.1562,-65202.99835,673200103.6
2022-05-21T00:00:00+00:00,50450,27666041,9374,10862,12979,198911299.4,1.40927E+11,458927.682,-243773.9986,672990408.4
2022-05-20T00:00:00+00:00,61871,27615591,10898,12431,14947,252073895.4,1.40728E+11,33267.49419,-1179988.763,672775254.7
2022-05-19T00:00:00+00:00,61253,27553720,10690,12214,14632,273915763,1.40476E+11,67180.93999,-3379243.609,673921976
2022-05-18T00:00:00+00:00,59146,27492467,12326,13574,16357,215897635.4,1.40202E+11,1869858.56,-2783866.958,677234038.7
2022-05-17T00:00:00+00:00,59677,27433321,12423,13856,16699,336279717.5,1.39986E+11,4225333.32,-44459950.32,678148047.1
2022-05-16T00:00:00+00:00,63875,27373644,13074,14012,17640,308438794.8,1.3965E+11,1508099.524,-275745.6977,718382664.1
2022-05-15T00:00:00+00:00,58259,27309769,11220,12251,15112,308181638.2,1.39342E+11,337028.9724,-947793.3802,717150310.3
2022-05-14T00:00:00+00:00,77084,27251510,14790,15216,19519,564188262.8,1.39033E+11,2323478.048,-3397746.171,717761074.7
2022-05-13T00:00:00+00:00,98135,27174426,18252,18523,25479,522405916.3,1.38469E+11,2605259.46,-13249007.75,718835342.8
2022-05-12T00:00:00+00:00,119579,27076291,27791,21152,36279,1011880005,1.37947E+11,58272016.24,-11526983.69,729479091.1
2022-05-11T00:00:00+00:00,108734,26956712,16800,20751,25298,1165990353,1.36935E+11,22218336.99,-5538859.795,682734058.5
2022-05-10T00:00:00+00:00,92537,26847978,16287,18673,22980,705680011.5,1.35769E+11,1927956.415,-3693006.889,666054581.3
2022-05-09T00:00:00+00:00,99554,26755441,18633,21164,26345,687097230.9,1.35063E+11,2043863.156,-2842451.509,667819631.8
2022-05-08T00:00:00+00:00,74626,26655887,15254,17270,21045,570782945,1.34376E+11,806041.3923,-1658162.219,668618220.2
2022-05-07T00:00:00+00:00,67645,26581261,14444,18253,21070,654957662.2,1.33805E+11,18301268.72,-11717537.97,669470341
2022-05-06T00:00:00+00:00,75590,26513616,16570,18936,23170,621114160,1.3315E+11,23305598.03,-1491000.144,662886610.2
2022-05-05T00:00:00+00:00,87069,26438026,19864,23825,27525,457241095.2,1.32529E+11,7361378.786,-1034823.452,641072012.4
2022-05-04T00:00:00+00:00,79923,26350957,17476,19055,23182,485908369.7,1.32072E+11,28758677.25,-793292.2179,634745457
2022-05-03T00:00:00+00:00,72543,26271034,15224,17748,20748,394175559.4,1.31586E+11,4186190.067,-1405132.783,606780072
2022-05-02T00:00:00+00:00,69123,26198491,16184,19317,22549,219748665.9,1.31192E+11,6964145.444,-423708.5739,603999014.7
2022-05-01T00:00:00+00:00,68081,26129368,15750,17031,20492,196881655.3,1.30972E+11,87673.07449,-145377.027,597458577.8
2022-04-30T00:00:00+00:00,67991,26061287,16128,18059,21393,168648260.4,1.30775E+11,84613.30408,-303837.079,597516281.8
2022-04-29T00:00:00+00:00,71652,25993296,16640,18607,22025,301897469,1.30607E+11,10848183.21,-21894990.53,597735505.6
2022-04-28T00:00:00+00:00,65204,25921644,15671,18613,22150,215592399.7,1.30305E+11,209830.5434,-9758091.312,608782312.9
2022-04-27T00:00:00+00:00,63535,25856440,15234,17716,21902,225397239.1,1.30089E+11,1408601.323,-128757.0077,618330573.6
2022-04-26T00:00:00+00:00,67203,25792905,15953,17835,21568,180881477.7,1.29864E+11,230761.4725,-5083230.357,617050729.3
2022-04-25T00:00:00+00:00,63732,25725702,15506,17243,20781,175245340.2,1.29683E+11,3012483.823,-985277.024,621903198.2
2022-04-24T00:00:00+00:00,56302,25661970,13593,16402,19690,135620870,1.29508E+11,3157776.752,-5869763.6,619875991.4
2022-04-23T00:00:00+00:00,60907,25605668,14595,17069,20504,147346997.5,1.29372E+11,5026881.741,-7195680.534,622587978.3
2022-04-22T00:00:00+00:00,76332,25544761,18150,21159,24990,202793548.4,1.29225E+11,410955.3316,-18807509.11,624756777.1
2022-04-21T00:00:00+00:00,71009,25468429,17909,21479,25290,218979216.4,1.29022E+11,1404976.377,-764456.823,643153330.8
2022-04-20T00:00:00+00:00,65920,25397420,16795,17902,22010,204023024.4,1.28803E+11,1949577.45,-7059648.684,642512811.3
2022-04-19T00:00:00+00:00,67421,25331500,16669,18109,21816,179469741.5,1.28599E+11,23927.71722,-702875.1311,647622882.5
2022-04-18T00:00:00+00:00,67888,25264079,15827,17502,21368,165798656.6,1.28419E+11,10447310.28,-2097501.877,648301829.9
2022-04-17T00:00:00+00:00,63371,25196191,14801,17921,21152,163844141.3,1.28254E+11,55359.20825,-5581802.091,639952021.5
2022-04-16T00:00:00+00:00,60265,25132820,14251,15579,18948,218729253.1,1.2809E+11,82624.58403,-28436.57556,645478464.4
2022-04-15T00:00:00+00:00,59793,25072555,14668,16000,19233,164460911.3,1.27871E+11,103108.0042,-590980.257,645424276.4
2022-04-14T00:00:00+00:00,64227,25012762,15218,15948,19743,226129797.4,1.27707E+11,1344326.825,-2611558.763,645912148.7
2022-04-13T00:00:00+00:00,72354,24948535,16224,18582,22324,222266400.4,1.27481E+11,3275700.564,-4686116.173,647179380.6
2022-04-12T00:00:00+00:00,67604,24876181,15066,16789,20586,218724104.9,1.27258E+11,13637005.61,-19554780.11,648589796.2
2022-04-11T00:00:00+00:00,69090,24808577,15332,17107,21102,220174179.2,1.2704E+11,229255.2636,-3592722.703,654507570.7
2022-04-10T00:00:00+00:00,55673,24739487,14281,15521,18961,220538348.3,1.26819E+11,7408426.634,-9148247.26,657871038.1
2022-04-09T00:00:00+00:00,59050,24683814,15111,16229,20078,182591517.3,1.26599E+11,147429.6816,-146457.8322,659610858.8
2022-04-08T00:00:00+00:00,67550,24624764,16480,17518,22173,229029053.2,1.26416E+11,5218876.29,-8176805.781,659609886.9
2022-04-07T00:00:00+00:00,73208,24557214,16530,17422,21823,311024029.8,1.26187E+11,26625448.13,-4259583.566,662567816.4
2022-04-06T00:00:00+00:00,74295,24484006,15833,16443,20784,221959722.1,1.25876E+11,7877990.545,-1519085.723,640201951.8
2022-04-05T00:00:00+00:00,69850,24409711,15731,17076,21132,247097135.6,1.25654E+11,29226887.52,-471483.821,633843047
2022-04-04T00:00:00+00:00,70064,24339861,14573,15775,19300,217988146.7,1.25407E+11,1446725.761,-591293.5054,605087643.3
2022-04-03T00:00:00+00:00,68653,24269797,14251,15556,19092,201085177.6,1.25189E+11,90391.60906,-153842.8283,604232211.1
2022-04-02T00:00:00+00:00,75315,24201144,13875,16403,19383,240032101.5,1.24988E+11,3123920.148,-527844.269,604295662.3
2022-04-01T00:00:00+00:00,64544,24125829,12522,13344,16574,262557451.5,1.24748E+11,16972593.79,-2481804.134,601699586.4
2022-03-31T00:00:00+00:00,72546,24061285,15853,16448,19970,299737495.3,1.24485E+11,1469712.014,-13819748.65,587208796.7
2022-03-30T00:00:00+00:00,73679,23988739,15209,16599,19886,364221161.8,1.24186E+11,41079461.33,-1364717.28,599558833.4
2022-03-29T00:00:00+00:00,71152,23915060,14797,16483,19836,219687007.2,1.23822E+11,1648553.542,-5178474.715,559844089.3
2022-03-28T00:00:00+00:00,71775,23843908,15260,17165,20447,212879562.3,1.23602E+11,19346872.99,-2990296.739,563374010.5
2022-03-27T00:00:00+00:00,50264,23772133,11984,12912,15709,185413729.4,1.23389E+11,3495484.529,-754459.4956,547017434.3
2022-03-26T00:00:00+00:00,51373,23721869,10903,11040,14001,188816976.9,1.23204E+11,958315.229,-1311992.883,544276409.2
2022-03-25T00:00:00+00:00,71116,23670496,13321,14273,17236,322590293.2,1.23015E+11,38368079.82,-650738.0054,544630086.9
2022-03-24T00:00:00+00:00,71437,23599380,14017,15458,18578,306574530.3,1.22692E+11,35342283.09,-2566918.454,506912745.1
2022-03-23T00:00:00+00:00,71248,23527943,13371,13833,17197,278857511.9,1.22386E+11,14970142.61,-415943.6063,474137380.4
2022-03-22T00:00:00+00:00,73721,23456695,14664,14752,18731,289571030,1.22107E+11,17979376.82,-277926.1461,459583181.4
2022-03-21T00:00:00+00:00,60543,23382974,13336,12760,17209,234506323.8,1.21817E+11,15338218.04,-5482762.198,441881730.8
2022-03-20T00:00:00+00:00,71459,23322431,12781,14541,17676,307938895.1,1.21583E+11,36993352.23,-9446672.981,432026274.9
2022-03-19T00:00:00+00:00,65144,23250972,11257,12371,15416,204823550.1,1.21275E+11,1001855.677,0,404479595.7
2022-03-18T00:00:00+00:00,62252,23185828,11166,12177,15149,158437514,1.2107E+11,471071.8424,-521708.4546,403477740
2022-03-17T00:00:00+00:00,70054,23123576,13217,14749,17947,148264172.7,1.20911E+11,1664189.581,-1478493.43,403528376.6
2022-03-16T00:00:00+00:00,63319,23053522,11973,12895,16025,199380029.4,1.20763E+11,10605910.12,-392439.4118,403342680.4
2022-03-15T00:00:00+00:00,58649,22990203,11358,12018,14951,137184682.8,1.20564E+11,10320422.17,-1732023.191,393129209.7
